champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
497,Rakan,14,3,True,3,3,17,11648,6943,10,7,3190,3853
154,Zac,11,4,True,5,1,11,103090,8935,12,27,6662,2031
498,Xayah,4,7,True,10,5,9,136355,12015,12,172,6671,0
92,Riven,4,12,True,9,2,4,98742,10635,13,159,3142,6693
78,Poppy,4,12,True,1,1,4,62342,6902,12,115,2033,3068
98,Shen,4,12,False,1,5,5,33538,5643,11,107,0,8001
55,Katarina,12,14,False,5,4,2,59638,6771,11,117,3115,1036
111,Nautilus,4,3,False,1,5,6,12865,4539,7,27,2055,3859
203,Kindred,4,7,False,1,8,6,50644,6100,10,128,2031,1055
35,Shaco,11,14,False,4,6,1,74309,6774,10,19,3153,6029
