champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
350,Yuumi,4,32,True,5,8,37,14272,12072,18,5,6617,3222
104,Graves,4,32,True,18,10,20,113694,16833,18,91,6692,3111
74,Heimerdinger,4,32,True,7,11,29,55572,13579,18,44,4630,3157
202,Jhin,4,7,True,16,9,25,102187,16552,18,87,6671,3009
29,Twitch,4,6,True,10,12,27,54191,12909,18,28,6670,3091
103,Ahri,14,4,False,8,10,26,75266,14215,18,53,6656,3165
43,Karma,3,4,False,3,13,34,27836,11780,18,21,6616,3504
360,Samira,4,32,False,15,12,21,95502,15588,18,90,6673,3111
63,Brand,7,4,False,3,10,32,64845,12225,17,36,6653,3916
555,Pyke,32,4,False,21,11,17,64776,18574,18,31,6609,3142
