champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
89,Leona,14,4,True,4,2,14,16990,7307,11,30,3860,3190
16,Soraka,4,7,True,1,5,17,51246,7242,12,91,1056,6617
2,Olaf,11,6,True,6,4,8,143441,10354,14,34,3053,3067
523,Aphelios,4,1,True,7,3,10,123225,11145,13,172,6673,0
126,Jayce,12,4,True,14,1,7,176020,15419,16,214,3158,3042
22,Ashe,4,1,False,2,6,6,82029,8098,12,144,1055,3006
31,Chogath,4,12,False,3,5,1,84078,8543,13,136,3047,6662
64,LeeSin,4,11,False,6,6,4,128691,9661,12,37,3047,6630
412,Thresh,4,14,False,0,8,9,15037,4989,10,26,2031,3117
101,Xerath,4,12,False,4,7,3,92299,7798,12,145,1056,1058
