champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
18,Tristana,7,4,True,10,4,8,204878,15437,17,230,6672,3140
121,Khazix,4,11,True,9,8,13,181068,14185,16,18,0,6691
164,Camille,4,12,True,1,4,15,128410,12030,17,202,6632,3026
13,Ryze,4,12,True,8,6,10,319101,17440,18,289,6656,3157
497,Rakan,4,14,True,3,5,23,20835,10235,14,47,3860,3222
234,Viego,11,4,False,10,5,13,202922,14826,17,53,3047,3026
85,Kennen,4,12,False,7,5,7,192812,14715,17,252,3157,3152
81,Ezreal,4,7,False,6,4,9,170385,13208,16,233,3110,3158
412,Thresh,4,14,False,0,9,20,18904,7441,13,26,3190,3107
4,TwistedFate,12,4,False,4,8,13,144640,12221,15,187,2033,6656
238,Zed,14,4,False,2,7,2,89231,8180,13,154,6692,1036
126,Jayce,12,4,False,1,6,2,144360,10321,14,221,3158,2031
76,Nidalee,4,11,False,0,5,4,121283,7315,13,15,6655,3020
201,Braum,3,4,False,1,2,4,25389,5985,11,40,3190,3857
81,Ezreal,7,4,False,4,4,3,125345,9764,13,181,3158,3078
5,XinZhao,4,11,True,7,3,10,180316,12416,15,51,2055,6630
3,Galio,4,12,True,8,0,6,103540,10779,13,159,3108,3157
79,Gragas,14,4,True,1,1,12,34937,7576,12,24,3853,2055
92,Riven,4,12,True,5,2,4,149960,11385,15,218,6630,3142
18,Tristana,4,7,True,3,2,4,177721,11519,14,202,1038,3046
64,LeeSin,4,32,True,13,16,21,69939,16572,18,28,3065,3053
268,Azir,3,4,True,12,9,27,163818,17822,18,120,3157,6655
44,Taric,32,4,True,2,16,44,35462,15151,18,25,6617,3107
101,Xerath,4,13,True,20,9,25,139339,19925,18,54,6653,3040
96,KogMaw,7,4,True,12,11,15,139217,18595,18,98,3091,3006
12,Alistar,4,32,False,4,12,38,27116,14671,18,10,3065,3068
67,Vayne,1,4,False,15,11,17,117916,17881,18,94,4401,3046
115,Ziggs,21,4,False,9,11,37,130228,16780,18,52,6653,3108
41,Gangplank,4,32,False,20,9,23,139651,19639,18,80,3078,3031
163,Taliyah,13,4,False,13,16,25,122585,17869,18,87,6655,4628
54,Malphite,4,32,False,7,5,11,24068,9838,14,14,6655,2421
106,Volibear,4,6,False,3,9,13,19739,8149,12,17,6632,3111
37,Sona,4,3,False,3,6,19,6620,8412,13,10,6617,3070
134,Syndra,4,6,False,7,7,10,46381,9065,14,39,6655,4628
236,Lucian,4,3,False,8,7,5,45081,9097,12,58,6673,3006
115,Ziggs,4,32,True,2,8,16,31279,8071,12,13,6655,3070
41,Gangplank,32,4,True,15,3,10,55431,11443,15,44,3134,2031
498,Xayah,32,4,True,9,7,17,49751,11011,14,48,3006,6671
21,MissFortune,4,32,True,4,5,19,34056,9287,14,33,6653,3020
2,Olaf,32,4,True,4,6,12,20661,8760,14,21,6630,3111
201,Braum,4,14,False,2,8,23,23518,9908,13,29,3857,3047
85,Kennen,4,12,False,7,10,10,147255,13654,16,177,3152,4630
104,Graves,11,4,False,13,8,8,301256,17534,17,76,3142,6692
4,TwistedFate,12,4,False,6,4,12,227603,16873,17,272,3100,6656
81,Ezreal,7,4,False,8,5,14,199266,14415,16,193,3123,6694
64,LeeSin,4,11,True,6,7,13,185052,13173,17,54,3026,6630
517,Sylas,12,4,True,9,5,14,240237,17780,18,269,3089,3157
18,Tristana,7,4,True,13,6,8,305053,18655,18,281,6672,3046
111,Nautilus,4,14,True,2,13,15,22152,8789,14,32,3190,3860
26,Zilean,12,4,True,5,5,15,135246,13070,17,170,3102,6656
5,XinZhao,4,11,False,4,6,4,139721,9066,12,28,6630,3053
222,Jinx,4,7,False,4,9,6,133403,10821,12,170,3036,6672
13,Ryze,4,12,False,5,6,3,135549,10221,13,190,3108,3040
117,Lulu,4,14,False,3,6,11,22189,7879,11,24,2065,3853
166,Akshan,4,12,False,6,4,2,124154,10771,14,194,6672,3051
38,Kassadin,4,12,True,8,3,9,115919,11976,14,177,3157,0
74,Heimerdinger,3,4,True,4,7,16,140244,10876,14,165,0,6653
164,Camille,12,4,True,1,4,7,85963,8928,13,133,3748,6632
64,LeeSin,4,11,True,12,3,11,178327,14326,15,37,6630,2421
412,Thresh,4,14,True,6,5,19,16467,8872,12,28,3860,3190
18,Tristana,12,4,True,4,2,8,174427,12899,16,222,6671,3031
76,Nidalee,4,11,True,6,1,10,200229,14218,17,24,3157,1082
360,Samira,4,3,True,8,6,5,121349,12890,15,168,3036,0
53,Blitzcrank,4,14,True,0,8,13,21220,8245,13,26,3107,3190
777,Yone,12,4,True,9,5,7,219367,15594,18,247,6333,2421
106,Volibear,11,4,False,4,7,8,122260,9582,14,28,2055,6632
126,Jayce,12,4,False,1,9,10,186389,11166,16,240,3158,6694
13,Ryze,4,12,False,12,4,5,250029,15844,16,241,3089,6656
117,Lulu,3,4,False,1,2,16,21684,7292,13,39,3860,3011
29,Twitch,4,7,False,4,5,12,150056,12345,14,227,3036,6671
55,Katarina,12,14,False,7,5,2,98441,9217,13,156,3152,2420
114,Fiora,12,4,False,4,6,3,75212,9789,14,176,1055,6630
25,Morgana,4,14,False,3,3,6,20896,6738,11,23,3067,3157
498,Xayah,7,4,False,4,4,4,144704,10995,14,213,3036,6671
5,XinZhao,4,11,False,4,7,4,112038,8058,12,25,3047,3053
76,Nidalee,11,4,True,9,2,8,131720,11624,14,29,4630,3020
497,Rakan,4,14,True,0,2,11,13898,6310,11,25,3860,3117
39,Irelia,12,4,True,13,6,5,174185,15203,16,223,3153,3047
92,Riven,12,14,True,2,6,5,123853,9760,14,161,6630,3123
51,Caitlyn,7,4,True,1,6,2,100248,8425,12,170,1055,3095
266,Aatrox,4,32,True,10,8,16,57168,13585,18,42,3053,6630
54,Malphite,4,32,True,5,10,16,48746,12152,17,42,4636,3157
142,Zoe,4,32,True,10,13,21,55446,13288,17,38,6655,1026
64,LeeSin,4,32,True,19,6,21,83149,15992,18,50,6333,6630
117,Lulu,3,4,True,3,6,34,25137,11970,18,21,3222,3107
161,Velkoz,21,4,False,11,7,17,49174,12819,18,26,3020,4636
11,MasterYi,32,4,False,16,15,10,43076,13720,16,22,6691,2031
115,Ziggs,3,4,False,7,7,19,101115,13556,17,86,6653,3135
43,Karma,4,7,False,3,9,25,27053,11210,16,14,6653,3107
4,TwistedFate,4,6,False,5,9,21,61413,11975,16,33,4636,2421
43,Karma,4,14,False,0,9,9,20133,5645,10,39,2055,3853
29,Twitch,4,3,False,2,8,8,59194,6901,11,88,6672,3006
64,LeeSin,4,11,False,7,6,7,116022,10155,12,18,6630,3071
127,Lissandra,12,4,False,4,8,7,74603,8083,12,120,1056,6656
92,Riven,4,12,False,8,5,5,105105,11430,14,172,3142,6630
150,Gnar,12,4,True,3,7,2,88381,9040,14,168,6632,3143
157,Yasuo,14,4,True,8,5,10,138600,11907,14,171,1033,6673
412,Thresh,4,14,True,4,3,28,19717,8965,13,25,3857,8001
131,Diana,11,4,True,4,2,22,129849,10459,14,21,0,3152
523,Aphelios,4,7,True,17,4,5,151057,15168,14,172,6673,6676
