champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
30,Karthus,4,3,False,5,6,5,138996,11427,14,199,1056,3165
238,Zed,14,4,False,10,6,5,178761,14720,17,216,3142,3134
14,Sion,12,4,False,1,11,5,167968,10450,15,220,3142,3035
107,Rengar,14,11,False,4,11,8,118971,9669,14,37,3508,6692
111,Nautilus,4,14,False,1,9,6,24135,6501,12,36,3190,3857
69,Cassiopeia,4,21,True,12,6,7,168782,14263,17,202,3157,2033
350,Yuumi,14,7,True,4,1,19,16409,9065,15,4,3853,6617
150,Gnar,4,12,True,13,2,8,226138,16568,18,257,6632,1037
2,Olaf,4,11,True,5,8,6,189994,12206,16,43,2055,6630
81,Ezreal,3,4,True,8,4,9,162728,13340,15,215,3042,6632
22,Ashe,4,21,False,4,5,3,127097,9432,13,174,6673,3006
43,Karma,7,4,False,1,10,6,31387,6273,11,32,3011,4642
54,Malphite,12,4,False,2,4,6,121699,8891,15,181,3047,3076
517,Sylas,12,4,False,7,9,5,79040,9769,14,120,2033,6656
59,JarvanIV,4,11,False,7,5,12,114485,11198,14,41,6630,3047
350,Yuumi,3,14,True,1,1,25,16368,8707,14,4,3853,6617
67,Vayne,4,1,True,17,2,5,170082,15271,14,215,3006,3508
23,Tryndamere,6,4,True,2,2,2,273507,13002,16,209,1054,6672
76,Nidalee,11,4,True,5,8,13,137654,10417,14,43,2420,2031
4,TwistedFate,4,12,True,8,8,13,120181,11404,13,124,3113,1026
26,Zilean,12,4,True,1,2,13,92562,9258,15,147,1056,6656
121,Khazix,11,4,True,13,0,5,230600,14197,17,39,3134,0
39,Irelia,14,4,True,11,3,3,165453,14406,16,222,6630,3053
412,Thresh,4,14,True,1,2,17,29375,8494,13,43,3857,3190
202,Jhin,4,3,True,3,1,8,164598,12076,14,216,6671,2031
245,Ekko,4,11,False,1,7,2,146648,8022,13,50,3020,3152
103,Ahri,4,14,False,1,6,3,84191,7342,13,154,6656,3020
92,Riven,12,4,False,1,6,2,119658,7964,14,169,0,3111
350,Yuumi,3,14,False,0,6,5,10257,5445,13,4,3853,6617
67,Vayne,4,7,False,5,4,0,158374,12044,13,220,3006,1055
80,Pantheon,4,14,True,8,9,3,73731,9329,13,109,2033,6692
235,Senna,4,3,True,9,5,12,54610,12093,13,23,3864,3033
