champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
53,Blitzcrank,4,14,False,1,6,12,19956,7638,13,30,1028,2055
58,Renekton,4,14,False,7,9,5,171785,13384,16,237,6630,2421
76,Nidalee,11,4,False,10,6,5,205622,14034,16,44,3157,3152
523,Aphelios,4,7,False,4,4,9,182411,13759,16,229,3134,0
39,Irelia,4,12,False,5,7,4,179712,13231,16,247,6630,1057
85,Kennen,4,12,True,12,6,7,162934,15423,17,214,3020,3152
64,LeeSin,4,11,True,8,5,19,170368,13860,17,48,6630,3026
777,Yone,12,4,True,3,5,11,261467,15816,18,292,3031,0
37,Sona,4,14,True,4,7,21,22943,9853,14,20,3853,2065
81,Ezreal,7,4,True,5,4,18,218189,13713,17,227,3158,3042
166,Akshan,4,14,True,3,6,5,133483,11154,15,201,3036,2031
44,Taric,14,4,True,1,4,21,29469,9340,14,44,3075,3860
76,Nidalee,4,11,True,11,3,11,217650,14979,17,48,3157,4636
18,Tristana,4,3,True,10,8,10,294316,18404,18,274,3072,2421
164,Camille,12,14,True,6,6,9,95792,11008,15,119,1055,3074
498,Xayah,7,4,False,5,4,6,222680,13735,16,240,3006,3036
497,Rakan,4,14,False,2,7,15,14604,8024,13,20,3050,2055
58,Renekton,4,14,False,3,5,5,152249,11349,16,216,6630,3143
234,Viego,4,11,False,9,7,4,143984,11820,14,19,6632,3053
92,Riven,14,12,False,7,8,5,188118,15421,17,238,3047,6630
238,Zed,4,14,False,3,6,6,92376,8617,13,163,3158,3142
43,Karma,4,14,False,1,7,14,13634,6162,11,10,3853,2065
245,Ekko,4,11,False,7,6,5,162166,9890,14,47,3152,3115
81,Ezreal,4,7,False,7,6,2,99173,10810,13,179,6632,3042
23,Tryndamere,4,6,False,2,8,2,92882,8453,13,164,6672,3006
107,Rengar,4,11,True,5,2,4,153902,11232,15,51,3026,2055
30,Karthus,4,3,True,9,4,7,155383,12906,15,189,3157,2420
555,Pyke,14,4,True,4,3,8,25144,9067,12,59,3857,3117
55,Katarina,12,14,True,11,8,11,99959,12196,13,129,3157,3115
58,Renekton,4,12,True,4,3,4,146615,11729,15,203,1055,3047
145,Kaisa,4,7,True,6,3,7,201676,14584,16,260,3006,2421
266,Aatrox,12,4,True,6,2,8,128324,11984,15,167,1054,6630
54,Malphite,12,4,True,4,3,15,85856,11891,15,145,3143,3158
12,Alistar,4,14,True,2,6,12,22844,8207,12,31,3860,3001
76,Nidalee,11,4,True,14,2,9,179472,13576,15,35,3157,3152
126,Jayce,12,4,False,2,9,3,142872,9697,14,192,3035,6692
64,LeeSin,4,11,False,0,5,8,106247,7914,12,12,6630,3053
18,Tristana,4,7,False,8,6,3,214580,15008,14,240,2420,3036
61,Orianna,4,12,False,5,4,6,119370,10622,14,181,1056,3040
79,Gragas,14,4,False,1,8,8,22971,6653,11,27,2420,3860
18,Tristana,4,3,False,5,7,5,200263,14032,16,209,3033,0
76,Nidalee,4,11,False,5,5,15,165296,11747,15,37,3135,3158
240,Kled,12,4,False,4,9,9,133623,12664,15,154,3047,3748
875,Sett,4,14,False,9,16,10,67703,11230,13,56,3857,6630
80,Pantheon,4,14,False,5,8,13,132727,12216,15,173,0,2421
55,Katarina,12,14,True,11,8,12,126992,13637,15,151,3157,1082
79,Gragas,4,14,True,6,6,29,51159,11205,14,25,3157,1082
36,DrMundo,4,12,True,8,4,13,148310,13421,17,197,6662,3143
157,Yasuo,4,3,True,8,5,14,166595,14411,16,216,1038,3006
104,Graves,4,11,True,12,5,16,263378,15976,18,84,6673,3033
245,Ekko,14,12,True,10,4,3,169399,13380,15,184,3089,3152
40,Janna,4,7,True,0,5,11,9881,6620,11,15,3853,6617
64,LeeSin,4,11,True,8,2,13,138582,12773,15,57,6630,3053
157,Yasuo,4,12,True,5,5,4,111395,9488,14,129,1055,3006
236,Lucian,4,3,True,6,7,5,97761,10279,13,120,2031,1038
89,Leona,4,14,False,0,5,11,22576,6011,10,39,3047,3190
114,Fiora,12,4,False,2,6,2,64094,7830,13,150,2055,6630
30,Karthus,4,3,False,9,4,2,153092,11119,13,208,1058,1056
238,Zed,4,14,False,5,9,4,83960,7585,12,121,1037,6691
107,Rengar,11,4,False,7,5,4,141521,9957,13,44,2055,3134
81,Ezreal,4,7,False,2,5,2,83482,7356,11,150,3070,6632
28,Evelynn,11,4,False,4,6,4,98575,9109,12,25,3152,0
777,Yone,12,4,False,7,7,6,124994,11483,14,178,3031,3123
91,Talon,4,14,False,2,6,1,69622,6802,11,132,3142,6029
497,Rakan,4,14,False,2,8,7,15589,5721,11,8,3853,2055
117,Lulu,14,4,True,1,0,24,14042,8069,12,9,0,3504
517,Sylas,12,4,True,10,5,11,111290,12768,14,150,3041,3157
157,Yasuo,3,4,True,7,6,12,130228,10677,13,151,1055,6673
84,Akali,12,14,True,8,5,5,90216,10238,13,148,3157,1054
64,LeeSin,4,11,True,6,1,10,148435,10503,14,44,6630,3053
14,Sion,12,4,True,3,8,2,88584,7781,12,118,2033,3134
111,Nautilus,4,14,True,0,1,13,17361,5884,10,28,3860,3047
13,Ryze,12,4,True,15,0,3,143290,12675,14,192,3040,3041
18,Tristana,7,4,True,3,0,4,91779,8468,12,159,1055,6672
234,Viego,4,11,True,5,0,5,130288,9047,13,23,2031,0
55,Katarina,12,14,False,1,11,2,57438,5214,10,102,2031,1082
64,LeeSin,4,11,False,2,4,1,76973,5638,10,20,6630,2031
40,Janna,7,4,False,1,1,4,5778,4194,10,11,3851,2055
222,Jinx,4,3,False,2,5,1,62068,6038,10,135,6672,3006
777,Yone,12,4,False,3,5,3,83595,7255,12,145,1038,2055
76,Nidalee,4,11,False,4,3,2,91395,6749,10,8,2031,4636
875,Sett,4,12,False,0,6,1,52689,5542,11,109,6630,1055
523,Aphelios,7,4,False,0,4,3,70703,6483,11,149,6673,3006
412,Thresh,4,14,False,0,4,3,8719,4314,8,27,3855,2055
13,Ryze,4,12,False,3,2,1,91774,7189,11,143,2033,6656
201,Braum,4,3,True,1,2,12,17563,5191,10,22,3857,3190
104,Graves,4,11,True,6,1,4,132959,8699,13,26,6692,2031
235,Senna,4,7,True,5,1,7,74250,8603,12,159,6672,3094
69,Cassiopeia,4,21,True,5,2,0,98174,8335,13,172,3070,6655
98,Shen,4,12,True,2,1,9,53616,6794,12,129,6664,2031
429,Kalista,4,7,True,9,6,7,113623,11662,13,155,2421,3006
3,Galio,12,4,True,1,2,5,93883,9250,14,177,1058,3157
12,Alistar,4,14,True,2,2,14,20490,7716,11,36,3860,2055
76,Nidalee,4,11,True,8,3,6,143435,10581,13,19,2031,2055
126,Jayce,12,4,True,9,3,6,157446,12942,15,191,0,3047
131,Diana,4,11,False,4,4,6,141203,9099,13,47,4630,3152
246,Qiyana,14,4,False,5,2,5,74714,9277,13,145,2055,6693
497,Rakan,4,14,False,1,9,12,9279,5706,10,6,3158,3853
58,Renekton,4,12,False,1,9,2,90113,6558,12,141,6630,2420
202,Jhin,4,7,False,5,5,6,106783,9885,13,167,3009,6671
