champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
76,Nidalee,11,4,True,12,1,9,170354,13397,15,46,4636,3157
44,Taric,14,4,True,2,6,18,19727,7742,12,32,3067,3860
777,Yone,4,12,True,8,2,9,158887,13833,15,191,3006,3086
81,Ezreal,3,4,True,4,4,5,117527,10081,13,185,1055,3042
517,Sylas,4,12,True,2,7,10,72038,8809,14,144,6656,3157
164,Camille,12,14,False,1,6,8,65972,8061,13,148,6632,1029
131,Diana,11,4,False,3,5,10,177643,9573,14,7,3115,2420
497,Rakan,4,14,False,1,7,14,9390,6475,10,9,3853,2031
202,Jhin,4,7,False,6,4,9,108994,10940,13,171,1038,0
157,Yasuo,14,4,False,9,6,8,168662,13406,14,222,2420,3033
157,Yasuo,4,14,False,7,6,5,140217,10905,14,167,1054,6673
245,Ekko,4,11,False,5,5,10,124707,10320,13,39,3152,3020
777,Yone,4,12,False,1,10,4,127499,8999,14,152,1055,3006
555,Pyke,4,14,False,6,5,7,25173,9280,12,50,1036,3857
81,Ezreal,4,3,False,10,8,5,112433,11218,12,178,6691,0
64,LeeSin,4,11,True,3,2,14,133340,9868,15,38,3053,6630
517,Sylas,4,12,True,11,6,6,123512,13673,15,175,6656,3157
497,Rakan,4,14,True,5,8,16,20167,8788,13,40,3107,2065
126,Jayce,12,4,True,10,5,7,134256,13554,15,178,3158,3042
30,Karthus,4,3,True,5,8,16,124517,11515,15,179,1056,3157
98,Shen,4,14,False,6,5,4,68245,8621,13,135,6664,2031
28,Evelynn,11,4,False,5,5,5,114228,8645,12,9,3020,3152
523,Aphelios,7,4,False,3,6,10,77966,8225,13,153,6673,3006
238,Zed,14,4,False,4,7,2,113058,9959,14,198,3142,2055
412,Thresh,4,3,False,0,5,10,17234,5418,10,43,8001,3857
30,Karthus,4,3,True,3,3,9,118996,10715,14,186,1056,3157
777,Yone,4,12,True,7,5,9,150274,12942,15,163,3006,1038
91,Talon,14,4,True,6,3,5,113479,11491,15,190,6692,3042
555,Pyke,14,4,True,6,5,10,28697,11707,12,34,6693,3857
79,Gragas,4,11,True,6,2,7,149414,10249,14,11,3152,3157
4,TwistedFate,4,12,False,2,5,7,97663,9202,13,141,2033,2424
115,Ziggs,4,12,False,2,2,3,141070,10119,14,212,3020,6655
777,Yone,4,12,False,0,8,1,108943,7977,13,173,0,1055
64,LeeSin,4,11,False,10,6,3,113989,10938,12,15,6630,3053
432,Bard,4,14,False,1,7,9,16610,6332,10,24,3853,3190
234,Viego,12,4,True,8,5,8,128376,12812,15,182,0,6673
18,Tristana,4,7,True,4,6,4,105707,9176,13,168,6671,2031
62,MonkeyKing,4,12,True,1,1,7,91923,10053,14,171,2420,1054
28,Evelynn,11,4,True,14,1,8,191717,14582,15,31,3041,3152
44,Taric,14,4,True,1,2,17,25190,7621,12,36,1011,3860
84,Akali,4,12,False,4,5,0,71620,7240,13,127,2031,3020
64,LeeSin,4,11,False,1,4,4,86723,6305,11,20,6630,3044
201,Braum,3,4,False,0,5,6,9156,4738,9,20,3111,2055
523,Aphelios,7,4,False,5,3,2,94285,10062,11,157,3123,0
777,Yone,4,12,False,2,5,0,102318,7894,13,181,1055,3006
517,Sylas,4,12,True,6,1,6,100176,10334,13,149,0,3158
76,Nidalee,4,11,True,6,2,6,161237,10571,13,18,3157,1052
81,Ezreal,4,3,True,3,3,4,101820,9033,12,170,3078,3158
412,Thresh,4,14,True,0,3,7,12389,5444,10,33,3190,3857
875,Sett,4,12,True,7,3,5,139407,12912,14,178,6630,3053
4,TwistedFate,12,4,True,8,8,6,95617,11708,13,152,2033,6656
498,Xayah,4,7,True,3,2,9,144087,11508,14,212,2031,1037
497,Rakan,4,14,True,3,3,27,22811,8890,13,32,3860,2065
777,Yone,4,12,True,11,2,8,139283,13479,16,191,1055,3006
104,Graves,4,11,True,15,2,11,156275,13246,14,21,2055,3142
48,Trundle,11,4,False,4,6,9,83863,8426,12,19,3047,3110
517,Sylas,4,12,False,4,8,5,85867,8917,13,165,2033,3916
3,Galio,4,3,False,0,8,6,26981,5324,11,38,3860,3047
115,Ziggs,4,12,False,2,8,6,110649,9348,13,178,3108,1056
164,Camille,14,12,False,7,10,1,76683,10329,13,133,6632,3074
43,Karma,12,4,True,3,2,11,79732,9604,14,146,3222,2065
234,Viego,4,11,True,1,4,10,148521,8666,14,18,6632,2031
81,Ezreal,7,4,True,10,2,5,167584,14345,14,220,6694,3110
201,Braum,4,14,True,0,3,18,23741,6871,12,29,3857,1033
777,Yone,4,12,True,8,2,5,209127,14766,16,234,1055,3006
22,Ashe,4,7,False,3,6,6,107855,10411,12,176,6673,1018
89,Leona,14,4,False,0,1,6,26242,6002,11,50,3857,2031
48,Trundle,4,11,False,6,5,3,137101,9528,12,19,3053,2055
517,Sylas,12,4,False,2,3,5,111086,9544,13,181,2055,6656
82,Mordekaiser,4,12,False,2,7,3,95036,8422,13,177,1054,3047
34,Anivia,14,4,True,11,5,12,222390,16829,18,236,6656,3157
777,Yone,4,12,True,12,8,8,292493,20173,18,270,3006,3033
22,Ashe,7,4,True,6,6,12,225708,15700,17,215,6673,3091
234,Viego,11,4,True,7,9,9,188723,14355,17,40,3111,6672
89,Leona,14,4,True,1,10,18,24898,9651,14,32,3190,3860
39,Irelia,12,4,False,11,7,13,286258,19313,18,320,3053,6630
4,TwistedFate,4,12,False,2,11,17,160381,11980,17,181,0,3157
117,Lulu,4,3,False,2,7,29,19489,10659,15,14,3853,2065
76,Nidalee,11,4,False,8,7,10,234143,14651,17,47,4636,3157
523,Aphelios,4,1,False,15,5,7,291120,19909,18,271,6673,3094
517,Sylas,12,4,True,14,2,8,169927,15305,17,218,3165,6656
245,Ekko,11,4,True,4,5,12,178149,11829,15,21,4633,3157
497,Rakan,14,4,True,4,4,17,15230,9060,13,17,3191,2065
18,Tristana,4,7,True,3,1,10,183964,12649,16,247,1055,3006
777,Yone,4,12,True,6,6,5,149589,11986,15,180,1055,1031
36,DrMundo,4,12,False,1,7,5,106289,8256,13,159,2031,6662
64,LeeSin,11,4,False,6,5,6,132807,9973,13,13,6630,3044
12,Alistar,4,14,False,1,6,14,17537,7423,11,33,2065,3158
115,Ziggs,12,4,False,3,6,3,146135,10457,13,204,1056,6653
157,Yasuo,14,4,False,7,7,6,166909,13153,15,212,1053,3031
517,Sylas,12,4,True,6,7,8,82981,10865,15,134,3157,6656
126,Jayce,12,4,True,7,5,4,189133,13406,16,202,6692,3111
64,LeeSin,4,11,True,11,3,7,169083,13324,16,27,3026,3044
236,Lucian,4,1,True,7,5,4,188763,14450,15,211,6671,3508
16,Soraka,7,4,True,2,5,13,24613,9007,14,30,3853,6617
