champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
245,Ekko,14,12,False,4,10,3,171692,11120,15,195,3152,3115
497,Rakan,4,14,False,0,3,11,19906,7154,13,33,3860,2065
36,DrMundo,12,4,False,1,6,7,140763,10902,16,202,0,0
203,Kindred,11,4,False,10,11,3,159366,12609,15,57,6672,0
15,Sivir,4,7,False,2,3,5,153698,11559,15,235,1055,3508
432,Bard,4,3,True,2,1,19,32633,8934,15,20,3853,2065
1,Annie,4,14,True,3,3,6,124341,12047,16,207,3152,1026
39,Irelia,4,12,True,9,3,5,225969,16745,17,284,6630,3091
887,Gwen,12,14,True,10,6,11,167152,14651,17,175,3157,0
104,Graves,4,11,True,9,5,13,263177,15241,17,63,3134,3142
117,Lulu,4,14,True,2,2,24,15394,8839,14,17,2065,3853
64,LeeSin,4,11,True,10,5,11,179715,13617,15,50,2420,6630
62,MonkeyKing,14,12,True,9,4,9,112356,11846,15,137,6632,3133
127,Lissandra,4,12,True,0,6,10,129226,9358,15,206,4630,3157
22,Ashe,4,3,True,10,3,11,141554,12969,14,192,2031,3006
238,Zed,14,4,False,5,5,5,152312,11145,15,196,3142,6692
555,Pyke,4,14,False,5,6,7,33869,9209,11,32,3857,6693
5,XinZhao,4,11,False,7,6,6,159215,11650,14,35,6630,2055
58,Renekton,12,4,False,3,5,3,118857,10295,13,181,6630,1011
115,Ziggs,12,4,False,0,9,9,167570,10404,13,182,3040,4630
266,Aatrox,4,32,True,2,9,21,24424,9264,14,20,6630,3053
68,Rumble,4,32,True,17,8,20,60965,12622,15,35,2421,4636
202,Jhin,4,6,True,20,6,21,55373,13748,16,41,3031,6676
134,Syndra,21,4,True,8,3,27,41662,11202,16,30,6653,3020
145,Kaisa,6,4,True,3,6,28,43644,10126,15,32,2031,3006
67,Vayne,4,32,False,12,8,10,48767,11366,14,38,3006,3184
91,Talon,32,4,False,4,10,14,38620,9375,14,28,6630,3042
27,Singed,6,32,False,4,12,14,44447,9924,14,51,4633,3009
111,Nautilus,4,32,False,5,9,13,25554,10069,14,20,3068,2031
517,Sylas,32,4,False,7,11,12,19682,10647,14,14,3158,6656
