champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
523,Aphelios,1,4,True,5,4,8,189700,12946,15,213,6673,3006
147,Seraphine,12,4,True,4,1,11,154352,12041,15,193,1056,6655
887,Gwen,14,12,True,4,4,9,152396,13081,16,210,4633,3157
64,LeeSin,11,4,True,9,4,13,181764,13759,16,59,6630,0
117,Lulu,4,7,True,2,2,17,14895,8718,13,13,3853,4643
22,Ashe,7,4,False,0,6,8,136108,10802,14,213,3091,3046
266,Aatrox,4,12,False,1,5,1,168314,10974,15,214,3075,6630
112,Viktor,4,12,False,5,5,2,214382,14402,16,287,6655,2055
68,Rumble,11,4,False,8,6,5,154364,11742,14,19,3020,3152
497,Rakan,4,14,False,1,2,10,15548,7385,11,21,3107,3853
59,JarvanIV,4,11,True,5,1,9,125479,9844,13,32,2031,6630
58,Renekton,4,12,True,4,3,8,113600,9811,14,155,2055,6630
235,Senna,7,4,True,4,4,9,61781,8743,12,131,1055,6672
497,Rakan,4,14,True,2,3,17,14910,7360,12,16,3853,3114
34,Anivia,4,6,True,15,1,9,126104,13811,14,179,3020,6655
150,Gnar,4,12,False,3,7,2,92453,8148,13,145,3071,0
76,Nidalee,11,4,False,3,5,4,93499,7326,11,12,2421,3108
81,Ezreal,3,4,False,5,7,4,110987,10029,12,191,3158,1036
43,Karma,4,14,False,0,5,7,22181,5344,10,8,3853,2065
164,Camille,12,4,False,1,6,4,74162,7345,12,135,1054,3078
39,Irelia,4,12,True,6,13,4,176091,11967,16,197,1054,3111
37,Sona,7,4,True,4,6,22,45192,11085,15,102,3853,3040
53,Blitzcrank,14,4,True,3,3,22,37512,8924,15,44,3860,3190
131,Diana,4,11,True,24,4,6,272753,19632,18,97,3152,3157
266,Aatrox,4,12,True,11,3,10,193780,16485,18,229,3075,6630
7,Leblanc,4,14,False,12,7,2,140106,13382,15,200,1058,1058
238,Zed,4,11,False,7,13,1,145815,10913,14,30,6691,3142
497,Rakan,4,14,False,3,8,14,23128,7642,14,32,3860,2065
41,Gangplank,4,12,False,5,11,6,163846,13367,15,196,3031,2033
22,Ashe,7,4,False,2,9,11,127492,12255,15,209,6673,3006
53,Blitzcrank,14,4,True,1,2,14,16351,7385,10,29,3859,3190
150,Gnar,4,12,True,3,3,7,103782,9790,14,154,6632,1055
55,Katarina,12,14,True,12,4,11,109328,12316,14,120,3152,2421
110,Varus,4,12,True,8,4,6,132241,11798,14,164,3133,3009
5,XinZhao,4,11,True,11,1,6,136621,11750,14,40,6630,3123
43,Karma,4,14,False,2,6,5,38709,6862,10,61,3853,3158
266,Aatrox,4,12,False,4,9,3,67780,8337,12,130,1054,6630
34,Anivia,4,6,False,4,3,5,97571,9754,13,182,3020,6655
37,Sona,7,4,False,1,10,7,24208,6495,10,53,3853,3158
203,Kindred,11,4,False,3,7,6,88682,7299,12,37,6672,1018
235,Senna,4,7,False,3,8,9,47499,8669,12,32,3864,3071
58,Renekton,4,12,False,1,8,4,78280,7225,11,113,1028,6630
5,XinZhao,4,11,False,4,5,4,125812,9228,12,23,6630,3051
81,Ezreal,1,4,False,5,5,5,85434,9268,11,145,3133,0
517,Sylas,4,12,False,6,9,3,90321,9314,13,129,1052,3157
33,Rammus,6,11,True,9,5,9,105678,10802,13,21,3047,3075
57,Maokai,4,14,True,4,3,19,49353,8550,13,50,3857,3107
8,Vladimir,4,14,True,7,3,4,147969,11859,15,189,3020,3152
37,Sona,7,4,True,2,5,20,42971,10018,13,88,3853,3070
164,Camille,12,14,True,13,3,9,142791,13517,15,168,3047,6632
887,Gwen,12,6,False,0,6,0,82607,7303,13,168,1054,3047
89,Leona,14,4,False,2,9,8,12731,6059,10,23,3855,3190
59,JarvanIV,4,11,False,5,8,8,152810,9911,13,19,6630,0
110,Varus,4,7,False,4,3,7,130899,11281,14,212,2421,3142
7,Leblanc,4,12,False,6,3,3,90501,11145,14,197,3020,6655
85,Kennen,4,12,True,7,3,6,152061,13124,16,184,3089,3152
115,Ziggs,4,12,True,1,3,12,162959,10635,14,210,2055,1058
91,Talon,4,14,True,6,1,9,111757,11315,15,179,3142,6630
555,Pyke,4,14,True,2,8,11,15724,8192,13,36,3857,3142
64,LeeSin,4,11,True,13,2,7,193298,14729,15,29,6630,3071
85,Kennen,4,12,False,7,5,8,146812,13752,15,211,0,3152
147,Seraphine,12,4,False,3,7,13,134929,10555,15,207,1056,6617
523,Aphelios,4,7,False,8,8,10,182438,14880,15,213,3031,6672
89,Leona,14,4,False,1,10,14,18165,7218,13,35,3860,2055
91,Talon,6,11,False,9,9,9,157170,12221,15,41,3134,6630
42,Corki,4,12,True,11,6,6,245817,16396,17,244,3020,6673
121,Khazix,4,11,True,11,3,6,170401,13630,17,16,3111,0
98,Shen,4,12,True,4,4,15,72256,10986,16,145,6664,3107
22,Ashe,4,1,True,12,5,15,195436,16890,16,224,3157,6673
117,Lulu,4,7,True,1,10,25,32645,9978,14,21,3222,2065
4,TwistedFate,12,4,True,3,2,8,89609,8844,13,156,1082,6656
18,Tristana,4,3,True,6,4,2,94079,9983,12,144,1055,3006
40,Janna,4,7,True,3,2,9,17633,6869,9,4,6617,2031
164,Camille,12,14,True,6,1,4,116206,10597,13,168,1055,1011
20,Nunu,4,11,True,0,0,7,103112,7065,11,7,3068,2031
92,Riven,14,12,False,1,5,1,60536,6204,11,141,1055,6630
246,Qiyana,4,14,False,5,5,3,83138,8187,12,128,3158,6693
37,Sona,7,4,False,1,2,2,29802,5659,10,67,3851,3070
432,Bard,3,4,False,0,2,4,8312,4248,8,13,3853,3067
121,Khazix,4,11,False,2,4,1,76581,6096,11,14,3111,2031
7,Leblanc,4,14,False,4,6,9,138137,11347,16,186,3020,1058
555,Pyke,14,4,False,9,7,3,47141,13515,14,61,3142,6691
202,Jhin,4,7,False,7,5,14,217564,15222,16,247,6671,2421
131,Diana,4,11,False,8,8,12,289898,15603,17,55,3152,3157
164,Camille,14,12,False,7,7,8,168752,13551,18,198,3074,2421
76,Nidalee,4,11,True,12,4,12,209977,15472,18,32,4636,3020
16,Soraka,7,4,True,0,9,19,21142,9316,15,16,3107,3853
236,Lucian,3,4,True,6,8,6,221927,14757,16,255,6672,3036
238,Zed,14,4,True,7,9,8,198713,15659,18,224,3142,3814
58,Renekton,12,4,True,8,5,9,202391,17021,18,249,3026,3211
131,Diana,11,4,False,5,7,8,167043,12356,14,45,3152,0
202,Jhin,4,7,False,4,8,5,176396,12095,15,203,6671,3009
114,Fiora,4,12,False,3,12,2,113976,9063,14,161,6632,3153
157,Yasuo,4,14,False,4,8,5,171489,11860,16,239,6333,3031
432,Bard,14,4,False,3,3,8,19541,7551,12,19,3853,3158
235,Senna,4,7,True,2,4,15,119591,12855,16,193,1055,3133
4,TwistedFate,14,4,True,7,4,15,193374,15819,18,232,1058,3041
41,Gangplank,4,12,True,7,3,10,305434,16175,18,263,1018,3508
37,Sona,3,4,True,3,5,10,23717,8667,13,21,2065,3853
121,Khazix,4,11,True,19,3,4,217396,16251,17,41,6693,3142
