champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
81,Ezreal,4,7,True,6,5,8,125396,11479,13,196,3110,3042
350,Yuumi,14,3,True,2,2,15,15060,7218,13,9,3853,0
234,Viego,11,4,True,6,5,11,134033,10403,14,34,3047,2031
114,Fiora,12,4,True,3,3,4,116678,11349,14,190,6630,3053
245,Ekko,14,12,True,11,2,3,159049,13632,15,179,3115,3152
164,Camille,14,12,False,3,6,5,60473,7395,13,122,3077,3078
555,Pyke,4,14,False,1,8,7,17063,5887,11,41,3857,0
18,Tristana,4,7,False,1,5,8,88741,8520,12,179,1055,2031
8,Vladimir,14,4,False,6,4,4,121148,10814,15,193,3041,3020
64,LeeSin,4,11,False,6,5,5,120690,8591,12,10,6630,3047
432,Bard,4,14,False,1,5,11,16011,5941,11,13,3853,3190
517,Sylas,4,12,False,2,10,6,67653,6948,11,105,1056,2421
81,Ezreal,4,12,False,2,5,4,97578,8121,12,167,3078,3042
39,Irelia,12,4,False,3,5,3,115946,9566,13,182,3153,3091
234,Viego,4,11,False,8,4,5,126370,11316,12,8,2055,3044
13,Ryze,4,12,True,10,6,12,138264,11748,14,165,3040,6656
202,Jhin,4,7,True,6,2,8,151060,12745,13,205,3009,6671
223,TahmKench,4,12,True,2,3,1,70056,8273,13,138,3075,1028
37,Sona,4,14,True,4,2,17,25115,7927,12,12,3853,2065
64,LeeSin,11,4,True,7,3,16,118357,10762,13,31,3047,6630
110,Varus,4,7,True,7,3,5,137529,11591,14,194,3142,6692
43,Karma,4,14,True,1,1,12,22204,7079,11,20,2065,3114
85,Kennen,4,12,True,5,5,2,91801,10001,14,167,3135,2421
4,TwistedFate,12,4,True,1,5,10,129493,10728,14,186,3094,2033
5,XinZhao,4,11,True,8,1,6,188732,12202,14,19,6630,0
76,Nidalee,11,4,False,9,3,1,138403,11891,13,20,4636,3158
150,Gnar,4,12,False,5,4,4,96424,9400,14,159,6632,1054
432,Bard,4,14,False,0,6,8,15966,5661,11,32,3860,3190
61,Orianna,4,12,False,0,4,8,116922,8642,14,195,2033,3157
81,Ezreal,4,3,False,1,6,1,68681,7638,13,176,3042,6632
81,Ezreal,4,3,True,10,1,4,134667,11737,12,183,1055,3158
43,Karma,14,4,True,0,3,14,27939,6874,10,15,3853,0
427,Ivern,11,4,True,2,1,12,233453,7119,11,7,0,2031
136,AurelionSol,14,4,True,7,1,6,89436,9494,12,151,3020,2033
126,Jayce,4,12,True,4,2,7,103882,9440,12,153,2055,6692
38,Kassadin,12,4,False,1,3,1,71963,6735,12,165,1054,3108
98,Shen,4,12,False,1,3,1,32579,5181,10,90,6664,2031
44,Taric,14,4,False,0,4,3,12514,4237,8,30,2055,3860
203,Kindred,4,11,False,6,9,1,108675,9817,13,45,3006,6672
18,Tristana,3,4,False,0,4,2,88383,7143,11,151,6672,3006
201,Braum,4,3,True,3,5,18,21625,7857,12,26,3067,2031
101,Xerath,4,6,True,8,2,12,120183,11789,14,175,3070,3117
81,Ezreal,4,7,True,8,3,11,123215,11573,14,161,6632,3042
