champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
114,Fiora,12,4,True,8,10,3,151326,14468,16,223,3074,6630
76,Nidalee,4,11,True,10,4,6,217129,13428,16,40,4636,3157
523,Aphelios,7,4,True,4,7,4,177715,12526,15,213,3111,3091
238,Zed,14,4,True,19,5,3,151417,16633,18,208,3142,3814
111,Nautilus,4,14,True,1,7,12,22809,8092,13,30,3111,3190
37,Sona,4,14,False,5,8,18,21648,10317,14,12,3853,2065
101,Xerath,4,12,False,10,7,10,176622,14052,16,219,2421,3040
10,Kayle,4,12,False,5,15,5,137703,10856,16,183,1056,3115
91,Talon,14,4,False,5,6,3,152581,12729,16,225,3134,6693
104,Graves,11,4,False,8,6,5,206993,13153,16,64,3047,6692
238,Zed,14,4,True,19,14,16,85997,19858,18,77,6692,3157
777,Yone,32,4,True,16,16,21,193322,19809,18,106,3006,6673
48,Trundle,4,32,True,16,14,29,62534,17704,18,23,3193,3111
7,Leblanc,14,4,True,11,14,28,67363,16307,18,25,6655,3157
103,Ahri,32,4,True,5,16,27,62718,14948,18,46,6655,3020
11,MasterYi,32,4,False,26,17,20,105561,19810,18,55,6691,6676
245,Ekko,4,32,False,20,13,27,151802,18899,18,86,3020,3152
43,Karma,4,32,False,11,10,39,63174,16409,18,30,6655,3020
127,Lissandra,32,4,False,10,14,28,76417,15148,18,59,3020,3157
101,Xerath,4,6,False,7,13,35,100601,15688,18,68,3040,3089
29,Twitch,7,4,False,11,9,8,57923,12348,14,84,6672,3085
16,Soraka,7,4,False,2,6,13,22423,8191,14,18,3107,2031
26,Zilean,13,4,False,3,8,11,29710,8445,13,23,2424,6655
115,Ziggs,4,32,False,4,7,16,52349,9057,14,27,6655,3003
89,Leona,4,32,False,4,12,6,12753,8326,12,7,3001,3190
202,Jhin,4,7,True,15,7,15,39373,11588,15,34,3086,3142
7,Leblanc,32,4,True,17,4,12,29226,11646,15,19,3112,2031
