champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
107,Rengar,14,12,False,2,7,4,52247,6649,11,111,6692,3035
498,Xayah,3,4,False,5,4,3,103131,9803,12,185,2031,6672
4,TwistedFate,4,12,False,1,6,8,80427,7601,12,148,6656,3094
887,Gwen,6,11,False,6,6,8,133099,11189,13,51,2421,3115
111,Nautilus,14,4,False,1,8,5,12347,5008,9,25,3047,3067
104,Graves,4,11,True,15,1,9,144288,13696,13,39,2420,6676
36,DrMundo,4,12,True,1,2,12,107682,9177,14,146,8001,1054
13,Ryze,12,4,True,8,4,14,117006,11180,13,154,1052,6656
12,Alistar,14,4,True,2,4,25,21001,7642,11,25,2065,3860
18,Tristana,4,7,True,5,4,11,144552,11394,13,162,1055,3006
498,Xayah,4,7,True,20,7,21,95635,13662,16,75,6673,3006
4,TwistedFate,32,4,True,10,6,26,55434,12048,16,34,3020,3094
267,Nami,4,3,True,5,5,43,18290,11380,16,2,3114,1052
82,Mordekaiser,32,4,True,10,3,19,52849,11840,16,43,4633,3157
35,Shaco,32,4,True,6,6,24,25262,10525,16,11,3070,3112
234,Viego,4,32,False,5,13,3,39140,9989,14,26,3111,6630
117,Lulu,4,3,False,2,8,13,13521,9082,14,6,6617,3107
429,Kalista,4,32,False,8,12,6,59585,10871,15,45,6691,3142
12,Alistar,4,32,False,0,12,21,24517,8860,15,8,6664,2031
222,Jinx,4,7,False,12,6,12,124864,14420,16,104,3184,3006
64,LeeSin,11,4,True,16,2,6,177532,15942,16,37,3143,6630
18,Tristana,4,7,True,4,3,12,184859,12897,15,185,1055,3006
517,Sylas,4,12,True,5,5,10,123895,11797,15,132,1056,3157
114,Fiora,4,12,True,2,2,13,154022,13024,16,208,6630,3047
875,Sett,4,14,True,2,8,11,34242,7894,13,42,3190,3857
48,Trundle,4,11,False,3,5,6,156319,9886,13,58,6632,3748
235,Senna,4,7,False,3,6,6,102352,9449,13,179,1055,3009
236,Lucian,4,12,False,5,10,8,183623,11884,14,212,1055,6672
98,Shen,4,12,False,7,4,6,78905,9808,13,155,6664,2055
12,Alistar,4,14,False,1,6,6,18863,5938,11,29,2065,3860
236,Lucian,1,4,False,0,2,1,78149,6310,11,157,6671,1036
76,Nidalee,4,11,False,4,3,2,95929,6940,10,13,4636,1026
432,Bard,4,14,False,0,2,5,8891,4353,8,3,3111,3067
36,DrMundo,4,12,False,1,3,2,66037,6665,11,131,2055,2031
7,Leblanc,4,12,False,1,4,3,57435,6528,11,146,1082,6655
22,Ashe,4,7,True,2,0,7,99199,9266,12,186,1055,3006
98,Shen,4,14,True,1,3,8,61217,6984,12,114,6664,1001
3,Galio,4,12,True,3,0,3,77723,7797,12,125,1056,6656
234,Viego,4,11,True,6,0,2,113576,9068,12,25,6632,1057
63,Brand,4,14,True,2,3,2,33044,6097,9,28,6653,3853
64,LeeSin,4,11,False,2,2,1,58062,4978,9,10,3111,2031
777,Yone,12,4,False,1,6,1,39279,4543,10,88,2031,3006
267,Nami,4,7,False,1,6,2,6329,3796,7,1,3066,3851
115,Ziggs,12,4,False,2,3,1,65046,5686,10,122,6653,0
7,Leblanc,4,12,False,1,2,2,50140,5458,10,113,6655,2033
85,Kennen,4,12,True,4,2,2,53020,8023,11,121,3152,2424
2,Olaf,6,11,True,5,1,3,96365,7920,11,21,6632,3158
517,Sylas,4,12,True,5,1,4,54621,7094,11,113,6656,2055
432,Bard,4,14,True,4,0,6,8481,5645,9,14,3111,3190
18,Tristana,4,7,True,1,3,2,66907,6211,10,124,1055,3006
517,Sylas,12,4,True,7,7,8,114492,10290,14,168,1058,3158
81,Ezreal,4,7,True,2,6,9,60875,7267,12,122,2031,6632
121,Khazix,11,4,True,14,3,4,142159,13856,13,47,6630,1028
350,Yuumi,14,3,True,1,3,16,5192,5899,11,2,3114,3851
164,Camille,14,12,True,5,7,4,72146,8153,12,128,1036,3047
236,Lucian,7,4,False,6,5,3,94371,9923,11,147,1055,6671
24,Jax,4,12,False,7,6,1,138412,11775,14,197,3053,3078
48,Trundle,4,14,False,2,6,8,26588,7195,10,38,3857,3047
59,JarvanIV,4,11,False,9,5,6,150147,11313,14,28,3158,3123
54,Malphite,14,4,False,2,7,6,75270,7715,13,113,1056,4636
81,Ezreal,4,7,False,5,9,9,102804,9874,13,122,3042,3078
111,Nautilus,4,14,False,0,11,12,23523,6086,13,24,3860,3190
141,Kayn,4,11,False,5,10,9,93709,8872,13,26,3042,6630
42,Corki,12,4,False,12,7,9,145512,13698,15,201,3042,3033
92,Riven,12,4,False,13,6,7,134387,13551,16,165,6630,3140
106,Volibear,12,4,True,2,5,9,111362,10476,15,132,3068,2033
90,Malzahar,14,4,True,11,8,6,145718,13703,16,167,6653,3135
63,Brand,4,14,True,5,7,20,80795,11129,14,41,0,3853
157,Yasuo,4,3,True,18,9,8,173336,16101,15,187,3031,3006
64,LeeSin,11,4,True,7,6,17,109536,11075,15,19,2031,6630
64,LeeSin,4,11,False,9,9,4,137249,10230,13,20,6691,3074
40,Janna,14,4,False,0,5,8,10027,5712,12,7,2055,3916
113,Sejuani,14,4,False,5,10,7,118986,9515,14,128,1056,3152
523,Aphelios,4,1,False,3,4,2,141661,10604,13,253,6673,1038
41,Gangplank,4,12,False,0,6,5,116816,8781,14,175,6632,3047
121,Khazix,4,11,True,5,6,5,158175,10483,14,16,3134,2031
89,Leona,14,4,True,0,4,7,14502,6514,13,41,3190,0
245,Ekko,4,12,True,14,2,7,237860,17764,18,243,3157,3115
62,MonkeyKing,14,12,True,6,2,7,107249,11671,16,190,6632,1055
81,Ezreal,4,7,True,9,3,3,129357,12620,14,205,1055,6632
11,MasterYi,4,32,False,9,11,11,31713,12087,16,12,6676,6691
102,Shyvana,32,4,False,8,5,14,78756,12947,17,47,4629,3020
777,Yone,4,32,False,6,11,14,67872,12466,16,81,6673,3006
16,Soraka,4,21,False,3,9,20,38057,11682,16,23,3040,6617
106,Volibear,4,32,False,6,9,10,74718,11477,16,49,6656,3020
427,Ivern,3,4,True,1,4,34,16843,11252,17,11,6617,3070
145,Kaisa,4,7,True,16,10,17,81686,14724,16,83,6672,3006
8,Vladimir,4,32,True,11,4,16,56634,13220,17,41,4636,1006
101,Xerath,4,7,True,8,6,25,53920,12498,17,37,6653,3020
80,Pantheon,4,32,True,9,8,25,59859,13825,17,41,6630,3053
64,LeeSin,4,11,False,5,3,5,128279,9259,13,21,2055,6630
38,Kassadin,4,12,False,6,5,4,90618,9277,13,165,3111,3040
104,Graves,4,12,False,2,9,5,101615,8623,13,163,3036,3134
497,Rakan,14,4,False,0,5,11,17157,5720,10,28,2065,3860
