champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
150,Gnar,12,4,False,2,6,6,95954,8018,13,165,6632,1028
145,Kaisa,4,7,False,3,7,0,83481,8975,12,153,1055,6672
497,Rakan,4,14,False,0,6,7,9739,5308,9,7,0,2065
136,AurelionSol,14,4,False,5,7,4,102679,8435,13,164,3165,2033
5,XinZhao,4,11,False,2,7,8,133446,8912,13,41,3047,3053
81,Ezreal,7,4,True,9,0,11,117326,11864,14,186,6632,3042
121,Khazix,4,11,True,8,5,10,123376,9709,12,8,2055,3123
432,Bard,4,14,True,2,0,21,10552,7394,11,13,2065,3853
517,Sylas,4,12,True,5,3,9,75839,9162,13,116,1052,3157
114,Fiora,4,12,True,9,4,7,119906,11845,15,143,6630,3047
64,LeeSin,4,11,False,3,6,6,90852,7555,11,21,3047,1037
429,Kalista,7,4,False,7,5,1,106744,11670,12,189,3006,3036
4,TwistedFate,4,12,False,2,7,2,109310,9252,13,193,6656,3157
164,Camille,12,14,False,3,5,8,78282,8409,13,122,6632,3077
3,Galio,4,14,False,4,5,9,43703,7556,11,52,3190,2055
7,Leblanc,14,4,True,15,1,4,143173,15500,15,162,3153,6672
102,Shyvana,4,11,True,5,4,9,181684,11334,15,69,0,0
78,Poppy,12,4,True,2,4,11,105791,9581,14,150,3068,2055
432,Bard,4,14,True,3,5,12,17665,7802,12,19,3853,3190
236,Lucian,7,4,True,2,5,6,84886,8152,12,130,6671,3508
164,Camille,14,12,False,7,9,18,334329,19211,18,305,3053,3091
68,Rumble,11,4,False,16,9,21,291156,20690,18,105,3135,3165
81,Ezreal,7,4,False,15,6,21,431392,23541,18,320,6694,6632
555,Pyke,4,14,False,10,11,10,39056,14967,17,43,6693,3142
777,Yone,14,4,False,11,11,13,378853,21482,18,318,6035,6673
517,Sylas,4,12,True,22,12,8,340327,26336,18,287,4629,6656
202,Jhin,4,7,True,9,16,7,347323,21692,18,284,3072,6671
887,Gwen,12,14,True,5,11,11,298976,19947,18,311,3157,3089
497,Rakan,4,14,True,2,13,19,23574,12622,17,28,3009,3107
234,Viego,4,11,True,8,7,9,227765,16498,18,57,3047,6333
555,Pyke,4,14,True,6,7,11,22287,8569,12,29,6693,3117
115,Ziggs,4,12,True,6,7,5,145579,10805,13,174,6655,3040
421,RekSai,4,11,True,9,2,12,134273,11862,14,19,3053,6693
69,Cassiopeia,4,12,True,10,3,6,152533,13326,15,211,3040,4629
164,Camille,12,14,True,9,2,10,112358,12368,15,145,6632,2055
887,Gwen,12,14,False,2,10,3,90024,8645,13,154,3115,0
110,Varus,7,4,False,4,10,6,84048,8902,12,148,3042,3134
64,LeeSin,4,11,False,6,7,7,111810,9730,13,30,3158,2055
13,Ryze,4,12,False,4,4,5,136330,10552,14,201,3020,3040
80,Pantheon,14,4,False,5,9,8,32155,7628,10,30,3855,2031
99,Lux,4,14,False,1,6,5,22498,5325,8,15,3853,2031
164,Camille,14,12,False,2,5,1,62897,7008,12,129,1036,1037
134,Syndra,4,12,False,1,4,4,78088,7737,11,134,1058,3020
202,Jhin,4,7,False,2,5,3,71578,6989,10,146,1036,1036
35,Shaco,11,14,False,6,5,5,86015,8237,11,17,6695,6631
234,Viego,4,11,True,7,0,7,112737,8796,12,11,3047,2031
412,Thresh,4,14,True,1,1,10,15360,5382,9,27,3857,2065
523,Aphelios,4,7,True,3,7,7,98034,9028,11,157,3047,2055
68,Rumble,4,14,True,9,3,2,67391,8319,12,130,3152,2421
54,Malphite,12,4,True,5,1,6,76469,7942,12,118,2033,0
412,Thresh,4,14,False,0,6,4,12411,4867,9,33,2065,3857
5,XinZhao,4,11,False,3,6,2,110916,8174,11,14,6630,3053
68,Rumble,4,14,False,0,3,2,71131,6482,12,162,3152,2421
523,Aphelios,4,7,False,3,6,2,97138,9309,11,164,1055,6673
164,Camille,12,14,False,1,7,1,59280,6958,11,122,1055,2031
432,Bard,3,4,True,1,1,21,14859,6981,12,15,3190,3853
64,LeeSin,4,11,True,9,1,12,114533,10196,13,8,6630,3053
13,Ryze,4,12,True,9,0,8,176359,12394,15,189,3040,6655
