champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
2,Olaf,12,4,True,11,7,13,258575,20235,18,263,6630,3193
246,Qiyana,4,14,True,19,8,10,291491,20490,18,268,6694,6693
120,Hecarim,6,11,True,7,4,20,236765,16218,18,44,6632,3065
44,Taric,14,4,True,2,5,33,43624,12178,17,49,3107,3860
115,Ziggs,4,12,True,7,12,13,463572,22179,18,370,3040,6653
39,Irelia,4,12,False,7,12,7,231787,15796,18,229,6609,1057
40,Janna,4,14,False,1,9,22,22882,10961,16,13,6617,4643
119,Draven,4,7,False,8,9,10,387167,21198,18,299,3026,6673
48,Trundle,4,11,False,4,10,17,197511,14974,18,58,8001,3143
517,Sylas,12,4,False,16,7,12,354925,22812,18,330,3135,6656
164,Camille,14,12,True,12,1,6,145656,12826,16,192,3748,3053
235,Senna,4,7,True,8,3,6,114020,11156,13,167,1038,2055
59,JarvanIV,4,11,True,7,2,11,141686,10984,13,22,2421,6630
44,Taric,14,4,True,1,2,16,23962,6900,11,34,1011,3860
13,Ryze,4,12,True,2,0,5,181073,11235,15,219,3111,3157
18,Tristana,1,4,False,3,4,1,148804,10348,13,201,6672,3006
64,LeeSin,11,4,False,0,4,6,106606,7569,12,25,6630,3077
134,Syndra,4,12,False,4,4,1,97857,9377,13,177,2033,3041
876,Lillia,4,12,False,0,14,0,83883,6190,11,124,2033,0
117,Lulu,14,4,False,1,4,6,18765,5920,10,13,2065,3853
875,Sett,6,4,True,7,5,11,144811,12620,16,191,3053,3748
119,Draven,7,4,True,10,5,7,264839,17256,16,226,3508,3006
76,Nidalee,4,11,True,10,4,9,196585,13291,16,25,3157,3041
150,Gnar,12,4,True,9,5,12,223318,15230,17,213,6630,8001
44,Taric,14,4,True,1,1,25,41225,9586,14,60,8001,3860
20,Nunu,11,4,False,5,6,8,106596,10205,14,39,8001,3076
236,Lucian,4,12,False,6,6,5,198060,14639,16,235,3047,6671
58,Renekton,4,12,False,3,9,3,136030,10290,14,166,6630,2421
74,Heimerdinger,4,3,False,5,8,6,155222,12337,14,202,3157,3145
497,Rakan,4,14,False,1,8,12,24604,7534,12,35,2065,3860
517,Sylas,4,12,False,12,8,11,144297,15189,15,175,6656,3157
147,Seraphine,7,4,False,1,5,15,55098,8938,15,60,6617,3853
203,Kindred,4,11,False,11,12,9,197751,15504,15,78,6676,6672
86,Garen,4,12,False,1,9,6,130701,10673,15,170,1054,3071
13,Ryze,4,12,False,7,9,9,248657,14831,17,250,1058,3157
56,Nocturne,4,11,True,8,5,11,183337,13944,17,33,3123,3026
412,Thresh,4,14,True,1,8,23,24910,10013,16,31,8001,3857
119,Draven,1,4,True,11,5,12,278130,18695,18,239,3508,6676
126,Jayce,12,4,True,9,8,8,205296,15922,18,238,6692,6694
69,Cassiopeia,4,21,True,14,6,6,205809,17179,18,201,3040,3165
166,Akshan,4,14,True,3,6,5,133483,11154,15,201,3036,2031
44,Taric,14,4,True,1,4,21,29469,9340,14,44,3075,3860
76,Nidalee,4,11,True,11,3,11,217650,14979,17,48,3157,4636
18,Tristana,4,3,True,10,8,10,294316,18404,18,274,3072,2421
164,Camille,12,14,True,6,6,9,95792,11008,15,119,1055,3074
