champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
57,Maokai,4,14,False,5,6,5,29348,6698,9,31,3860,3158
64,LeeSin,4,11,False,6,8,2,120595,9348,12,17,3047,3071
13,Ryze,4,12,False,1,4,3,141605,9117,14,208,2033,6656
150,Gnar,4,12,False,1,6,4,73932,7298,12,139,3047,3078
81,Ezreal,4,12,False,1,9,5,89857,7972,11,156,3158,3042
43,Karma,14,4,True,2,5,11,28422,7332,12,25,3114,3853
5,XinZhao,4,11,True,3,2,8,106358,8928,13,16,6632,1037
22,Ashe,4,7,True,9,2,9,149881,13804,15,185,1036,1018
266,Aatrox,4,12,True,4,2,9,110295,10500,14,163,6630,1037
69,Cassiopeia,4,21,True,15,3,1,113380,12314,15,161,3040,2421
6,Urgot,4,12,False,8,7,2,111821,11956,15,200,1054,3748
51,Caitlyn,7,4,False,3,3,8,91375,9560,12,153,6691,1042
516,Ornn,4,14,False,2,7,5,33826,7943,12,46,3190,2055
56,Nocturne,4,11,False,3,9,6,113335,8573,13,28,6631,2055
13,Ryze,12,4,False,3,6,6,164712,10934,15,216,3157,0
421,RekSai,11,4,True,10,8,7,146540,11926,14,30,6693,2420
81,Ezreal,4,3,True,4,3,8,156759,12214,15,221,3110,0
48,Trundle,4,14,True,0,3,16,28349,7492,12,42,3857,4005
85,Kennen,4,12,True,12,3,6,183509,16206,17,215,3020,3152
69,Cassiopeia,4,21,True,6,2,8,151434,12307,16,183,3040,3135
22,Ashe,7,4,False,1,7,3,75853,6593,11,140,6673,1036
40,Janna,4,14,False,2,6,5,13453,5225,8,9,1001,3853
13,Ryze,4,12,False,5,4,6,117881,9525,13,177,2033,1052
84,Akali,14,12,False,4,6,4,67039,7055,12,113,1082,1026
5,XinZhao,4,11,False,2,9,5,86027,6633,12,34,3047,6630
74,Heimerdinger,4,14,True,7,0,7,37861,8777,12,50,0,3157
202,Jhin,4,7,True,5,1,7,103370,11131,13,159,6676,6671
234,Viego,11,4,True,3,5,4,117761,8226,12,18,2422,6632
69,Cassiopeia,4,21,True,5,4,7,126450,10341,14,154,2420,1052
114,Fiora,12,4,True,12,4,2,104215,12494,15,162,1054,6630
89,Leona,4,14,False,3,6,10,23515,7496,13,42,3190,3860
81,Ezreal,7,4,False,7,9,6,196784,13235,14,208,6691,3035
28,Evelynn,11,4,False,4,5,11,144936,9912,14,37,3020,3152
238,Zed,4,14,False,7,10,3,86583,10082,12,122,3158,3142
58,Renekton,12,4,False,5,4,6,197132,13773,16,259,3053,0
11,MasterYi,4,11,True,8,6,5,169539,12466,16,43,3026,2031
523,Aphelios,4,1,True,11,7,11,192151,15834,15,193,3006,2421
201,Braum,4,3,True,3,6,25,33801,10021,15,25,8001,3857
92,Riven,12,14,True,2,7,0,147295,11650,16,210,1055,3071
7,Leblanc,4,14,True,10,1,5,149275,14915,17,208,6655,3089
202,Jhin,4,1,False,4,9,8,198424,12544,15,233,6676,6671
61,Orianna,4,12,False,8,6,7,201302,16005,17,246,3102,3135
421,RekSai,11,4,False,9,9,5,145266,12913,15,22,6693,3026
150,Gnar,4,12,False,1,8,10,130552,9939,15,151,3053,6632
163,Taliyah,14,4,False,11,8,9,64159,11518,13,41,3020,6656
