champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
238,Zed,4,14,False,18,6,12,125725,19047,18,83,3047,6692
238,Zed,4,14,False,2,10,12,147324,13558,18,131,0,3071
238,Zed,11,4,False,8,8,12,138477,14241,18,28,3143,6333
238,Zed,4,14,False,3,11,13,68169,10767,17,52,2031,6691
238,Zed,4,14,False,8,8,11,95646,15502,18,106,6692,6676
59,JarvanIV,4,14,True,10,9,16,120542,15885,18,80,3047,6333
59,JarvanIV,14,4,True,8,6,8,126257,16114,18,106,3053,6630
59,JarvanIV,4,14,True,10,8,11,65004,14656,17,42,1031,3047
59,JarvanIV,4,14,True,8,8,8,97757,15560,17,88,3042,6676
59,JarvanIV,14,4,True,7,8,6,101603,13947,17,93,3047,6630
91,Talon,14,4,False,6,4,4,141191,12326,15,203,1036,6695
154,Zac,11,4,False,5,4,7,140698,9873,14,37,3158,3075
497,Rakan,4,14,False,1,8,9,15198,6501,11,30,3860,2065
22,Ashe,4,7,False,2,10,7,144565,10205,13,219,3006,6673
23,Tryndamere,4,6,False,6,6,5,163744,13873,16,196,6671,6675
67,Vayne,12,4,True,4,7,9,122554,11050,15,147,1055,6673
59,JarvanIV,4,11,True,4,2,23,180063,12438,16,47,6630,0
51,Caitlyn,4,7,True,13,3,12,183111,15538,15,200,3036,6671
40,Janna,3,4,True,1,3,25,22255,8974,13,13,3222,3853
13,Ryze,4,12,True,9,5,8,200263,13658,16,212,1058,3157
141,Kayn,4,11,False,7,8,4,158124,10870,15,43,3158,3070
44,Taric,14,4,False,0,5,12,24276,6799,13,43,3067,3860
126,Jayce,12,4,False,6,5,2,152745,11795,16,215,6692,0
13,Ryze,4,12,False,5,5,6,246807,13629,17,259,3157,6656
268,Azir,4,12,False,2,6,5,163009,11373,15,251,1058,6653
121,Khazix,4,11,True,3,2,11,148326,11002,16,18,6694,2031
134,Syndra,4,12,True,6,5,9,160376,14900,17,224,3089,3157
23,Tryndamere,4,6,True,2,4,6,190939,13078,17,215,6671,0
18,Tristana,3,4,True,8,3,8,226044,14977,17,259,2421,6672
37,Sona,4,14,True,10,6,12,24268,11154,15,13,3853,2065
157,Yasuo,4,14,False,2,9,1,44822,7344,12,46,1055,1055
157,Yasuo,14,4,False,4,6,2,58581,8581,12,52,1055,6673
157,Yasuo,12,4,False,2,6,1,68921,8040,12,80,1055,6673
157,Yasuo,14,4,False,4,5,2,46308,8258,12,44,6673,3006
157,Yasuo,14,4,False,3,5,3,61259,8755,12,75,6673,3006
517,Sylas,12,4,True,5,1,2,60105,9085,13,45,1082,2033
517,Sylas,4,21,True,2,4,2,37157,7545,13,43,4633,2421
517,Sylas,4,14,True,19,1,2,145779,18917,16,112,6656,3157
517,Sylas,12,4,True,3,5,8,44080,8331,13,54,6656,3157
517,Sylas,4,14,True,2,5,3,36605,7249,11,41,1082,6656
202,Jhin,4,7,False,2,6,2,43936,4851,8,82,0,0
58,Renekton,4,12,False,1,8,0,42714,4169,9,73,6029,2031
90,Malzahar,4,12,False,3,8,3,50110,5466,10,83,1056,6653
25,Morgana,14,4,False,2,11,2,9895,5217,7,11,1028,3158
48,Trundle,4,11,False,0,7,4,48942,4517,8,11,6632,2031
38,Kassadin,14,4,True,12,1,10,67254,9194,11,109,3041,3100
98,Shen,4,14,True,5,4,16,19345,6805,10,28,3068,3067
85,Kennen,4,12,True,4,0,13,62667,7900,11,110,3020,3152
24,Jax,12,14,True,7,1,3,102999,9769,13,143,2033,6632
203,Kindred,11,4,True,12,2,12,114448,10991,11,35,6672,6676
41,Gangplank,4,14,False,2,15,6,63921,11881,15,39,3040,6653
41,Gangplank,4,14,False,2,11,4,105694,10523,15,99,6632,3036
41,Gangplank,12,4,False,3,13,5,98024,11954,15,80,3111,0
41,Gangplank,4,3,False,7,10,3,175202,15648,17,119,3036,3123
41,Gangplank,4,14,False,2,15,6,108392,11747,15,92,6691,6609
154,Zac,12,4,True,14,3,14,102122,16394,18,80,4636,4637
154,Zac,4,3,True,5,1,7,141941,13811,17,77,3068,6333
154,Zac,14,4,True,8,5,16,130293,14891,18,73,3047,3082
154,Zac,4,12,True,15,5,15,122219,18436,18,122,3143,3083
154,Zac,12,4,True,22,2,17,111468,20708,18,85,3065,3068
164,Camille,12,4,False,1,3,3,35039,4700,10,90,1054,6632
79,Gragas,14,4,False,1,7,5,15199,3568,8,23,3859,2055
887,Gwen,6,11,False,4,4,3,70794,6794,10,16,3158,2031
91,Talon,14,4,False,2,2,2,70339,6594,11,135,3134,2031
429,Kalista,3,4,False,2,9,2,38470,4966,8,99,1055,2031
24,Jax,4,12,True,7,5,1,52836,6844,10,91,2033,1055
48,Trundle,11,4,True,5,2,5,72630,7259,9,15,6632,3067
26,Zilean,12,4,True,4,1,1,62314,6332,11,127,2033,6656
12,Alistar,4,14,True,1,1,12,17813,4998,9,25,3190,3859
523,Aphelios,4,7,True,7,1,7,78843,9488,11,130,3006,6673
26,Zilean,4,14,True,6,2,7,23330,7923,11,16,3853,2065
64,LeeSin,4,11,True,8,1,4,112830,10429,13,22,6692,3111
777,Yone,4,14,True,7,2,5,143505,10965,14,188,1054,2031
23,Tryndamere,4,6,True,4,0,5,167632,11732,15,179,6671,6675
110,Varus,4,7,True,3,4,10,107073,9584,13,164,2031,3158
267,Nami,7,4,False,0,5,4,8751,4527,10,4,3853,2031
76,Nidalee,4,11,False,5,3,0,100936,7077,11,8,2421,2031
245,Ekko,14,12,False,2,4,3,133169,8786,14,224,1082,3152
