champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
48,Trundle,4,11,False,4,8,6,103045,9824,13,25,6632,3053
3,Galio,4,14,False,2,6,10,27381,7458,12,38,3860,2065
92,Riven,4,14,False,2,8,3,88460,8536,13,162,1036,6630
523,Aphelios,4,7,False,2,6,10,127820,10518,13,233,6673,3006
85,Kennen,4,12,False,8,6,3,117778,10519,14,166,3152,3157
29,Twitch,4,3,True,13,4,9,164504,13834,15,172,3006,6671
203,Kindred,4,11,True,9,5,12,205012,13479,15,64,2420,3036
98,Shen,12,4,True,8,0,18,139131,12797,16,163,1054,6662
43,Karma,4,12,True,4,2,17,79565,9771,14,120,0,2420
497,Rakan,4,14,True,0,7,23,14752,7444,12,7,3853,3190
12,Alistar,4,14,True,0,11,26,19174,7897,13,23,3859,2055
30,Karthus,3,11,True,16,4,10,169430,14672,16,35,6653,3157
164,Camille,12,14,True,6,5,13,84310,10642,15,122,3748,0
18,Tristana,7,4,True,14,4,8,229052,16732,16,213,3046,6672
55,Katarina,12,14,True,7,7,11,120147,11194,14,162,4633,1058
5,XinZhao,4,11,False,7,9,10,145381,11513,13,25,0,6630
111,Nautilus,4,14,False,3,11,17,39010,8676,12,54,3860,3190
85,Kennen,4,12,False,7,8,1,73656,9129,13,125,3152,2420
115,Ziggs,4,12,False,6,10,6,157839,12291,13,193,2420,3089
875,Sett,6,4,False,8,5,8,114739,13372,15,181,3047,3748
412,Thresh,4,14,True,1,11,21,14489,7918,14,30,3190,3107
68,Rumble,14,4,True,17,7,17,145432,15750,17,143,3135,3152
84,Akali,12,14,True,11,7,5,146635,14072,17,209,3152,3157
21,MissFortune,4,7,True,9,5,12,236090,16244,17,254,3031,1038
48,Trundle,4,11,True,6,5,17,145975,13335,16,27,2421,2055
99,Lux,4,12,False,4,10,14,128172,11759,15,170,6655,4628
555,Pyke,4,14,False,10,8,15,31161,13014,14,57,3857,1037
19,Warwick,4,11,False,5,12,11,166536,11712,15,57,3111,3748
164,Camille,14,12,False,3,8,7,176999,12354,16,202,3078,3111
115,Ziggs,4,12,False,13,6,12,227624,18135,17,228,3020,6655
134,Syndra,4,12,False,3,7,8,129335,10147,13,207,3158,1026
84,Akali,12,4,False,10,5,2,122956,12622,15,204,1082,3157
164,Camille,14,12,False,0,7,6,145949,9806,14,189,3748,3047
104,Graves,11,4,False,8,5,9,193347,12647,15,29,2055,3142
412,Thresh,14,4,False,1,7,14,21718,6824,12,33,3857,2055
267,Nami,14,4,True,4,0,21,21858,8919,13,10,3853,3916
58,Renekton,4,12,True,7,5,9,156165,13583,15,189,6630,3053
3,Galio,4,12,True,1,6,13,92986,8935,14,134,6656,3157
236,Lucian,4,7,True,6,6,11,178125,14015,15,210,3006,3508
141,Kayn,4,11,True,13,5,9,223239,15383,16,87,3814,3142
68,Rumble,11,4,False,4,2,6,164061,11186,14,41,3135,2055
555,Pyke,4,14,False,3,6,2,15413,8033,11,52,3857,3117
517,Sylas,12,4,False,4,7,2,130526,12345,15,205,1058,6656
126,Jayce,4,12,False,6,2,4,140031,11771,15,197,2031,6692
110,Varus,4,7,False,0,8,3,125068,8836,13,215,6691,3042
236,Lucian,12,4,True,0,7,6,168457,10918,16,231,3006,6671
