champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
43,Karma,4,3,False,0,5,18,14297,7785,13,11,3070,6617
518,Neeko,4,32,False,3,9,9,33036,8007,11,27,6656,3020
92,Riven,32,4,False,7,8,7,32776,10203,12,40,0,3133
22,Ashe,7,4,False,5,4,10,32248,8861,13,15,2031,3177
34,Anivia,4,7,False,3,5,8,44095,8537,12,40,3040,6653
235,Senna,4,21,True,6,3,24,33622,10112,14,26,3184,3042
201,Braum,4,3,True,1,3,30,9621,8636,14,6,2051,3190
164,Camille,32,4,True,10,4,17,48686,11467,13,44,3078,3053
64,LeeSin,4,32,True,11,4,15,42680,10904,14,29,3177,6691
27,Singed,32,6,True,3,4,22,34533,9372,13,30,3111,2051
38,Kassadin,4,32,False,18,15,18,66973,14162,17,45,6655,3040
131,Diana,4,32,False,12,13,30,80877,13573,18,55,3152,3157
22,Ashe,7,4,False,6,11,37,45686,12105,17,28,3042,3177
50,Swain,32,4,False,12,12,34,66307,13063,18,53,6653,3165
101,Xerath,4,6,False,12,8,31,75192,13211,18,43,3070,3112
90,Malzahar,4,3,True,10,10,23,63248,14106,18,73,6653,3020
23,Tryndamere,32,4,True,15,15,20,67819,13943,18,42,3111,6671
43,Karma,7,4,True,4,9,37,33244,12301,18,24,2065,3157
33,Rammus,4,32,True,12,13,14,58873,13136,17,34,2051,3068
64,LeeSin,4,32,True,18,13,22,72868,15578,18,44,3111,6630
223,TahmKench,4,32,False,4,12,22,27839,9616,15,21,3047,3083
102,Shyvana,32,4,False,11,9,14,48325,11399,15,46,3020,3152
80,Pantheon,32,4,False,17,10,14,79346,13942,16,48,3142,3134
21,MissFortune,4,7,False,4,7,26,53728,10502,16,39,3165,0
35,Shaco,32,4,False,7,8,14,29837,10265,15,20,6653,3157
41,Gangplank,14,4,True,9,11,19,87354,12566,16,55,3031,6671
64,LeeSin,4,32,True,15,10,19,50669,13163,16,40,3111,6630
103,Ahri,4,6,True,8,8,23,59777,11207,16,32,3112,6653
126,Jayce,32,4,True,8,5,32,68914,13056,17,47,6692,2033
875,Sett,32,4,True,6,11,20,34889,10996,16,25,3111,6630
412,Thresh,4,14,True,0,3,18,17147,7526,13,31,3857,3067
110,Varus,7,4,True,5,3,12,137982,12309,15,208,3142,3133
34,Anivia,14,4,True,6,0,11,194294,13241,16,245,6656,3157
85,Kennen,4,12,True,7,1,9,117952,12375,15,185,3135,3152
107,Rengar,4,11,True,5,3,12,156384,11392,15,41,0,3508
81,Ezreal,4,7,False,3,2,2,145069,10952,13,223,3042,3110
201,Braum,4,3,False,0,7,4,24770,6255,11,32,3190,3857
10,Kayle,12,4,False,1,7,2,160995,11814,15,218,6655,3115
7,Leblanc,12,4,False,5,2,1,126869,11762,15,221,1058,1058
59,JarvanIV,4,11,False,1,5,4,156433,9355,14,48,1029,6630
64,LeeSin,12,4,False,5,4,3,52927,6444,11,103,3133,6630
81,Ezreal,4,7,False,3,3,1,43531,6041,9,117,0,3158
111,Nautilus,4,14,False,0,4,3,11048,3774,8,22,0,3859
427,Ivern,4,11,False,1,3,5,134914,5481,9,11,3158,2031
114,Fiora,12,4,False,1,3,3,52469,6138,10,113,2031,0
30,Karthus,4,3,True,2,6,2,71967,6654,11,123,6653,0
110,Varus,7,4,True,3,0,6,78957,8118,11,149,1055,0
203,Kindred,4,11,True,5,0,5,121108,8527,12,24,3086,3006
267,Nami,14,4,True,3,1,9,9399,5885,9,6,0,2003
133,Quinn,4,14,True,4,3,2,50215,6523,11,112,6671,2015
498,Xayah,3,4,True,3,2,8,97392,8446,12,160,3006,6672
2,Olaf,12,4,True,8,1,3,92282,10282,13,152,6630,2033
64,LeeSin,4,11,True,7,3,4,84158,7566,10,10,6630,2031
48,Trundle,4,14,True,0,2,14,20429,5283,9,26,3855,2031
4,TwistedFate,4,12,True,7,3,5,59703,8392,10,112,6656,2033
38,Kassadin,4,12,False,0,3,3,45132,5072,10,116,2031,3070
18,Tristana,7,4,False,4,3,1,56744,7293,10,117,1055,6672
39,Irelia,4,12,False,2,9,1,80815,6181,11,137,1055,3153
89,Leona,14,4,False,1,6,7,11729,4571,8,28,3117,1029
234,Viego,4,11,False,4,4,3,83736,7989,10,20,3047,3153
119,Draven,4,7,True,6,3,8,132556,12326,13,170,6673,3006
412,Thresh,14,4,True,2,2,16,19353,7146,12,30,3857,2055
517,Sylas,4,12,True,11,8,7,78866,10471,13,115,1056,3157
26,Zilean,12,4,True,2,2,18,60012,8292,15,110,2033,6656
104,Graves,11,4,True,15,0,8,197356,15561,15,84,3047,3142
64,LeeSin,4,11,False,3,8,5,103768,7470,12,17,6630,2031
164,Camille,12,14,False,4,7,1,54908,7549,12,126,1054,6632
497,Rakan,4,14,False,1,6,4,11938,5015,10,10,3853,3067
13,Ryze,4,12,False,4,9,5,127471,9263,13,186,3040,6656
18,Tristana,7,4,False,2,6,2,80699,7693,11,152,1055,6672
14,Sion,12,4,True,3,8,2,88584,7781,12,118,2033,3134
111,Nautilus,4,14,True,0,1,13,17361,5884,10,28,3860,3047
13,Ryze,12,4,True,15,0,3,143290,12675,14,192,3040,3041
18,Tristana,7,4,True,3,0,4,91779,8468,12,159,1055,6672
234,Viego,4,11,True,5,0,5,130288,9047,13,23,2031,0
55,Katarina,12,14,False,1,11,2,57438,5214,10,102,2031,1082
64,LeeSin,4,11,False,2,4,1,76973,5638,10,20,6630,2031
40,Janna,7,4,False,1,1,4,5778,4194,10,11,3851,2055
222,Jinx,4,3,False,2,5,1,62068,6038,10,135,6672,3006
777,Yone,12,4,False,3,5,3,83595,7255,12,145,1038,2055
412,Thresh,4,14,False,1,10,12,16924,7687,13,30,3067,2065
119,Draven,7,4,False,11,5,5,252970,17608,15,253,6673,6676
64,LeeSin,4,11,False,7,9,8,124347,11152,14,39,6630,3047
61,Orianna,12,4,False,2,4,6,139814,10704,16,211,3157,3040
126,Jayce,4,12,False,3,11,6,141658,11489,15,197,6692,2031
121,Khazix,4,11,True,9,7,10,143192,13040,14,21,3133,6609
164,Camille,4,12,True,7,2,13,173533,15607,17,207,6333,3078
51,Caitlyn,4,7,True,6,8,10,182534,13529,16,229,1018,6676
34,Anivia,4,6,True,11,3,12,174243,14530,17,223,3020,6655
43,Karma,14,4,True,6,4,16,22572,9671,14,19,0,2065
61,Orianna,4,12,False,2,8,3,52312,5666,10,108,1082,6653
126,Jayce,12,4,False,2,7,2,60599,6289,10,123,6692,2031
16,Soraka,4,3,False,0,4,5,8699,4456,9,8,1004,0
203,Kindred,4,11,False,2,8,5,67219,5940,10,11,3006,6672
51,Caitlyn,4,7,False,2,4,2,64475,6823,10,122,1055,6672
18,Tristana,7,4,True,5,1,8,101650,9392,11,111,1055,6672
25,Morgana,14,4,True,6,3,10,27236,7789,10,14,3157,3853
34,Anivia,4,6,True,9,0,4,100397,10522,13,158,3020,6655
11,MasterYi,4,11,True,7,3,4,104833,8941,12,29,6672,2031
223,TahmKench,4,12,True,3,1,3,55409,8160,12,130,1054,3068
