champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
245,Ekko,4,11,True,7,10,11,223219,13917,16,53,3157,3152
432,Bard,4,14,True,8,11,13,26702,11269,15,45,3190,3853
875,Sett,4,12,True,13,9,1,189912,17217,17,212,3047,6630
13,Ryze,4,12,True,6,8,10,230345,14714,16,247,1033,6656
134,Syndra,4,12,True,7,12,14,127414,12165,14,154,1052,6655
30,Karthus,4,3,False,14,11,16,253105,18569,18,274,3135,3157
164,Camille,12,14,False,17,7,11,134510,16266,18,151,3065,6632
64,LeeSin,4,11,False,5,8,18,200500,13041,17,58,3111,3156
142,Zoe,4,14,False,10,3,15,203197,16568,18,234,3135,3157
497,Rakan,4,14,False,4,12,22,27646,9988,15,55,3860,2065
5,XinZhao,4,11,False,6,10,12,161093,12012,14,49,0,6630
526,Rell,4,14,False,5,8,15,24893,8623,13,32,1042,1042
7,Leblanc,4,12,False,7,6,10,117164,12128,16,203,4629,3135
429,Kalista,4,7,False,11,8,7,174040,15872,15,219,3026,6672
74,Heimerdinger,4,12,False,0,7,6,138214,9633,15,187,3157,1058
432,Bard,4,14,True,3,6,28,30726,9832,14,26,3853,3190
22,Ashe,7,4,True,8,9,14,109587,12418,15,139,3006,6673
131,Diana,11,4,True,9,6,18,234312,14844,17,39,3152,3157
875,Sett,6,4,True,5,6,14,128932,12341,16,185,0,3053
164,Camille,12,4,True,14,2,10,164949,16856,18,209,3748,6632
34,Anivia,14,4,False,0,5,1,31093,3938,8,63,1056,2031
122,Darius,6,4,False,1,4,0,27200,4086,8,75,3044,3047
147,Seraphine,4,3,False,0,3,0,20421,3883,7,49,0,0
64,LeeSin,11,4,False,1,3,1,62659,4733,9,22,2031,2422
37,Sona,4,7,False,0,0,0,14828,4096,8,29,3158,3070
61,Orianna,4,12,True,3,0,3,74563,7483,11,148,3070,1082
202,Jhin,1,4,True,2,0,2,68220,6875,10,127,0,1037
432,Bard,4,14,True,2,0,5,9753,5323,8,15,3853,2055
126,Jayce,12,4,True,3,1,4,90479,9174,12,164,6692,0
5,XinZhao,4,11,True,5,1,3,88884,7249,10,7,3111,6630
48,Trundle,4,11,False,4,8,6,103045,9824,13,25,6632,3053
3,Galio,4,14,False,2,6,10,27381,7458,12,38,3860,2065
92,Riven,4,14,False,2,8,3,88460,8536,13,162,1036,6630
523,Aphelios,4,7,False,2,6,10,127820,10518,13,233,6673,3006
85,Kennen,4,12,False,8,6,3,117778,10519,14,166,3152,3157
29,Twitch,4,3,True,13,4,9,164504,13834,15,172,3006,6671
203,Kindred,4,11,True,9,5,12,205012,13479,15,64,2420,3036
98,Shen,12,4,True,8,0,18,139131,12797,16,163,1054,6662
43,Karma,4,12,True,4,2,17,79565,9771,14,120,0,2420
497,Rakan,4,14,True,0,7,23,14752,7444,12,7,3853,3190
432,Bard,4,14,False,1,5,11,16011,5941,11,13,3853,3190
517,Sylas,4,12,False,2,10,6,67653,6948,11,105,1056,2421
81,Ezreal,4,12,False,2,5,4,97578,8121,12,167,3078,3042
39,Irelia,12,4,False,3,5,3,115946,9566,13,182,3153,3091
234,Viego,4,11,False,8,4,5,126370,11316,12,8,2055,3044
13,Ryze,4,12,True,10,6,12,138264,11748,14,165,3040,6656
202,Jhin,4,7,True,6,2,8,151060,12745,13,205,3009,6671
223,TahmKench,4,12,True,2,3,1,70056,8273,13,138,3075,1028
37,Sona,4,14,True,4,2,17,25115,7927,12,12,3853,2065
64,LeeSin,11,4,True,7,3,16,118357,10762,13,31,3047,6630
119,Draven,4,7,True,6,3,8,132556,12326,13,170,6673,3006
412,Thresh,14,4,True,2,2,16,19353,7146,12,30,3857,2055
517,Sylas,4,12,True,11,8,7,78866,10471,13,115,1056,3157
26,Zilean,12,4,True,2,2,18,60012,8292,15,110,2033,6656
104,Graves,11,4,True,15,0,8,197356,15561,15,84,3047,3142
64,LeeSin,4,11,False,3,8,5,103768,7470,12,17,6630,2031
164,Camille,12,14,False,4,7,1,54908,7549,12,126,1054,6632
497,Rakan,4,14,False,1,6,4,11938,5015,10,10,3853,3067
13,Ryze,4,12,False,4,9,5,127471,9263,13,186,3040,6656
18,Tristana,7,4,False,2,6,2,80699,7693,11,152,1055,6672
64,LeeSin,4,11,False,3,6,6,90852,7555,11,21,3047,1037
429,Kalista,7,4,False,7,5,1,106744,11670,12,189,3006,3036
4,TwistedFate,4,12,False,2,7,2,109310,9252,13,193,6656,3157
164,Camille,12,14,False,3,5,8,78282,8409,13,122,6632,3077
3,Galio,4,14,False,4,5,9,43703,7556,11,52,3190,2055
7,Leblanc,14,4,True,15,1,4,143173,15500,15,162,3153,6672
102,Shyvana,4,11,True,5,4,9,181684,11334,15,69,0,0
78,Poppy,12,4,True,2,4,11,105791,9581,14,150,3068,2055
432,Bard,4,14,True,3,5,12,17665,7802,12,19,3853,3190
236,Lucian,7,4,True,2,5,6,84886,8152,12,130,6671,3508
523,Aphelios,1,4,False,4,8,2,119089,10410,14,187,3006,6673
68,Rumble,4,14,False,7,6,7,134951,12325,16,196,3152,3157
234,Viego,4,11,False,5,5,14,136425,11666,14,40,6632,3047
44,Taric,14,4,False,1,4,14,29144,7322,13,45,3067,3860
887,Gwen,12,14,False,9,8,8,126782,14464,15,196,3089,3157
157,Yasuo,14,4,True,2,7,10,162669,10668,14,179,1055,6673
497,Rakan,4,14,True,1,5,19,13352,7487,12,11,3853,2065
39,Irelia,12,4,True,11,8,10,184457,14578,17,207,6673,3153
141,Kayn,11,4,True,7,4,5,217306,14512,16,83,2055,6630
45,Veigar,4,12,True,10,2,11,139619,12982,15,191,6656,3157
164,Camille,14,12,False,9,6,4,135950,12456,15,183,1055,3044
497,Rakan,4,14,False,1,7,9,13935,6486,11,15,3853,2065
43,Karma,12,4,False,1,4,7,70949,7058,13,128,6617,1082
120,Hecarim,6,11,False,3,5,7,166037,11106,14,54,3047,3211
15,Sivir,7,4,False,4,5,3,152268,11419,14,221,6671,1037
78,Poppy,4,14,True,2,4,14,26839,8137,13,45,3857,3047
91,Talon,14,4,True,9,1,6,144404,13066,16,219,2055,3142
887,Gwen,12,14,True,4,7,7,109801,11120,15,198,3115,2421
104,Graves,11,4,True,8,4,8,202804,13360,17,49,6692,3142
115,Ziggs,4,12,True,4,2,9,196450,11948,16,244,3157,3070
497,Rakan,4,14,True,2,5,26,20826,9249,14,14,3853,2065
5,XinZhao,4,11,True,7,6,18,133267,12445,16,25,6630,3091
98,Shen,4,12,True,5,4,13,83034,11392,16,160,6662,3107
13,Ryze,12,4,True,11,8,8,192645,13944,16,188,0,3040
22,Ashe,4,7,True,18,3,9,244891,18470,18,272,6673,3006
115,Ziggs,12,4,False,3,5,7,231108,13841,16,231,3020,3040
164,Camille,12,4,False,7,8,2,180465,14678,16,180,3053,0
166,Akshan,4,14,False,11,7,5,136820,13673,16,148,3111,0
20,Nunu,4,11,False,4,12,5,107535,9283,13,24,3068,3065
74,Heimerdinger,4,14,False,1,11,7,40599,8249,12,39,2055,3157
