champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
34,Anivia,14,4,False,0,5,1,31093,3938,8,63,1056,2031
122,Darius,6,4,False,1,4,0,27200,4086,8,75,3044,3047
147,Seraphine,4,3,False,0,3,0,20421,3883,7,49,0,0
64,LeeSin,11,4,False,1,3,1,62659,4733,9,22,2031,2422
37,Sona,4,7,False,0,0,0,14828,4096,8,29,3158,3070
61,Orianna,4,12,True,3,0,3,74563,7483,11,148,3070,1082
202,Jhin,1,4,True,2,0,2,68220,6875,10,127,0,1037
432,Bard,4,14,True,2,0,5,9753,5323,8,15,3853,2055
126,Jayce,12,4,True,3,1,4,90479,9174,12,164,6692,0
5,XinZhao,4,11,True,5,1,3,88884,7249,10,7,3111,6630
58,Renekton,12,4,True,3,3,3,98096,8369,13,171,6630,3044
13,Ryze,12,4,True,4,4,7,103425,8451,12,132,2031,3157
412,Thresh,4,14,True,0,1,15,18197,7047,11,31,3860,3190
429,Kalista,4,1,True,10,1,4,136022,13844,13,214,6673,3026
68,Rumble,11,4,True,9,0,11,143481,10868,14,26,4636,3041
164,Camille,14,12,False,3,1,3,81440,8352,13,163,2055,6632
51,Caitlyn,4,7,False,1,8,3,61274,7041,10,123,1055,6672
147,Seraphine,12,4,False,2,3,2,108478,7921,12,189,6653,3040
99,Lux,4,14,False,0,8,5,21809,5110,9,25,3853,3158
77,Udyr,4,11,False,2,6,4,102950,7550,11,28,6662,1029
126,Jayce,12,4,False,4,4,7,167474,12757,15,224,6692,2055
43,Karma,4,14,False,2,11,16,21858,8209,12,19,6616,2065
55,Katarina,12,14,False,12,13,7,117870,13229,14,159,4633,3115
81,Ezreal,1,4,False,6,6,2,175750,11697,15,199,3158,1036
64,LeeSin,11,4,False,10,7,7,129116,11769,13,18,6692,3053
35,Shaco,3,14,True,5,11,16,23118,9477,13,7,3157,6653
22,Ashe,4,7,True,4,6,11,114566,12167,15,196,0,6673
13,Ryze,4,12,True,12,5,10,239239,15881,17,212,6656,3157
234,Viego,11,4,True,14,5,14,186195,15768,16,34,3053,6632
85,Kennen,4,12,True,6,7,14,116600,11712,16,184,3152,3157
39,Irelia,4,12,True,4,4,10,130347,12214,16,204,1057,6630
51,Caitlyn,4,7,True,13,3,8,202322,16994,17,226,3094,6671
245,Ekko,4,11,True,14,3,13,264803,16970,18,59,3152,3111
26,Zilean,12,4,True,1,6,17,100395,10414,16,171,2033,6656
526,Rell,4,14,True,2,6,18,19824,8623,13,36,3860,3158
875,Sett,4,12,False,2,7,6,119538,9794,15,161,3053,6630
34,Anivia,14,4,False,3,4,11,135368,11052,15,182,6656,1056
111,Nautilus,4,14,False,0,9,13,23351,6977,12,42,3190,3857
104,Graves,11,4,False,15,5,3,248849,16715,17,80,3036,3140
74,Heimerdinger,3,4,False,2,9,3,120607,9185,13,150,3108,3102
107,Rengar,4,11,False,10,4,7,157682,12596,14,41,3123,6694
89,Leona,14,4,False,1,1,15,34110,7660,12,53,3047,3190
74,Heimerdinger,3,4,False,3,8,6,127540,10087,14,185,3916,3020
38,Kassadin,4,12,False,6,7,6,104274,10238,14,179,3070,3157
223,TahmKench,4,12,False,5,2,8,69993,9682,14,145,3047,1054
104,Graves,11,4,True,8,4,9,224526,14484,15,35,6676,6692
81,Ezreal,4,3,True,6,5,5,163039,11475,15,203,3110,6632
497,Rakan,4,14,True,0,6,12,22941,6535,12,40,3860,2065
8,Vladimir,4,14,True,4,4,6,117854,10989,15,202,4629,3152
164,Camille,12,14,True,4,6,10,128662,12570,15,193,3053,3074
887,Gwen,12,4,True,14,0,7,219932,18439,18,256,4629,4633
236,Lucian,4,3,True,6,5,6,155355,12044,15,193,1055,1001
48,Trundle,11,4,True,2,4,16,157575,12001,16,17,6632,3065
12,Alistar,14,4,True,1,3,16,14993,8225,13,27,3860,8001
246,Qiyana,4,14,True,4,6,7,166067,12185,16,197,2421,6693
126,Jayce,12,4,False,6,5,2,179517,11395,16,227,6692,2055
61,Orianna,3,4,False,4,6,6,210010,13298,16,252,3020,3916
119,Draven,4,7,False,4,5,4,170123,12882,15,243,0,3047
32,Amumu,4,11,False,3,5,6,109706,8688,13,17,3075,2031
53,Blitzcrank,14,4,False,1,6,11,27691,6961,12,30,3050,3190
119,Draven,4,7,False,14,6,7,160240,16389,14,202,2421,3031
517,Sylas,4,12,False,10,12,7,91692,10266,14,123,3108,3157
113,Sejuani,4,11,False,8,5,17,112411,11567,14,25,6662,2055
497,Rakan,4,14,False,0,8,21,19219,7073,13,27,2055,3860
58,Renekton,4,12,False,3,7,6,103428,8827,14,155,6630,3053
164,Camille,12,14,True,10,5,6,154876,14619,16,177,2421,3078
166,Akshan,4,14,True,13,8,9,102295,13639,15,159,3111,3036
30,Karthus,3,4,True,6,7,15,99494,10533,14,124,3020,3157
5,XinZhao,11,4,True,5,7,19,196432,12676,16,19,3143,3047
143,Zyra,4,14,True,4,8,14,44673,8692,13,36,3853,6653
350,Yuumi,3,7,True,1,1,13,12867,6068,10,1,6617,0
5,XinZhao,4,11,True,12,3,7,112380,11064,12,19,6630,2031
81,Ezreal,4,1,True,7,3,2,127863,9578,12,144,0,0
1,Annie,4,14,True,3,3,9,76008,8403,12,152,1058,3145
36,DrMundo,4,12,True,6,1,8,98208,9493,12,148,6662,3047
3,Galio,4,14,False,2,5,3,19255,4641,8,27,3859,8001
887,Gwen,11,6,False,5,6,0,87704,6968,10,21,3916,2420
4,TwistedFate,12,4,False,1,5,4,65758,6752,11,131,2033,6656
107,Rengar,12,14,False,3,8,2,32404,6098,10,76,3157,2421
15,Sivir,7,4,False,0,5,2,58610,5343,10,119,3004,0
104,Graves,11,4,True,13,3,10,207546,15347,16,34,3142,2421
18,Tristana,4,7,True,9,7,16,182948,14606,15,206,3139,0
497,Rakan,14,4,True,5,7,31,27020,9810,13,38,2065,3067
516,Ornn,12,4,True,2,5,15,109212,10524,15,177,3047,2033
59,JarvanIV,4,12,True,11,5,23,113526,13265,15,165,6630,3157
164,Camille,4,12,False,6,2,12,150009,13425,16,213,2421,3074
67,Vayne,4,3,False,5,13,7,98258,9822,13,151,1036,1055
64,LeeSin,11,4,False,6,7,8,170716,11931,14,58,2055,6630
412,Thresh,4,14,False,1,9,15,18255,6763,11,29,3860,3190
1,Annie,4,14,False,9,9,8,116173,12716,14,173,1058,3157
110,Varus,7,4,False,4,8,6,102743,9743,13,177,3123,3158
234,Viego,11,4,False,2,6,3,133182,9213,13,43,3091,6632
58,Renekton,4,12,False,3,6,4,106312,9120,14,183,3047,0
84,Akali,14,12,False,10,4,3,109202,11503,14,158,3089,3157
497,Rakan,4,3,False,0,6,12,13353,6144,11,29,3860,2055
111,Nautilus,4,14,True,3,4,17,26238,8527,12,33,3860,3190
157,Yasuo,4,12,True,2,6,9,110074,9734,14,158,1055,3006
131,Diana,4,11,True,8,2,11,157385,11026,14,12,3152,1026
24,Jax,14,12,True,3,2,4,149304,11688,15,192,2033,3153
18,Tristana,7,4,True,14,5,11,191201,15627,15,209,3006,3026
