champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
14,Sion,12,4,True,3,8,2,88584,7781,12,118,2033,3134
111,Nautilus,4,14,True,0,1,13,17361,5884,10,28,3860,3047
13,Ryze,12,4,True,15,0,3,143290,12675,14,192,3040,3041
18,Tristana,7,4,True,3,0,4,91779,8468,12,159,1055,6672
234,Viego,4,11,True,5,0,5,130288,9047,13,23,2031,0
55,Katarina,12,14,False,1,11,2,57438,5214,10,102,2031,1082
64,LeeSin,4,11,False,2,4,1,76973,5638,10,20,6630,2031
40,Janna,7,4,False,1,1,4,5778,4194,10,11,3851,2055
222,Jinx,4,3,False,2,5,1,62068,6038,10,135,6672,3006
777,Yone,12,4,False,3,5,3,83595,7255,12,145,1038,2055
30,Karthus,4,3,False,0,6,4,54104,5208,10,96,6653,0
35,Shaco,11,14,False,7,6,3,69966,7159,10,17,3142,6029
39,Irelia,4,12,False,4,3,4,111587,8122,13,176,3153,1001
13,Ryze,12,4,False,5,6,3,83253,8001,11,144,3040,0
53,Blitzcrank,4,14,False,2,5,4,9219,4218,8,18,3855,3117
64,LeeSin,4,11,True,4,4,5,100305,7228,11,2,2055,6630
432,Bard,3,4,True,2,2,14,8412,6066,11,3,3190,3851
55,Katarina,12,14,True,6,3,5,77992,9109,13,150,3152,2421
14,Sion,12,4,True,4,8,2,118680,9568,13,172,2033,3181
18,Tristana,4,7,True,9,1,2,121176,10264,12,141,0,1036
555,Pyke,4,14,True,4,2,10,29846,8516,11,44,3857,0
114,Fiora,12,4,True,5,1,0,124100,12092,15,212,1054,6630
245,Ekko,4,11,True,3,2,6,134819,9894,13,25,3115,0
238,Zed,14,4,True,10,0,3,148032,13538,15,228,3142,2055
18,Tristana,4,7,True,4,5,8,97487,10069,12,160,3046,3006
55,Katarina,12,14,False,2,5,1,80157,7081,12,153,3152,2421
157,Yasuo,3,4,False,2,6,2,79499,7415,12,156,1055,6673
85,Kennen,4,12,False,2,4,0,69353,7126,12,133,3152,2031
234,Viego,4,11,False,3,5,6,113454,7982,12,14,3053,3047
432,Bard,4,14,False,1,6,5,11010,4982,9,7,3853,3047
164,Camille,14,12,True,4,6,10,118124,10940,15,181,6632,2031
110,Varus,4,7,True,5,2,8,134601,11292,14,206,6691,2055
55,Katarina,12,14,True,17,4,7,136248,13483,15,168,3152,3157
121,Khazix,4,11,True,11,2,8,150551,11807,15,25,6695,2055
43,Karma,4,3,True,0,3,22,25834,7457,13,7,3853,6617
18,Tristana,7,4,False,1,8,1,60875,6273,11,94,3006,6672
157,Yasuo,4,12,False,1,10,3,111860,8602,13,164,1055,3006
25,Morgana,3,4,False,2,6,5,16052,6905,11,25,6656,3853
102,Shyvana,4,11,False,7,5,4,171994,12514,14,57,0,4636
114,Fiora,14,12,False,6,8,1,84731,9043,14,149,1055,6632
13,Ryze,12,4,False,1,8,6,150521,9220,14,182,6656,2421
145,Kaisa,4,7,False,8,8,9,128595,12655,14,174,3031,6672
117,Lulu,14,4,False,5,6,11,15292,8364,12,22,3853,0
131,Diana,4,11,False,7,9,9,90738,9000,12,41,3157,3916
58,Renekton,4,12,False,3,11,1,114167,9437,13,158,3026,6630
37,Sona,3,4,True,2,7,20,18983,8275,12,20,4638,3853
121,Khazix,4,11,True,15,4,11,145967,13245,15,27,6693,2421
164,Camille,14,12,True,10,2,5,148037,13571,16,186,2421,3748
238,Zed,4,14,True,10,8,6,117062,12082,15,147,6694,3133
134,Syndra,12,4,True,5,3,13,162893,12292,15,213,1056,1058
110,Varus,4,7,False,7,10,5,75225,9603,12,141,1055,3158
76,Nidalee,11,4,False,9,4,4,155103,9955,13,9,4636,3020
48,Trundle,4,12,False,3,4,2,66630,7710,12,130,1054,3044
58,Renekton,14,4,False,5,6,5,112730,9880,13,171,3071,1028
43,Karma,4,14,False,2,8,12,26082,6899,10,23,2065,2055
5,XinZhao,4,11,True,6,5,12,119973,9873,14,25,6630,2031
55,Katarina,12,14,True,16,8,5,108370,13380,14,128,4633,3157
81,Ezreal,4,14,True,9,7,6,94976,10208,12,138,3078,3042
150,Gnar,4,12,True,1,3,5,96053,8245,14,154,3133,3047
350,Yuumi,7,3,True,0,3,24,11018,7657,12,1,6617,3011
115,Ziggs,4,12,False,5,8,12,172186,12540,15,200,0,6655
59,JarvanIV,4,11,False,12,8,17,176991,15785,16,41,3071,6630
164,Camille,14,12,False,8,11,7,104956,11803,16,170,3053,1036
131,Diana,4,12,False,5,10,10,160957,11515,15,186,3152,3157
432,Bard,4,14,False,6,8,21,39615,10584,14,30,3853,0
497,Rakan,4,14,True,0,8,25,18852,8758,15,30,3190,3860
64,LeeSin,11,4,True,8,7,14,160528,12812,17,13,6630,3026
13,Ryze,4,12,True,11,7,10,266418,16346,18,205,3135,3157
85,Kennen,4,12,True,12,6,10,144157,15443,18,179,3152,3157
18,Tristana,7,4,True,14,8,6,253580,17519,16,228,3006,3031
222,Jinx,4,7,True,9,3,11,189891,15247,15,229,2420,3085
64,LeeSin,11,4,True,4,6,15,142630,10875,15,44,0,2421
37,Sona,4,14,True,1,3,20,18719,8206,14,23,3853,2065
79,Gragas,12,4,True,4,9,9,128727,10570,16,185,1056,6655
55,Katarina,4,14,True,8,8,11,99964,12540,14,166,1082,3157
3,Galio,4,14,False,6,7,11,33426,8556,12,37,3190,3860
164,Camille,12,4,False,6,4,8,129943,11597,16,192,3053,2055
1,Annie,4,12,False,6,7,10,89857,9753,14,126,1056,2421
234,Viego,4,11,False,5,5,8,175676,12194,15,43,6632,2421
22,Ashe,7,4,False,6,3,8,155311,12948,14,226,6673,3046
555,Pyke,4,14,True,7,15,17,44419,14275,17,47,3117,3857
39,Irelia,4,12,True,8,6,16,319763,20064,18,310,3047,3091
5,XinZhao,4,11,True,11,8,17,272180,18383,18,44,3026,6630
84,Akali,4,12,True,26,6,10,328824,25637,18,320,3089,3157
69,Cassiopeia,4,21,True,9,15,10,228949,15836,18,172,3040,3135
64,LeeSin,4,11,False,12,12,20,280774,18718,18,39,6630,6609
51,Caitlyn,4,3,False,4,18,19,239964,14623,18,245,3036,3031
101,Xerath,4,7,False,14,10,15,145979,15793,18,87,3135,6655
55,Katarina,12,14,False,12,11,10,253715,18796,18,273,3152,3157
62,MonkeyKing,12,4,False,8,10,5,180575,16193,18,239,3053,3091
236,Lucian,4,7,True,9,4,11,186511,15691,15,226,6672,3072
55,Katarina,4,14,True,14,1,6,192131,15634,17,235,3026,3157
11,MasterYi,3,14,True,1,7,3,185833,11420,16,201,2031,3123
412,Thresh,14,4,True,1,1,19,26171,8713,14,52,3857,3190
33,Rammus,4,11,True,2,2,9,144716,10892,15,23,3076,0
147,Seraphine,4,7,False,0,5,5,111076,8955,13,207,6653,3011
497,Rakan,4,3,False,2,4,7,17412,6890,12,34,3860,0
107,Rengar,4,11,False,7,4,4,182168,12459,15,32,3142,3158
36,DrMundo,12,4,False,4,7,5,122523,10834,15,205,1054,3143
157,Yasuo,14,4,False,2,7,3,152938,11110,15,227,3036,0
