champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
101,Xerath,4,12,True,7,3,11,123942,11668,14,166,1056,1052
246,Qiyana,4,14,True,13,6,8,116725,12822,15,138,1028,6693
104,Graves,4,11,True,8,6,7,154173,11959,15,54,3142,6692
111,Nautilus,4,14,True,0,7,12,22748,6502,11,38,3860,3067
24,Jax,12,4,True,10,2,6,93604,12525,14,121,3111,3071
4,TwistedFate,4,12,False,3,8,7,78099,7891,13,136,2424,6656
81,Ezreal,4,7,False,5,7,5,74081,8784,12,152,3042,3158
164,Camille,14,12,False,6,10,3,53383,9183,12,111,1055,1036
76,Nidalee,11,4,False,6,8,10,129708,9385,13,15,3152,4630
497,Rakan,4,14,False,4,5,15,11919,7367,11,12,2065,3853
2,Olaf,12,4,True,11,7,13,258575,20235,18,263,6630,3193
246,Qiyana,4,14,True,19,8,10,291491,20490,18,268,6694,6693
120,Hecarim,6,11,True,7,4,20,236765,16218,18,44,6632,3065
44,Taric,14,4,True,2,5,33,43624,12178,17,49,3107,3860
115,Ziggs,4,12,True,7,12,13,463572,22179,18,370,3040,6653
39,Irelia,4,12,False,7,12,7,231787,15796,18,229,6609,1057
40,Janna,4,14,False,1,9,22,22882,10961,16,13,6617,4643
119,Draven,4,7,False,8,9,10,387167,21198,18,299,3026,6673
48,Trundle,4,11,False,4,10,17,197511,14974,18,58,8001,3143
517,Sylas,12,4,False,16,7,12,354925,22812,18,330,3135,6656
517,Sylas,12,4,False,6,7,8,176193,14306,17,242,0,6656
81,Ezreal,4,7,False,0,7,8,134683,9240,14,172,1055,3042
234,Viego,4,11,False,6,9,5,134652,11073,14,18,3153,6672
223,TahmKench,4,14,False,2,8,8,26480,7426,12,42,8001,3190
126,Jayce,12,4,False,7,4,5,143068,12737,16,198,3042,6692
89,Leona,4,14,True,1,4,25,23054,9378,13,36,3860,3117
1,Annie,4,14,True,3,7,8,101058,10449,14,185,3020,3157
147,Seraphine,4,12,True,7,4,11,148033,12090,15,194,3041,3916
523,Aphelios,4,7,True,17,3,9,224015,16906,16,252,3072,6671
120,Hecarim,6,11,True,7,3,13,185227,11944,15,18,6632,3211
111,Nautilus,4,14,True,1,1,7,18268,5048,9,24,0,3859
104,Graves,11,4,True,0,1,2,80334,5334,9,8,3142,2031
69,Cassiopeia,4,3,True,4,1,0,63901,7456,11,137,1056,2031
164,Camille,12,14,True,2,2,1,39153,5312,10,112,1054,3047
119,Draven,4,7,True,4,0,1,72127,9654,10,152,1055,1001
497,Rakan,4,14,False,1,3,1,8500,3296,6,14,1004,2055
1,Annie,4,12,False,0,3,1,33165,4436,9,101,1056,2031
246,Qiyana,4,14,False,0,2,2,46974,4554,10,109,0,6693
107,Rengar,4,12,False,1,3,2,45432,5143,10,106,1055,6632
68,Rumble,11,4,False,2,1,1,64252,5070,9,6,3020,2031
54,Malphite,4,12,True,9,1,14,160463,13874,17,214,3110,3047
266,Aatrox,4,12,True,8,2,10,131783,11993,15,161,6630,3143
