champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
81,Ezreal,3,4,True,10,9,30,78978,16274,18,39,3158,3042
51,Caitlyn,4,7,True,18,11,34,105359,17986,18,79,3036,6673
115,Ziggs,7,4,True,17,10,37,166314,18366,18,102,3089,3040
30,Karthus,32,4,True,14,13,37,86108,16800,18,58,6653,4629
82,Mordekaiser,32,4,True,14,16,18,48925,15400,18,24,4633,3157
234,Viego,32,4,False,27,19,14,105309,19779,18,46,3143,6333
1,Annie,4,32,False,6,15,27,57263,13911,18,38,3157,3108
164,Camille,1,4,False,8,16,18,73888,15023,18,39,3140,2051
45,Veigar,4,7,False,8,11,21,104739,15670,18,73,6655,3020
110,Varus,4,3,False,10,12,24,161265,17016,18,118,6691,3142
38,Kassadin,4,32,False,17,13,18,85121,17695,18,49,3135,3040
7,Leblanc,14,4,False,15,12,23,80394,17349,18,25,6655,3157
21,MissFortune,4,21,False,3,14,29,77908,15195,18,71,3042,6691
420,Illaoi,32,4,False,9,15,25,126958,16807,18,65,3053,6630
236,Lucian,1,4,False,13,8,32,215487,20704,18,137,6671,6675
64,LeeSin,32,4,True,19,12,24,131053,19878,18,49,3047,6630
67,Vayne,32,4,True,17,8,17,259163,21608,18,192,3006,3046
85,Kennen,4,32,True,14,12,17,72066,16926,18,39,3152,3116
266,Aatrox,4,6,True,6,18,21,77931,16131,18,37,3047,6630
201,Braum,32,4,True,4,7,41,32852,16636,18,15,3109,3111
234,Viego,4,32,False,23,14,13,76253,20472,18,35,3153,6632
63,Brand,6,4,False,10,13,23,91178,16556,18,45,6653,3157
43,Karma,4,6,False,1,12,28,41707,14174,18,20,6662,3158
360,Samira,32,4,False,8,16,15,121020,17466,18,86,6673,3036
203,Kindred,1,4,False,7,15,17,128448,16031,18,93,1037,3072
16,Soraka,13,4,True,1,11,53,14731,14915,18,6,6617,3107
104,Graves,4,32,True,25,12,22,211743,21909,18,153,3006,3031
246,Qiyana,4,32,True,30,11,21,142723,21513,18,56,3074,3158
26,Zilean,3,4,True,4,6,52,71071,16278,18,39,6653,4637
67,Vayne,21,4,True,10,9,30,143888,18033,18,86,6673,3091
64,LeeSin,4,32,False,14,13,38,119242,20404,18,93,3074,3111
112,Viktor,32,4,False,24,16,38,199336,22300,18,102,3040,6653
53,Blitzcrank,4,32,False,12,16,29,45834,16443,18,18,6656,4629
91,Talon,32,4,False,16,22,35,111923,18610,18,49,3071,6630
166,Akshan,1,4,False,13,20,30,102935,18022,18,62,3143,3036
516,Ornn,4,32,True,5,13,50,69415,16873,18,42,3083,3047
29,Twitch,4,7,True,28,18,34,137278,22148,18,82,3072,3036
30,Karthus,32,4,True,18,16,46,206921,21939,18,144,4628,7013
875,Sett,32,4,True,12,16,35,100064,17749,18,34,3053,7015
41,Gangplank,4,32,True,24,16,34,176044,20416,18,69,7000,6695
777,Yone,14,4,True,12,16,27,132423,18142,18,93,3006,6673
85,Kennen,4,32,True,18,13,30,115924,19853,18,80,3157,3152
202,Jhin,4,7,True,24,10,32,180825,22143,18,98,6671,3072
54,Malphite,32,4,True,11,16,41,73947,16901,18,33,3105,3143
147,Seraphine,32,4,True,10,13,54,112824,18576,18,67,4629,3040
6,Urgot,4,32,False,10,16,30,101247,17790,18,71,6035,3047
360,Samira,1,4,False,11,18,27,117157,17449,18,116,3184,3072
235,Senna,4,7,False,20,10,33,132287,21532,18,66,3094,3042
518,Neeko,4,32,False,9,14,34,75082,16285,18,34,3089,3157
30,Karthus,32,4,False,18,17,36,110037,19593,18,65,6653,3020
