champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
412,Thresh,4,14,True,2,1,8,14657,4906,8,23,3855,3067
24,Jax,12,4,True,2,2,1,52200,5518,10,106,2033,1055
145,Kaisa,4,7,True,6,1,4,48920,6913,8,109,0,1042
84,Akali,4,14,True,5,2,0,52485,6880,11,96,1056,4636
92,Riven,4,11,True,2,1,3,66374,5393,9,6,6630,2031
68,Rumble,4,14,False,1,2,0,6049,2709,4,21,2055,1082
104,Graves,4,11,False,2,4,0,61565,4926,9,28,6673,2031
875,Sett,4,14,False,3,2,0,46915,4950,11,90,1055,6029
25,Morgana,3,4,False,0,3,1,8309,3349,6,9,2424,3851
81,Ezreal,4,7,False,1,6,0,26210,3529,7,60,3070,3044
55,Katarina,14,12,False,1,3,2,33335,3800,9,62,1082,2031
63,Brand,14,4,False,3,4,1,13205,4568,7,6,2031,3853
51,Caitlyn,4,14,False,3,4,2,39666,5772,9,96,1055,3006
875,Sett,4,12,False,0,4,1,33503,3532,9,59,1054,3047
30,Karthus,11,4,False,2,4,3,78579,5791,10,16,6653,3020
91,Talon,4,14,True,5,0,2,60210,7374,11,115,6029,2031
104,Graves,4,11,True,4,2,5,84587,7026,11,35,3134,2031
266,Aatrox,4,14,True,3,1,1,64790,6534,11,119,1054,6630
81,Ezreal,7,4,True,6,3,0,29818,6037,9,87,6632,2031
43,Karma,4,14,True,1,3,7,15519,4645,8,30,1052,2065
166,Akshan,4,14,False,12,12,6,181766,16979,18,162,1038,6672
143,Zyra,14,4,False,1,6,10,62002,9488,14,51,3853,6653
55,Katarina,14,12,False,18,13,7,228803,18041,18,228,3135,3157
131,Diana,11,4,False,9,9,5,260669,14780,17,55,3089,3157
145,Kaisa,4,7,False,3,5,8,213057,14320,18,251,1055,6672
115,Ziggs,4,12,True,6,10,11,279561,16634,18,267,3040,3089
238,Zed,4,11,True,20,12,5,233567,19509,18,58,3142,6692
81,Ezreal,7,4,True,5,7,8,176562,14439,18,198,6694,3155
35,Shaco,4,14,True,6,8,16,61929,13235,16,52,3853,3157
126,Jayce,4,12,True,8,6,16,183664,15797,18,187,6694,3042
67,Vayne,7,4,False,2,3,2,12729,4513,6,39,1054,0
113,Sejuani,12,14,False,3,4,2,47170,5677,11,90,8001,3076
19,Warwick,11,4,False,6,8,3,55254,6874,11,4,6630,2031
157,Yasuo,4,14,False,4,1,3,66755,7143,12,123,1037,0
134,Syndra,14,4,False,1,9,2,23991,4532,8,28,2031,3851
54,Malphite,4,14,True,2,4,3,39649,5347,10,84,0,3158
91,Talon,14,11,True,5,4,2,113526,8758,12,18,3142,2031
81,Ezreal,7,4,True,8,2,3,54183,8682,10,123,1055,3004
235,Senna,4,14,True,4,3,9,35751,7396,9,34,3860,4638
875,Sett,4,14,True,6,3,2,69039,8190,12,103,1055,6630
555,Pyke,14,4,False,9,6,6,22474,12864,13,24,3857,3142
157,Yasuo,3,4,False,8,10,8,159276,14385,14,210,6333,3006
86,Garen,11,4,False,4,9,8,155913,11338,15,14,3006,3142
60,Elise,12,4,False,3,12,2,105490,9364,15,155,1055,3115
41,Gangplank,4,14,False,4,7,8,187887,11812,16,201,2033,3508
91,Talon,4,14,True,7,8,13,138020,12907,15,177,6630,6694
102,Shyvana,4,11,True,9,8,8,239282,14592,17,54,3152,3157
22,Ashe,7,4,True,3,4,13,88397,10456,14,152,1055,6673
101,Xerath,4,14,True,9,6,13,59152,10845,14,31,3089,6653
266,Aatrox,4,12,True,16,4,11,218492,16853,18,198,3053,6630
20,Nunu,11,4,True,11,6,15,157113,14436,16,31,3068,3001
122,Darius,14,4,True,12,7,4,153885,15110,17,218,1055,3078
266,Aatrox,12,4,True,5,9,11,105404,10626,15,146,3053,6630
89,Leona,14,4,True,2,6,18,22530,8678,14,34,3047,3190
18,Tristana,4,7,True,14,9,8,181191,16001,16,187,6675,6673
91,Talon,4,14,False,6,5,6,150324,12203,15,146,6630,6695
79,Gragas,14,4,False,6,11,7,36032,9189,11,20,3853,3152
102,Shyvana,4,11,False,14,5,10,224749,15229,16,70,3115,4636
157,Yasuo,4,3,False,7,13,9,168213,12681,14,148,6673,3033
39,Irelia,4,14,False,4,10,1,129085,11584,15,212,1055,3044
64,LeeSin,4,11,True,11,6,10,102301,11080,13,22,6630,2055
114,Fiora,12,4,True,4,4,5,97016,10321,13,143,6630,2031
4,TwistedFate,4,14,True,1,9,9,97816,8972,13,154,6656,2031
119,Draven,4,3,True,25,6,6,180071,18480,14,167,6673,6676
267,Nami,4,14,True,2,3,30,23372,9681,14,9,3853,2065
36,DrMundo,4,12,False,0,7,8,66939,6081,12,113,3047,3076
412,Thresh,4,14,False,3,12,7,11884,5672,10,22,3854,3190
59,JarvanIV,11,4,False,8,8,8,110686,11315,13,28,3047,6630
166,Akshan,3,4,False,7,11,5,76345,10261,12,94,6672,1055
90,Malzahar,4,14,False,10,5,12,100444,10483,14,146,4637,3916
875,Sett,4,12,True,7,8,9,181954,14444,17,195,3047,6630
18,Tristana,4,3,True,9,9,4,195902,14243,16,221,3031,6672
84,Akali,4,14,True,12,6,4,116734,13356,16,147,1056,4633
76,Nidalee,4,11,True,7,7,9,163380,12672,17,26,4628,3157
22,Ashe,7,4,True,4,5,18,59283,9593,15,50,4005,3857
60,Elise,4,11,False,8,5,8,160250,13041,16,34,3108,4636
360,Samira,7,4,False,6,8,4,136377,12830,16,204,3072,6676
238,Zed,4,14,False,11,9,9,148434,14127,17,200,3142,3071
777,Yone,4,12,False,9,11,8,217162,14991,17,226,3031,2420
40,Janna,4,3,False,0,6,11,27328,8770,13,30,3853,2065
37,Sona,4,7,True,1,4,23,34876,8403,13,56,3853,2065
432,Bard,4,14,True,3,2,19,20120,7786,12,23,3853,3190
245,Ekko,11,4,True,19,1,5,243423,17208,16,83,3115,3152
91,Talon,4,14,True,2,6,5,101780,8565,13,169,3142,6630
114,Fiora,12,4,True,9,5,7,100680,10723,14,159,1055,2031
164,Camille,4,14,False,8,8,3,109344,11894,13,178,3074,2055
517,Sylas,12,4,False,1,9,1,76747,6975,12,126,1056,6656
79,Gragas,4,11,False,2,7,10,101409,7738,12,23,0,4636
497,Rakan,14,4,False,2,3,10,20552,6426,11,43,4642,2065
81,Ezreal,4,7,False,5,7,4,86261,9318,11,173,1055,3123
112,Viktor,12,4,False,1,4,2,59831,5270,10,122,6655,3020
104,Graves,4,11,False,3,8,4,71620,6270,10,16,6692,2031
875,Sett,12,4,False,0,8,0,13774,3100,7,38,1054,1036
432,Bard,4,14,False,2,6,4,8855,4698,9,12,3853,2055
16,Soraka,7,4,False,3,7,1,23994,6012,9,47,2031,6656
107,Rengar,4,11,True,5,2,6,99899,7790,11,12,3142,2031
13,Ryze,4,12,True,9,4,9,91156,9650,12,149,3009,6656
119,Draven,4,7,True,5,1,6,88926,9243,10,144,3508,6673
164,Camille,12,14,True,13,0,1,69254,9957,12,109,1055,2031
111,Nautilus,14,4,True,1,2,18,18105,5956,9,31,1028,2055
