champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
5,XinZhao,4,11,False,6,10,12,161093,12012,14,49,0,6630
526,Rell,4,14,False,5,8,15,24893,8623,13,32,1042,1042
7,Leblanc,4,12,False,7,6,10,117164,12128,16,203,4629,3135
429,Kalista,4,7,False,11,8,7,174040,15872,15,219,3026,6672
74,Heimerdinger,4,12,False,0,7,6,138214,9633,15,187,3157,1058
432,Bard,4,14,True,3,6,28,30726,9832,14,26,3853,3190
22,Ashe,7,4,True,8,9,14,109587,12418,15,139,3006,6673
131,Diana,11,4,True,9,6,18,234312,14844,17,39,3152,3157
875,Sett,6,4,True,5,6,14,128932,12341,16,185,0,3053
164,Camille,12,4,True,14,2,10,164949,16856,18,209,3748,6632
34,Anivia,14,4,False,0,5,1,31093,3938,8,63,1056,2031
122,Darius,6,4,False,1,4,0,27200,4086,8,75,3044,3047
147,Seraphine,4,3,False,0,3,0,20421,3883,7,49,0,0
64,LeeSin,11,4,False,1,3,1,62659,4733,9,22,2031,2422
37,Sona,4,7,False,0,0,0,14828,4096,8,29,3158,3070
61,Orianna,4,12,True,3,0,3,74563,7483,11,148,3070,1082
202,Jhin,1,4,True,2,0,2,68220,6875,10,127,0,1037
432,Bard,4,14,True,2,0,5,9753,5323,8,15,3853,2055
126,Jayce,12,4,True,3,1,4,90479,9174,12,164,6692,0
5,XinZhao,4,11,True,5,1,3,88884,7249,10,7,3111,6630
18,Tristana,4,1,True,19,5,11,168625,17252,14,170,3006,3139
427,Ivern,11,4,True,3,6,19,375078,9864,14,14,2421,6617
7,Leblanc,4,12,True,11,0,10,111891,13021,16,194,2033,3111
266,Aatrox,12,4,True,3,6,3,89217,8845,13,144,6630,3053
875,Sett,4,14,True,2,7,17,30217,8252,12,26,3190,3857
89,Leona,4,14,False,0,12,12,18649,5735,10,28,3158,3067
110,Varus,7,4,False,4,6,11,95881,9038,11,135,1055,6695
76,Nidalee,11,4,False,6,9,9,111030,9243,12,23,3020,1052
48,Trundle,12,4,False,5,5,7,88617,9137,13,142,1029,1029
134,Syndra,4,12,False,9,6,7,139916,12963,15,220,6655,3040
12,Alistar,4,14,True,0,11,26,19174,7897,13,23,3859,2055
30,Karthus,3,11,True,16,4,10,169430,14672,16,35,6653,3157
164,Camille,12,14,True,6,5,13,84310,10642,15,122,3748,0
18,Tristana,7,4,True,14,4,8,229052,16732,16,213,3046,6672
55,Katarina,12,14,True,7,7,11,120147,11194,14,162,4633,1058
5,XinZhao,4,11,False,7,9,10,145381,11513,13,25,0,6630
111,Nautilus,4,14,False,3,11,17,39010,8676,12,54,3860,3190
85,Kennen,4,12,False,7,8,1,73656,9129,13,125,3152,2420
115,Ziggs,4,12,False,6,10,6,157839,12291,13,193,2420,3089
875,Sett,6,4,False,8,5,8,114739,13372,15,181,3047,3748
76,Nidalee,4,11,False,4,3,2,91395,6749,10,8,2031,4636
875,Sett,4,12,False,0,6,1,52689,5542,11,109,6630,1055
523,Aphelios,7,4,False,0,4,3,70703,6483,11,149,6673,3006
412,Thresh,4,14,False,0,4,3,8719,4314,8,27,3855,2055
13,Ryze,4,12,False,3,2,1,91774,7189,11,143,2033,6656
201,Braum,4,3,True,1,2,12,17563,5191,10,22,3857,3190
104,Graves,4,11,True,6,1,4,132959,8699,13,26,6692,2031
235,Senna,4,7,True,5,1,7,74250,8603,12,159,6672,3094
69,Cassiopeia,4,21,True,5,2,0,98174,8335,13,172,3070,6655
98,Shen,4,12,True,2,1,9,53616,6794,12,129,6664,2031
76,Nidalee,4,11,False,17,5,4,299427,18217,18,62,4636,3157
412,Thresh,14,4,False,1,13,18,16927,9809,16,42,3190,3107
110,Varus,4,7,False,10,11,10,188302,16178,17,234,6692,3035
6,Urgot,4,12,False,10,5,8,209088,17953,18,239,3026,3748
69,Cassiopeia,4,3,False,5,9,5,240051,15157,18,290,3157,3040
236,Lucian,4,12,True,7,15,9,261336,17363,18,262,6671,3031
202,Jhin,7,4,True,16,5,12,268022,19661,18,244,6676,3094
126,Jayce,12,4,True,6,10,7,304706,18498,18,320,6694,3042
37,Sona,4,14,True,5,7,22,34326,12763,17,26,3853,2065
30,Karthus,11,4,True,9,7,17,273165,16737,18,54,4636,3157
412,Thresh,4,14,False,3,9,9,30861,7216,11,34,0,3109
39,Irelia,12,4,False,2,7,1,104760,8331,12,167,2033,6632
64,LeeSin,11,4,False,0,8,3,103131,6810,12,30,3158,6630
429,Kalista,7,4,False,7,12,5,113446,10982,11,154,3046,6672
517,Sylas,4,12,False,8,7,1,103711,10193,13,148,1082,3067
67,Vayne,4,3,True,20,6,11,131696,15404,14,144,3143,3006
154,Zac,11,4,True,4,2,23,114102,9438,14,19,0,3068
267,Nami,14,4,True,3,6,27,15934,8158,13,11,2055,3853
99,Lux,4,21,True,10,4,14,82893,10511,14,136,1056,6655
75,Nasus,6,4,True,6,2,7,121207,10915,15,162,3075,6632
157,Yasuo,14,4,False,4,3,3,114054,9125,12,165,1055,3006
412,Thresh,4,14,False,1,6,4,11589,4480,8,26,1011,0
164,Camille,12,14,False,0,6,3,42597,5318,10,102,1055,6632
76,Nidalee,4,11,False,4,4,1,117148,8263,11,13,4636,2031
523,Aphelios,7,4,False,1,4,6,76023,7905,10,144,6673,3006
127,Lissandra,4,12,True,0,1,9,91464,7145,12,161,2033,6656
350,Yuumi,3,14,True,1,1,16,6686,5932,10,5,6617,1082
5,XinZhao,4,11,True,12,1,6,108371,10595,12,23,2421,0
48,Trundle,4,12,True,3,5,4,83840,8233,12,146,6632,3047
81,Ezreal,4,7,True,7,2,6,92278,9343,11,124,3042,3078
85,Kennen,12,4,False,14,5,9,156569,15164,16,230,3152,3157
517,Sylas,4,12,False,8,9,9,146661,12932,16,182,3165,6656
18,Tristana,4,7,False,8,10,9,180146,15241,15,220,6671,0
111,Nautilus,4,14,False,1,8,20,26723,8208,13,39,3860,3190
48,Trundle,4,11,False,7,7,17,129064,11860,15,33,6632,3065
81,Ezreal,7,4,True,10,6,17,232705,16552,17,223,3078,3042
245,Ekko,4,11,True,8,4,15,203875,14028,17,48,3020,4633
497,Rakan,4,3,True,1,9,27,25596,9029,14,38,2065,3158
91,Talon,4,14,True,15,9,15,211869,17872,18,212,3142,6630
39,Irelia,4,12,True,5,10,7,153561,12311,16,213,3111,6630
350,Yuumi,3,14,True,3,5,23,14723,9260,13,8,2055,3853
120,Hecarim,6,11,True,10,7,6,177337,12314,14,22,3053,2055
7,Leblanc,4,12,True,17,5,9,115017,14559,15,135,3135,3041
22,Ashe,4,7,True,7,9,8,113114,11608,14,173,6677,3006
92,Riven,14,12,True,6,4,11,134895,12650,14,144,6630,3111
154,Zac,4,11,False,3,7,15,111162,8888,13,28,3076,3068
117,Lulu,4,14,False,6,10,16,13156,8918,11,16,3853,2065
223,TahmKench,6,12,False,3,6,14,62593,8376,13,126,8001,1054
517,Sylas,4,12,False,5,11,4,63888,8409,13,102,2055,3157
110,Varus,7,4,False,13,9,10,142866,13418,14,177,6695,3042
