champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
164,Camille,14,12,True,4,8,7,198578,13878,17,193,6632,3074
50,Swain,4,12,True,12,9,7,164778,16566,15,188,3165,3020
12,Alistar,4,14,True,2,6,14,26274,9776,14,41,3190,3860
38,Kassadin,4,12,True,4,3,7,180099,13710,17,267,1058,1082
203,Kindred,11,4,True,3,5,10,261409,13301,17,64,6672,3006
887,Gwen,12,14,False,9,7,4,232214,16797,18,271,3115,2421
18,Tristana,4,7,False,4,3,3,56999,9657,10,98,1055,2031
60,Elise,11,4,False,7,7,5,143619,12480,15,65,3157,3152
267,Nami,3,4,False,2,4,22,19820,10628,16,26,3222,2065
166,Akshan,4,14,False,9,4,5,287292,17572,18,304,3026,6672
75,Nasus,4,32,True,16,6,24,124182,16188,18,86,3111,6632
222,Jinx,4,7,True,8,6,28,93469,14043,18,83,6673,3006
161,Velkoz,3,4,True,8,7,30,44951,13039,18,13,6653,4637
16,Soraka,4,13,True,3,8,35,22249,12496,17,10,6617,3504
518,Neeko,4,32,True,19,9,20,85924,15883,18,49,3135,3020
22,Ashe,3,4,False,3,10,24,59804,11903,17,18,6617,3158
777,Yone,14,4,False,10,11,17,100267,14619,18,80,6673,3006
1,Annie,32,4,False,10,8,10,90651,14775,18,55,6655,3157
55,Katarina,4,14,False,7,11,11,69090,12921,17,64,6632,3111
59,JarvanIV,32,4,False,6,14,23,43056,12511,17,23,6630,3111
875,Sett,4,14,False,2,8,11,34382,9159,14,48,3047,3068
7,Leblanc,4,12,False,12,6,9,136959,15089,16,186,4629,6655
54,Malphite,4,12,False,2,5,11,85606,10336,15,147,8001,3075
5,XinZhao,4,11,False,5,5,10,232942,13859,16,60,3091,6630
202,Jhin,4,1,False,11,4,9,193527,15696,16,226,3009,6671
76,Nidalee,11,4,True,2,3,16,195278,12752,17,43,6656,3089
18,Tristana,4,7,True,11,8,9,198914,17294,16,221,3006,6672
111,Nautilus,4,14,True,2,8,14,34632,9063,15,39,2055,3190
4,TwistedFate,4,12,True,6,7,9,138190,14326,16,201,2033,3089
67,Vayne,12,4,True,7,6,5,180973,15284,18,242,3065,3006
157,Yasuo,4,14,False,1,5,6,111177,7935,13,176,3033,3006
555,Pyke,4,14,False,3,5,5,18080,6519,10,47,3857,3133
145,Kaisa,4,7,False,1,2,2,82361,7561,11,178,1055,3006
245,Ekko,4,11,False,8,8,2,142422,9797,13,21,3115,3152
54,Malphite,4,12,False,0,5,3,44385,5284,11,94,6662,3047
497,Rakan,14,4,True,2,4,13,14549,7203,11,18,3107,3853
81,Ezreal,4,7,True,1,2,8,97436,8993,13,155,1055,3042
64,LeeSin,4,11,True,14,1,7,158488,13261,14,49,6630,2421
517,Sylas,4,12,True,2,5,8,78400,8967,13,133,2033,0
114,Fiora,14,12,True,6,1,1,168051,12887,15,210,3748,3181
134,Syndra,7,4,True,17,8,21,177540,19554,18,108,3135,3040
235,Senna,4,21,True,9,8,32,116491,19716,18,58,3006,3042
23,Tryndamere,4,32,True,11,11,10,97852,16757,18,69,6671,3111
17,Teemo,4,7,True,14,9,19,112262,19396,18,87,6653,3158
55,Katarina,4,32,True,3,15,17,63447,14567,18,35,4633,3020
90,Malzahar,4,13,False,4,11,21,103714,16638,18,134,3157,3020
57,Maokai,4,32,False,9,13,22,107501,16296,18,73,6653,4637
7,Leblanc,4,14,False,16,7,12,69171,17425,18,45,6655,3102
267,Nami,32,4,False,9,10,31,77899,16732,18,64,6655,3020
82,Mordekaiser,4,32,False,13,13,14,75158,17497,18,63,4633,3111
126,Jayce,12,4,False,2,4,4,134576,9273,13,191,3158,3042
4,TwistedFate,4,12,False,2,4,4,73514,7944,11,134,6656,2033
37,Sona,3,4,False,0,8,7,14635,5275,10,13,3853,6617
202,Jhin,1,4,False,1,4,3,86708,7703,11,182,1055,2055
48,Trundle,11,4,False,5,4,1,96273,8709,12,30,3047,2031
114,Fiora,14,12,True,1,3,2,108149,8679,13,176,1054,2031
55,Katarina,14,12,True,12,2,5,83659,11324,13,137,2421,3152
89,Leona,4,14,True,0,5,11,14150,5903,10,30,3117,3190
234,Viego,11,4,True,5,0,7,138104,9917,14,40,6632,2031
81,Ezreal,7,4,True,6,0,7,142148,11395,14,202,3508,3110
67,Vayne,12,4,False,7,7,2,170369,13916,17,242,3143,6673
22,Ashe,4,7,False,1,6,4,114738,9872,14,192,6671,3006
117,Lulu,4,14,False,1,9,8,16111,7381,12,18,2065,3853
61,Orianna,4,12,False,7,2,1,204883,13474,16,239,3916,3157
56,Nocturne,11,4,False,1,6,6,167176,10617,14,37,3158,3071
99,Lux,4,12,True,2,3,7,146512,12604,17,253,6655,3135
497,Rakan,4,14,True,4,1,17,25495,9454,13,35,2065,3860
81,Ezreal,3,4,True,12,1,9,276999,17959,16,252,3074,3110
92,Riven,4,12,True,4,9,3,136878,11567,17,172,6630,0
64,LeeSin,4,11,True,8,3,8,181949,12618,16,19,3133,6630
67,Vayne,12,4,True,10,2,7,133795,13970,16,181,3082,6673
18,Tristana,4,7,True,5,3,11,111641,10168,14,171,3046,3006
7,Leblanc,14,4,True,11,2,6,101074,11230,14,137,2033,6653
121,Khazix,4,11,True,5,2,14,215407,12950,16,32,6630,6694
26,Zilean,4,3,True,0,4,17,18086,7210,13,14,2065,3853
497,Rakan,14,4,False,2,6,5,17652,5956,10,31,3067,2065
81,Ezreal,7,4,False,5,3,5,128522,11425,13,198,3158,3078
31,Chogath,4,12,False,2,7,3,84383,8073,13,158,3110,6662
39,Irelia,4,12,False,2,11,1,88070,8468,13,182,1055,3153
64,LeeSin,4,11,False,2,4,7,113252,7749,13,14,2055,6630
875,Sett,12,4,False,2,8,9,80017,8410,13,148,6630,3044
119,Draven,4,1,False,5,6,1,126448,10515,12,195,6673,3006
497,Rakan,4,14,False,1,6,12,13836,6099,10,25,2065,3047
245,Ekko,11,4,False,6,6,7,156450,10161,13,30,3115,3152
