champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
53,Blitzcrank,4,14,False,1,6,12,19956,7638,13,30,1028,2055
58,Renekton,4,14,False,7,9,5,171785,13384,16,237,6630,2421
76,Nidalee,11,4,False,10,6,5,205622,14034,16,44,3157,3152
523,Aphelios,4,7,False,4,4,9,182411,13759,16,229,3134,0
39,Irelia,4,12,False,5,7,4,179712,13231,16,247,6630,1057
85,Kennen,4,12,True,12,6,7,162934,15423,17,214,3020,3152
64,LeeSin,4,11,True,8,5,19,170368,13860,17,48,6630,3026
777,Yone,12,4,True,3,5,11,261467,15816,18,292,3031,0
37,Sona,4,14,True,4,7,21,22943,9853,14,20,3853,2065
81,Ezreal,7,4,True,5,4,18,218189,13713,17,227,3158,3042
110,Varus,7,4,False,4,8,6,102743,9743,13,177,3123,3158
234,Viego,11,4,False,2,6,3,133182,9213,13,43,3091,6632
58,Renekton,4,12,False,3,6,4,106312,9120,14,183,3047,0
84,Akali,14,12,False,10,4,3,109202,11503,14,158,3089,3157
497,Rakan,4,3,False,0,6,12,13353,6144,11,29,3860,2055
111,Nautilus,4,14,True,3,4,17,26238,8527,12,33,3860,3190
157,Yasuo,4,12,True,2,6,9,110074,9734,14,158,1055,3006
131,Diana,4,11,True,8,2,11,157385,11026,14,12,3152,1026
24,Jax,14,12,True,3,2,4,149304,11688,15,192,2033,3153
18,Tristana,7,4,True,14,5,11,191201,15627,15,209,3006,3026
115,Ziggs,4,12,False,5,8,12,172186,12540,15,200,0,6655
59,JarvanIV,4,11,False,12,8,17,176991,15785,16,41,3071,6630
164,Camille,14,12,False,8,11,7,104956,11803,16,170,3053,1036
131,Diana,4,12,False,5,10,10,160957,11515,15,186,3152,3157
432,Bard,4,14,False,6,8,21,39615,10584,14,30,3853,0
497,Rakan,4,14,True,0,8,25,18852,8758,15,30,3190,3860
64,LeeSin,11,4,True,8,7,14,160528,12812,17,13,6630,3026
13,Ryze,4,12,True,11,7,10,266418,16346,18,205,3135,3157
85,Kennen,4,12,True,12,6,10,144157,15443,18,179,3152,3157
18,Tristana,7,4,True,14,8,6,253580,17519,16,228,3006,3031
517,Sylas,4,12,True,10,3,6,120044,11697,14,188,4635,3113
56,Nocturne,4,11,True,11,4,7,152926,11832,14,34,2420,6631
115,Ziggs,4,12,True,5,1,9,127865,10481,13,158,4628,3020
114,Fiora,4,12,True,6,2,10,138469,11787,15,177,6630,2031
43,Karma,14,4,True,3,8,18,28337,7420,11,19,3020,1052
91,Talon,4,14,False,6,5,2,68004,9725,13,121,6693,1037
76,Nidalee,4,11,False,5,5,5,114554,9837,13,41,3157,6656
18,Tristana,7,4,False,6,9,4,73214,8835,11,140,3006,2031
111,Nautilus,4,14,False,1,9,12,20152,5835,11,31,3860,3190
875,Sett,12,4,False,0,7,1,59448,5787,11,121,1055,6630
117,Lulu,4,7,True,2,1,6,19964,6845,12,29,3860,3504
96,KogMaw,21,4,True,2,1,3,119951,9764,12,197,3006,6673
13,Ryze,4,12,True,3,4,3,104743,9200,13,146,6656,2033
39,Irelia,4,12,True,13,1,5,180696,14794,16,204,1055,3091
104,Graves,11,4,True,7,2,6,165075,10930,15,23,3111,6692
1,Annie,4,14,False,1,8,3,71360,7016,11,147,1056,1001
43,Karma,12,4,False,1,5,3,71463,6810,12,150,3108,1052
76,Nidalee,11,4,False,5,4,2,120149,8814,12,46,2031,3152
126,Jayce,4,12,False,0,9,2,96404,7239,12,161,6692,3123
235,Senna,7,4,False,2,1,2,35678,6662,10,39,1001,3864
101,Xerath,12,4,False,5,4,13,147412,11765,15,202,6655,3040
81,Ezreal,1,4,False,9,7,6,152372,12163,15,177,3158,3078
164,Camille,4,12,False,1,11,2,100996,8988,14,157,3078,3074
497,Rakan,4,14,False,4,12,15,17427,8208,13,32,2420,3860
64,LeeSin,11,4,False,7,6,6,136134,10671,14,19,3053,6630
517,Sylas,4,12,True,5,7,10,82457,9949,14,136,3157,6656
35,Shaco,14,11,True,14,6,5,153040,12182,14,29,2031,3142
412,Thresh,4,14,True,2,4,14,22214,7962,12,44,0,3860
85,Kennen,4,12,True,9,7,6,106642,11472,15,163,3089,2421
22,Ashe,4,7,True,9,3,6,161707,14295,15,212,2420,6673
117,Lulu,4,14,False,3,5,15,15299,8988,14,19,3853,2055
85,Kennen,4,12,False,2,13,6,115766,9525,15,177,3020,3152
777,Yone,11,4,False,8,8,5,195804,13845,16,99,3006,3031
39,Irelia,4,14,False,5,9,7,158572,11956,15,210,6630,3153
523,Aphelios,4,7,False,8,3,11,293302,17014,17,250,3072,6672
555,Pyke,4,14,True,6,7,14,26506,13090,13,33,6695,3111
81,Ezreal,7,4,True,4,5,13,192927,13388,16,224,3158,3042
76,Nidalee,4,11,True,12,2,10,188215,14824,16,45,4636,3157
875,Sett,6,4,True,4,7,11,120435,11743,15,164,3077,1028
24,Jax,12,4,True,12,5,4,229126,16359,18,219,3047,3026
104,Graves,4,12,False,1,9,2,91345,8695,12,154,2031,6692
412,Thresh,4,14,False,1,8,5,6275,4896,8,21,3855,3117
64,LeeSin,4,11,False,2,8,3,71258,6303,10,17,0,6630
238,Zed,14,4,False,3,7,1,94201,9764,13,172,3142,3158
115,Ziggs,12,4,False,8,5,3,109339,11283,13,167,3020,6655
72,Skarner,4,11,True,4,0,8,128747,8991,14,24,6664,3158
43,Karma,14,4,True,5,3,19,23027,8630,11,16,3157,3853
126,Jayce,12,4,True,11,3,8,160611,12701,14,183,0,3157
110,Varus,7,4,True,7,4,8,103221,10145,13,151,6691,3042
7,Leblanc,12,4,True,10,5,7,82919,10486,14,133,3020,2033
61,Orianna,4,12,False,6,4,4,156439,13292,15,221,6655,3089
41,Gangplank,4,12,False,3,7,4,192343,11554,15,222,6676,3078
81,Ezreal,4,7,False,2,9,5,106173,8541,13,159,3158,3042
37,Sona,4,14,False,2,10,5,11356,6977,12,23,3853,3070
64,LeeSin,11,4,False,5,3,3,161046,10968,14,49,3053,6630
40,Janna,4,14,True,5,5,16,26935,9389,14,9,3853,2065
234,Viego,11,4,True,1,1,8,177717,10980,15,38,6632,1036
7,Leblanc,4,12,True,5,0,3,157137,12936,17,258,2033,3020
110,Varus,7,4,True,11,3,11,239939,16049,16,234,3009,3042
114,Fiora,12,4,True,10,9,5,152922,13898,16,189,3074,6630
235,Senna,4,7,True,0,8,20,32315,9275,13,29,3107,3190
13,Ryze,4,12,True,2,8,11,195901,12565,16,207,3157,6656
875,Sett,4,12,True,4,4,10,126342,11522,15,153,6630,3047
115,Ziggs,12,4,True,10,7,12,195712,14762,15,190,3020,2421
5,XinZhao,4,11,True,23,5,9,194626,18564,17,48,3047,6630
64,LeeSin,4,11,False,4,8,11,150083,10761,14,36,6630,3053
202,Jhin,4,7,False,8,10,7,146490,12764,14,185,6671,6676
555,Pyke,4,14,False,7,7,8,29024,11368,13,36,3179,3857
62,MonkeyKing,12,14,False,7,8,5,83105,10857,15,162,1055,6695
7,Leblanc,12,4,False,6,6,13,105877,12838,14,165,6655,3135
