champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
37,Sona,4,3,False,5,4,12,56044,11721,15,46,3853,6617
55,Katarina,12,14,False,8,9,6,221051,15978,17,242,3157,1026
92,Riven,12,14,False,6,7,0,209677,14022,17,262,3047,3071
110,Varus,4,7,False,4,6,10,255328,15178,16,272,3142,6691
20,Nunu,4,11,False,3,3,9,189971,11491,16,30,6662,3143
81,Ezreal,4,1,True,3,4,3,225456,13768,17,251,2420,6694
517,Sylas,4,12,True,18,5,5,300235,22348,18,286,4629,6656
203,Kindred,4,11,True,7,5,11,267848,16240,18,64,6671,3031
16,Soraka,4,7,True,1,7,10,30522,9148,14,28,3853,1052
78,Poppy,12,4,True,0,5,8,146697,11988,18,208,8001,2055
887,Gwen,12,14,False,1,6,5,109082,9190,15,171,0,3115
350,Yuumi,3,7,False,2,5,19,13063,8443,14,3,6617,3853
157,Yasuo,4,14,False,8,8,6,163045,12741,15,192,3072,6673
29,Twitch,14,4,False,12,7,4,115076,13294,14,171,3086,3006
131,Diana,11,4,False,5,8,11,171519,11475,14,36,2421,3152
203,Kindred,11,4,True,14,5,6,240261,16437,17,60,3046,3031
555,Pyke,4,14,True,6,9,11,20939,10513,13,31,3857,3117
92,Riven,4,14,True,11,6,7,165928,15413,17,203,3158,3142
117,Lulu,12,4,True,1,2,11,101925,10777,15,178,3158,2033
101,Xerath,12,4,True,2,6,10,118393,10151,14,163,3020,1082
157,Yasuo,14,4,True,7,2,8,131618,10624,14,168,1055,6673
62,MonkeyKing,12,14,True,9,4,3,92460,11922,15,144,3071,6632
22,Ashe,1,4,True,4,2,10,82045,9568,12,157,6673,3006
432,Bard,14,4,True,2,7,14,8605,6431,11,5,3853,3190
131,Diana,4,11,True,5,1,12,161612,10681,15,63,3152,3157
114,Fiora,12,4,False,3,6,2,74603,7997,12,151,1055,6630
523,Aphelios,4,7,False,3,6,1,74514,7451,10,149,6673,3134
34,Anivia,14,4,False,5,2,2,94167,9229,13,167,6656,1056
412,Thresh,14,4,False,1,6,5,15886,5464,10,29,0,3190
234,Viego,11,4,False,4,7,1,112819,8147,12,25,6632,3091
126,Jayce,12,4,False,5,4,3,109308,9448,12,159,1055,3042
432,Bard,4,14,False,1,8,6,8262,5006,8,7,3853,3117
202,Jhin,1,4,False,0,8,4,64305,5960,10,128,3123,6671
2,Olaf,6,11,False,6,7,3,89377,7611,11,29,6630,2031
245,Ekko,12,4,False,2,3,2,88236,7714,13,171,3020,3152
121,Khazix,4,11,True,13,0,8,152506,12630,14,29,6693,3142
110,Varus,4,7,True,6,5,7,134688,11607,13,161,6673,1038
350,Yuumi,3,14,True,2,1,22,16739,8337,12,9,6617,3011
4,TwistedFate,4,12,True,5,2,4,137230,11325,14,214,6656,2424
92,Riven,4,12,True,3,6,3,72037,7910,13,136,3158,3133
25,Morgana,4,14,True,3,3,14,17931,7089,10,13,3157,3853
62,MonkeyKing,12,14,True,6,2,5,77604,9958,13,134,1054,6632
517,Sylas,4,12,True,5,4,7,56512,8032,12,137,6656,3108
147,Seraphine,4,7,True,4,3,12,81337,9165,12,158,1056,3041
104,Graves,11,4,True,8,2,7,143267,9930,13,37,3142,3156
4,TwistedFate,14,4,False,3,3,3,91114,7833,11,150,2015,6656
81,Ezreal,4,7,False,4,9,4,54778,7446,10,111,6632,0
497,Rakan,4,14,False,2,4,9,10765,5543,8,7,3853,3158
85,Kennen,4,12,False,2,5,2,50519,6000,11,114,3152,2031
131,Diana,4,11,False,3,5,7,109563,7694,11,27,3115,4635
89,Leona,4,14,False,3,6,10,23515,7496,13,42,3190,3860
81,Ezreal,7,4,False,7,9,6,196784,13235,14,208,6691,3035
28,Evelynn,11,4,False,4,5,11,144936,9912,14,37,3020,3152
238,Zed,4,14,False,7,10,3,86583,10082,12,122,3158,3142
58,Renekton,12,4,False,5,4,6,197132,13773,16,259,3053,0
11,MasterYi,4,11,True,8,6,5,169539,12466,16,43,3026,2031
523,Aphelios,4,1,True,11,7,11,192151,15834,15,193,3006,2421
201,Braum,4,3,True,3,6,25,33801,10021,15,25,8001,3857
92,Riven,12,14,True,2,7,0,147295,11650,16,210,1055,3071
7,Leblanc,4,14,True,10,1,5,149275,14915,17,208,6655,3089
51,Caitlyn,3,4,True,5,1,7,118544,10246,12,168,3006,6671
234,Viego,4,12,True,3,3,2,73417,7609,12,148,1055,1042
427,Ivern,11,4,True,3,4,11,223854,7444,11,13,6616,6617
245,Ekko,12,4,True,16,1,1,143952,13473,15,168,1058,3152
25,Morgana,4,14,True,1,4,14,16986,6933,10,12,3853,2065
61,Orianna,12,4,False,2,8,3,59995,6525,11,125,1056,3020
62,MonkeyKing,12,14,False,4,3,2,82816,9228,13,157,1054,6632
48,Trundle,14,4,False,1,4,4,17585,5531,9,40,2031,4005
134,Syndra,4,12,False,3,6,2,76130,8374,11,150,1056,2421
64,LeeSin,4,11,False,3,7,4,76858,6642,11,11,3044,6630
234,Viego,11,4,False,2,8,5,96487,8201,13,19,6632,3053
222,Jinx,7,4,False,9,3,4,136016,13177,14,202,6671,3036
127,Lissandra,12,4,False,1,8,6,96043,7881,13,151,2033,6655
39,Irelia,12,4,False,6,6,3,159822,13390,15,235,6630,2421
412,Thresh,4,14,False,0,9,8,16421,5943,11,27,3190,0
34,Anivia,4,6,True,7,2,8,152919,12451,16,182,3020,6655
81,Ezreal,4,7,True,9,5,3,123361,12192,14,186,3042,6632
497,Rakan,4,3,True,2,3,18,18634,8486,13,31,3860,8001
92,Riven,12,14,True,8,5,12,158227,14049,16,190,1055,3071
64,LeeSin,11,4,True,8,3,12,158229,12268,16,31,2421,2055
76,Nidalee,11,4,False,3,3,6,119673,9352,13,23,4636,2055
412,Thresh,4,14,False,0,3,3,15243,4641,9,31,3067,3857
555,Pyke,14,4,False,4,3,0,45557,8396,12,137,1054,3142
18,Tristana,4,7,False,1,3,1,101694,8478,12,190,6672,3006
164,Camille,14,12,False,2,7,3,65031,7229,12,141,2031,3123
5,XinZhao,11,4,True,4,2,4,127038,8594,12,15,3047,2055
201,Braum,4,14,True,0,1,8,13863,5679,10,28,3857,3190
62,MonkeyKing,12,14,True,5,4,2,78686,9108,14,123,1054,6632
84,Akali,14,12,True,5,3,2,89883,8494,13,165,0,4633
498,Xayah,4,3,True,5,0,3,122147,10690,13,210,1055,6671
164,Camille,14,12,False,1,3,1,20371,2969,7,55,3044,3057
18,Tristana,4,7,False,2,1,0,24858,3881,7,75,6670,1055
12,Alistar,14,4,False,0,2,2,5696,2143,5,8,3858,0
115,Ziggs,4,12,False,0,2,0,13637,2212,5,38,3070,1082
203,Kindred,4,11,False,1,1,0,46180,3457,8,16,0,1001
81,Ezreal,4,7,True,1,1,0,25355,3536,7,84,1055,3057
92,Riven,12,14,True,3,1,0,32873,4366,8,75,1055,1028
23,Tryndamere,6,4,True,3,0,1,42689,5194,9,97,1054,2031
432,Bard,4,3,True,0,1,5,3830,2710,6,2,3851,2055
5,XinZhao,11,4,True,2,1,1,44813,3829,7,2,2422,0
