champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
234,Viego,11,4,False,7,6,8,207117,13643,16,29,3091,3053
81,Ezreal,4,3,False,7,10,6,157036,12287,15,184,6609,3042
85,Kennen,4,12,False,9,6,7,166133,14090,16,229,3152,3157
875,Sett,14,4,False,7,9,4,130607,13893,15,183,3748,2055
497,Rakan,4,14,False,2,5,10,14379,8661,12,17,3853,2065
427,Ivern,11,4,True,4,7,18,303486,10852,15,25,3157,6617
164,Camille,12,4,True,5,8,5,161629,12552,16,171,3026,1037
202,Jhin,4,7,True,14,5,10,266948,16688,16,251,3009,6671
26,Zilean,4,14,True,3,9,19,32437,9002,15,20,3853,2065
517,Sylas,4,12,True,10,3,15,234218,17232,18,238,4629,3157
134,Syndra,4,12,False,3,9,1,62572,7235,12,142,2033,3070
887,Gwen,12,14,False,4,6,3,105236,10219,14,200,1055,3115
121,Khazix,4,11,False,2,4,1,102088,7889,11,23,6691,1001
412,Thresh,14,4,False,0,7,4,14535,4840,9,31,3855,8001
145,Kaisa,7,4,False,3,9,1,61195,7113,11,143,6671,3134
154,Zac,11,4,True,3,0,15,126518,9505,14,28,6662,8001
43,Karma,4,14,True,3,3,14,34171,8074,12,14,3853,3916
84,Akali,4,12,True,11,0,4,126694,13594,15,192,3089,0
202,Jhin,4,7,True,11,5,8,127693,12764,14,201,3009,6671
24,Jax,14,12,True,7,4,1,115302,10998,14,153,2033,3111
131,Diana,11,4,True,8,2,5,144616,10339,14,39,3152,3157
432,Bard,4,14,True,1,7,17,14146,6458,11,16,3853,3190
777,Yone,4,12,True,11,1,3,138430,12537,14,170,6673,2055
22,Ashe,4,7,True,2,4,11,67580,7935,12,125,6673,0
114,Fiora,4,12,True,4,3,6,111395,11072,14,193,6630,3074
120,Hecarim,6,11,False,7,3,1,125773,9213,12,27,3053,0
13,Ryze,12,4,False,3,8,2,90385,7779,12,167,6656,2424
412,Thresh,4,14,False,1,5,8,13377,5797,9,27,3855,2055
222,Jinx,4,7,False,4,6,4,113454,10095,12,209,3006,6671
164,Camille,12,14,False,2,4,3,105130,8497,14,171,3077,3133
145,Kaisa,4,3,False,3,8,1,50967,5945,10,110,6672,2031
76,Nidalee,11,4,False,4,2,2,94306,6865,12,35,3020,4636
268,Azir,4,12,False,3,5,1,49259,6785,11,126,1056,3191
53,Blitzcrank,4,14,False,1,5,3,12916,4332,8,24,2031,3190
58,Renekton,12,4,False,0,5,2,55866,5166,10,108,6630,1055
134,Syndra,12,4,True,5,5,0,78007,7400,12,144,2033,1082
238,Zed,14,4,True,3,2,4,83612,6976,12,131,3142,2031
64,LeeSin,11,4,True,8,1,3,100133,8522,11,15,2031,6630
115,Ziggs,4,12,True,5,2,6,95200,8925,11,140,6653,3020
432,Bard,4,14,True,4,1,12,12543,6558,10,10,3853,3190
266,Aatrox,4,12,False,5,8,4,128904,13314,16,206,6694,3047
432,Bard,4,14,False,3,13,18,20099,10015,13,20,3853,3190
76,Nidalee,11,4,False,11,7,4,251694,15646,16,50,4636,3157
55,Katarina,12,14,False,7,12,3,127786,11762,14,158,2420,3020
110,Varus,4,7,False,6,10,9,151042,11961,15,200,6691,6694
267,Nami,14,4,True,6,8,30,19849,11067,15,17,4643,3011
234,Viego,4,14,True,15,5,17,165843,18137,17,187,3091,2421
150,Gnar,4,12,True,14,5,9,172271,15736,17,176,3091,3742
202,Jhin,4,7,True,7,7,22,188397,14632,16,232,3009,6671
245,Ekko,11,4,True,8,7,14,208954,14089,16,44,3111,3152
875,Sett,4,6,True,6,4,8,120459,11584,15,161,3111,0
28,Evelynn,11,4,True,11,5,11,172334,14033,16,19,3135,3152
887,Gwen,12,4,True,6,2,5,197471,15415,17,243,3115,2421
157,Yasuo,4,3,True,5,6,8,139783,12166,15,175,3006,1036
432,Bard,4,14,True,1,8,16,17543,8458,14,27,3853,3190
38,Kassadin,4,12,False,13,3,5,127798,13570,15,170,3157,1058
64,LeeSin,4,11,False,6,5,13,133463,10668,13,29,6630,3111
43,Karma,4,14,False,2,7,12,40948,8254,12,40,3853,2065
85,Kennen,12,4,False,2,6,5,101129,10348,14,186,3165,3157
81,Ezreal,4,3,False,2,8,8,126944,9995,13,190,3158,6632
64,LeeSin,4,11,False,5,3,5,128279,9259,13,21,2055,6630
38,Kassadin,4,12,False,6,5,4,90618,9277,13,165,3111,3040
