champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
267,Nami,4,14,True,3,4,23,17119,8875,12,15,6693,0
76,Nidalee,11,4,True,9,1,14,151777,11610,15,25,3152,3135
122,Darius,6,4,True,4,3,3,108141,9355,14,153,3111,6630
236,Lucian,4,7,True,15,4,8,152163,13859,14,201,3111,3508
238,Zed,4,14,True,8,2,9,125008,11219,15,190,6692,6695
75,Nasus,6,12,False,2,5,2,150316,10642,14,196,3181,3110
131,Diana,4,11,False,10,7,1,143944,11970,12,39,3089,3152
13,Ryze,4,12,False,2,8,4,136260,8582,13,177,3070,6656
350,Yuumi,3,14,False,0,8,10,10335,5830,10,7,2065,3853
81,Ezreal,7,4,False,0,11,3,66662,5849,11,111,2031,3133
117,Lulu,4,14,True,8,9,25,45071,13996,17,36,3107,2065
69,Cassiopeia,4,12,True,5,9,18,211775,14639,18,238,3157,3040
5,XinZhao,11,4,True,10,12,16,206311,16966,18,41,6630,3026
81,Ezreal,7,4,True,12,13,9,217270,17328,17,218,3110,6694
887,Gwen,12,14,True,8,9,11,219909,17207,18,259,2420,3089
526,Rell,14,4,False,6,11,16,52042,10618,15,48,3860,6664
13,Ryze,4,12,False,12,8,17,281335,17621,17,203,6656,3165
22,Ashe,4,7,False,15,7,18,220686,18402,17,231,6673,3006
126,Jayce,4,12,False,6,10,14,269439,15881,18,251,6692,6695
59,JarvanIV,4,11,False,13,7,29,205839,16973,18,66,6630,3026
150,Gnar,4,12,False,3,5,5,113132,10165,14,188,3053,3082
64,LeeSin,4,11,False,6,4,11,142137,11466,14,45,3047,2055
136,AurelionSol,4,14,False,5,8,6,84849,9148,13,133,2033,3157
350,Yuumi,3,14,False,2,3,17,12356,7197,11,1,3853,6617
81,Ezreal,7,4,False,8,10,6,121022,10998,13,162,3078,3042
48,Trundle,4,14,True,5,7,15,32448,8329,12,30,3190,0
166,Akshan,4,12,True,3,0,11,161062,11877,16,239,6672,3036
131,Diana,11,4,True,5,8,15,213908,12503,15,22,3152,3020
22,Ashe,4,7,True,1,6,16,81897,9791,12,158,6673,0
555,Pyke,14,4,True,16,3,5,67197,17450,14,118,6695,3142
98,Shen,12,4,True,2,3,13,76491,8804,14,161,0,6664
145,Kaisa,4,3,True,16,1,7,191027,16323,15,231,3026,6672
29,Twitch,14,4,True,5,3,9,109309,9953,15,186,1056,2420
497,Rakan,4,14,True,0,3,23,24220,7990,13,41,3860,3158
5,XinZhao,11,4,True,6,3,17,122555,10760,14,34,6630,3123
887,Gwen,12,14,False,5,5,3,141272,11916,15,210,2421,0
777,Yone,4,12,False,2,4,2,130368,10536,14,197,2420,3006
360,Samira,4,3,False,3,7,2,93265,8855,11,157,3036,3047
48,Trundle,4,14,False,1,6,6,21045,5947,10,35,8001,3067
131,Diana,4,11,False,2,7,5,165714,9241,13,28,3152,3157
164,Camille,4,12,True,6,3,8,121258,10975,15,152,1055,2421
55,Katarina,12,14,True,10,3,6,106802,12204,15,160,4633,3157
119,Draven,4,7,True,5,3,13,172300,13384,15,206,6673,6676
497,Rakan,4,14,True,2,2,18,19434,8383,13,38,2065,3111
5,XinZhao,11,4,True,6,4,14,156149,12565,15,20,6630,3086
98,Shen,14,4,False,2,7,4,83582,9129,14,171,3107,6664
92,Riven,4,12,False,6,5,4,139098,10991,14,207,3047,6630
50,Swain,4,12,False,6,7,5,96727,9538,12,168,1056,3020
64,LeeSin,11,4,False,1,7,7,136391,8465,13,41,3047,2055
37,Sona,4,7,False,0,3,13,18339,6197,11,13,3070,3011
238,Zed,4,14,True,10,4,5,128878,11681,15,156,6692,3158
497,Rakan,4,14,True,2,3,33,24146,9110,14,27,3860,3157
41,Gangplank,12,4,True,3,4,13,216875,13583,16,227,3158,2033
498,Xayah,4,7,True,6,5,13,161385,12590,14,199,6672,2420
131,Diana,11,4,True,18,5,13,209843,15357,15,39,3152,3111
235,Senna,4,3,False,2,9,12,28320,8826,12,30,6632,3071
98,Shen,4,14,False,4,8,5,56135,8808,14,100,3748,3076
134,Syndra,4,12,False,4,8,4,122932,11158,14,204,3157,1082
62,MonkeyKing,4,12,False,7,7,3,122035,11473,16,184,3748,3047
56,Nocturne,4,11,False,4,7,4,120161,9196,13,37,6631,2055
516,Ornn,4,12,True,2,4,16,78473,8570,14,129,1054,7005
22,Ashe,4,3,True,9,4,23,86511,11766,14,130,1055,6673
55,Katarina,12,14,True,24,9,18,108142,16122,14,98,6655,3115
111,Nautilus,4,14,True,4,6,33,44996,9879,13,33,3860,6662
234,Viego,11,4,True,16,3,20,166386,15371,15,43,7008,3033
875,Sett,4,14,False,5,15,12,32514,7286,10,41,3855,6664
360,Samira,7,4,False,4,10,10,97863,8511,13,147,6673,3047
24,Jax,4,12,False,6,7,3,101344,10979,13,132,3044,2033
68,Rumble,3,4,False,6,11,9,108111,10206,13,136,0,1058
141,Kayn,4,11,False,5,12,8,93247,8875,12,21,0,6630
48,Trundle,4,14,False,5,4,17,22609,9869,14,57,3857,3158
64,LeeSin,11,4,False,2,7,9,162777,10763,14,37,6630,3211
42,Corki,12,4,False,6,5,7,194357,13399,17,228,6673,3042
81,Ezreal,4,7,False,6,9,9,147589,12295,15,172,3123,6694
240,Kled,4,12,False,7,5,9,186645,15062,17,241,3053,3047
