champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
360,Samira,7,4,True,11,2,2,59873,8865,9,101,3006,6676
56,Nocturne,11,4,True,5,0,5,74547,6324,10,22,6631,3006
497,Rakan,14,4,True,1,3,14,10689,5862,7,8,3851,2065
85,Kennen,4,12,True,5,6,7,27515,6093,9,55,0,3152
4,TwistedFate,14,4,True,10,0,3,78764,9308,11,117,6656,2033
518,Neeko,12,4,False,5,5,3,38279,6354,9,71,2033,3152
64,LeeSin,11,4,False,1,4,4,36476,3972,7,1,2422,0
67,Vayne,4,7,False,1,12,0,24022,3447,7,63,2031,6670
432,Bard,14,4,False,2,4,4,12167,4703,8,20,3157,3851
517,Sylas,12,4,False,2,7,2,16449,3643,7,41,1052,1052
429,Kalista,7,4,False,4,5,10,180077,13483,14,247,1038,6673
555,Pyke,4,14,False,6,5,10,22238,11125,12,28,3857,3026
76,Nidalee,11,4,False,9,6,8,152110,12767,15,33,4636,4628
58,Renekton,12,4,False,1,11,6,99441,8273,14,164,3044,1037
875,Sett,12,4,False,3,3,5,121974,10981,15,200,6630,3053
81,Ezreal,7,4,True,6,5,10,134978,12298,14,190,3110,6632
131,Diana,11,4,True,6,5,17,181730,12212,16,55,3152,2055
114,Fiora,12,4,True,4,4,9,124409,11165,16,192,6630,3047
43,Karma,3,4,True,3,5,16,43580,9377,13,30,3853,2065
157,Yasuo,14,4,True,11,4,12,173943,13828,16,188,6673,3033
517,Sylas,4,12,True,11,7,8,74888,11734,13,111,6656,3157
412,Thresh,14,4,True,0,2,20,19568,6522,12,33,3067,3857
523,Aphelios,1,4,True,9,4,8,111976,11376,13,190,6673,2055
887,Gwen,12,14,True,9,4,8,89618,9803,14,142,3067,3157
5,XinZhao,4,11,True,5,6,14,126474,10039,13,18,2031,2055
89,Leona,14,4,False,1,6,8,17854,5136,9,32,3859,2055
164,Camille,12,14,False,3,5,4,70694,8114,13,126,1054,6632
56,Nocturne,11,4,False,10,9,4,86691,9046,11,19,6631,2055
115,Ziggs,12,4,False,4,8,6,86229,8789,12,137,3020,6653
7,Leblanc,12,4,False,5,6,6,73205,8126,12,134,2055,2033
64,LeeSin,12,4,True,6,4,3,176899,14399,17,232,6630,3053
104,Graves,12,4,True,7,4,5,248862,15568,18,243,0,3047
115,Ziggs,12,4,True,5,4,9,214613,14140,16,223,3135,1082
131,Diana,11,4,True,7,7,9,193426,13025,16,31,3152,3157
432,Bard,3,4,True,3,3,16,42792,10157,15,55,3860,4643
236,Lucian,4,7,False,3,7,6,184249,12317,15,265,6673,1037
497,Rakan,3,4,False,0,6,18,23312,8222,12,41,3050,2065
164,Camille,12,4,False,4,6,3,190966,12258,16,195,3181,0
5,XinZhao,11,4,False,8,5,5,190841,12902,15,40,6630,0
7,Leblanc,12,4,False,7,4,4,152821,13393,16,246,3020,6655
22,Ashe,7,4,False,2,6,3,94859,8834,12,189,2031,3051
89,Leona,14,4,False,0,6,7,16907,5410,10,35,3190,2055
245,Ekko,11,4,False,5,6,3,128776,9036,13,17,3152,2055
