champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
517,Sylas,12,4,True,18,4,10,136999,15532,16,178,3157,3158
497,Rakan,14,4,True,1,7,20,14745,7830,12,15,2065,3158
76,Nidalee,4,11,True,7,5,16,181768,12440,16,17,3157,4628
157,Yasuo,3,4,True,3,5,13,177183,12367,15,218,2421,3086
92,Riven,12,4,True,9,3,9,159841,14188,16,169,6630,3071
145,Kaisa,7,4,False,6,4,5,139951,12170,14,232,6672,1018
126,Jayce,12,4,False,6,10,7,167132,11473,15,226,6609,3133
245,Ekko,4,11,False,2,9,7,133418,8703,13,33,3152,3100
91,Talon,4,14,False,10,9,10,89872,11549,13,136,6695,3071
12,Alistar,4,14,False,0,6,14,19895,6253,11,29,3860,2065
110,Varus,1,4,False,2,5,6,168467,11617,14,233,3035,0
266,Aatrox,12,4,False,5,4,7,130965,12456,16,194,2055,3143
412,Thresh,3,4,False,0,6,16,24471,8109,13,45,2065,3222
166,Akshan,14,4,False,15,4,8,184433,17013,17,224,3006,6673
79,Gragas,11,4,False,5,6,13,176716,11462,15,18,3157,3165
22,Ashe,1,4,True,7,6,13,211200,15631,16,252,3006,3036
89,Leona,14,4,True,2,3,16,19490,9385,14,40,3190,3860
104,Graves,4,11,True,13,7,7,263207,17906,18,50,3142,3071
117,Lulu,12,4,True,1,4,20,87675,10314,17,163,2065,3222
91,Talon,4,14,True,2,7,7,143459,11556,16,201,6695,3142
875,Sett,14,4,True,6,4,14,63142,10148,13,51,6630,3053
164,Camille,14,12,True,7,8,4,113395,10859,15,165,0,6632
202,Jhin,1,4,True,5,1,11,123737,11631,14,193,6671,6676
13,Ryze,12,4,True,0,2,8,109212,8220,14,152,3040,6656
64,LeeSin,11,4,True,9,2,8,133858,11383,14,14,3071,6630
235,Senna,7,4,False,2,5,7,36451,7349,11,34,3864,3086
121,Khazix,11,4,False,1,5,4,121132,7396,12,19,6630,3133
57,Maokai,14,4,False,1,5,5,68083,7236,11,131,1054,3068
114,Fiora,12,4,False,8,5,4,127965,11259,15,177,6630,3047
7,Leblanc,12,4,False,5,7,2,70593,9561,13,164,2033,1082
202,Jhin,7,4,False,7,1,3,109909,10582,13,195,6671,0
497,Rakan,14,4,False,3,4,9,13665,6190,10,33,3860,2055
64,LeeSin,11,4,False,3,6,11,93298,8272,12,25,6630,0
126,Jayce,4,12,False,3,8,7,77579,8183,12,110,0,0
13,Ryze,12,4,False,3,5,1,109172,8041,13,170,3040,2055
23,Tryndamere,6,4,True,7,3,4,125471,11357,15,176,6630,3181
110,Varus,7,4,True,7,3,2,104451,10423,13,189,3158,2055
164,Camille,12,4,True,2,5,5,63893,7573,13,123,1037,6632
43,Karma,14,4,True,1,4,11,23261,6683,10,17,3853,2065
76,Nidalee,11,4,True,7,4,5,121714,9608,13,39,4636,3157
64,LeeSin,11,4,True,5,2,13,190014,11685,15,43,6630,2421
110,Varus,7,4,True,7,6,12,162088,13061,15,211,3142,6691
133,Quinn,14,4,True,8,1,9,172377,14422,17,238,6671,1038
142,Zoe,14,4,True,5,1,7,117766,11110,14,180,2421,4628
497,Rakan,14,4,True,1,6,19,23904,7968,13,48,3860,0
76,Nidalee,11,4,False,12,4,3,153778,13203,14,31,4636,3089
523,Aphelios,7,4,False,0,6,6,153130,10673,14,216,3006,3086
223,TahmKench,14,4,False,1,7,6,27770,7126,12,42,3140,8001
114,Fiora,4,12,False,1,6,1,109636,9529,14,167,3074,6630
777,Yone,12,4,False,2,3,1,161678,10851,15,243,6671,3072
22,Ashe,4,7,True,5,1,14,145122,12807,14,190,6673,2421
12,Alistar,4,3,True,2,5,18,23494,8143,12,30,3860,2065
142,Zoe,14,4,True,10,5,5,95097,11535,14,147,2033,6655
39,Irelia,12,4,True,4,3,8,150347,11869,15,188,6673,1053
104,Graves,4,11,True,19,4,4,157904,13552,14,48,3142,6671
7,Leblanc,12,4,False,9,8,5,109137,11823,14,153,3089,3020
360,Samira,7,4,False,1,9,6,97090,9384,12,173,3006,6673
64,LeeSin,11,4,False,5,4,7,137785,10067,14,54,6630,2055
79,Gragas,14,4,False,2,7,12,37032,6334,12,37,3190,3158
126,Jayce,4,12,False,1,12,4,143672,8963,14,185,6692,3158
7,Leblanc,14,4,True,5,4,7,123228,11506,16,208,6655,4629
104,Graves,11,4,True,7,3,10,204431,12761,16,69,3142,0
412,Thresh,14,4,True,1,4,14,24238,8137,13,41,3742,3117
92,Riven,14,4,True,3,4,5,138208,11172,16,192,6630,3067
119,Draven,4,1,True,9,4,3,196716,17268,16,256,3031,3036
25,Morgana,4,14,False,3,6,8,22396,7913,12,21,3157,2065
110,Varus,7,4,False,3,7,6,149359,12627,14,228,3042,3134
517,Sylas,12,4,False,2,7,1,94423,8702,14,177,2033,1056
58,Renekton,12,4,False,2,4,5,182824,12557,16,234,1055,6630
76,Nidalee,11,4,False,9,1,2,194057,12424,15,59,3157,1052
64,LeeSin,4,11,True,12,2,14,136003,12135,14,24,6630,3071
43,Karma,14,4,True,1,1,14,31252,7201,11,17,2065,3158
517,Sylas,4,12,True,10,3,10,99448,10919,14,143,3157,6656
14,Sion,12,4,True,3,5,10,89687,8108,13,135,2033,6662
81,Ezreal,12,4,True,8,1,6,128252,11640,14,181,3042,3078
164,Camille,4,12,False,6,7,4,110433,10837,13,169,1055,3074
421,RekSai,11,4,False,1,8,9,94262,7327,12,8,6692,1036
115,Ziggs,12,4,False,1,7,4,101758,7759,12,171,3020,3070
4,TwistedFate,14,4,False,3,8,4,108260,10968,13,187,1055,3100
497,Rakan,14,4,False,1,4,6,17871,5445,10,40,3860,2065
64,LeeSin,11,4,False,3,6,1,70769,5494,9,11,6630,1037
15,Sivir,4,12,False,3,6,3,74000,7729,9,136,3142,6691
887,Gwen,4,12,False,0,3,1,59018,5281,11,127,1054,1042
92,Riven,12,14,False,0,5,2,62915,5428,10,112,6630,1055
48,Trundle,14,4,False,2,5,3,17319,5460,8,31,3190,3067
4,TwistedFate,4,12,True,8,0,5,75123,9160,12,129,2423,6656
104,Graves,4,11,True,5,2,7,112462,8401,12,26,3142,1053
164,Camille,12,14,True,4,3,5,49207,6447,11,86,1036,1055
115,Ziggs,4,12,True,5,2,8,61292,7502,10,114,3145,6653
497,Rakan,14,4,True,3,1,9,15001,5334,9,32,2031,3158
24,Jax,4,12,False,1,4,0,59733,5684,11,90,0,0
43,Karma,14,4,False,7,7,2,27003,8022,10,21,2065,4628
110,Varus,4,7,False,1,10,6,45344,5699,10,107,3142,3070
245,Ekko,4,11,False,3,6,3,83972,6113,11,37,2031,1042
84,Akali,12,4,False,1,4,4,56263,5630,11,107,4633,1082
104,Graves,4,11,True,6,0,2,162984,9950,13,36,3142,2031
222,Jinx,7,4,True,8,5,6,72580,9343,12,114,6671,2055
23,Tryndamere,6,4,True,12,3,1,109764,11463,13,162,6630,3158
85,Kennen,12,4,True,5,3,3,85704,9526,13,146,1055,3152
412,Thresh,4,14,True,0,2,12,18609,5866,10,25,2055,3190
