champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
497,Rakan,4,14,True,2,5,22,29184,10366,15,48,3860,2065
254,Vi,4,11,True,10,1,10,217357,15167,18,63,6632,2055
236,Lucian,7,4,True,7,11,13,158598,13785,16,218,6671,3031
142,Zoe,12,4,True,12,3,9,182790,16226,17,242,3108,6655
164,Camille,12,14,True,9,7,13,163913,14096,17,182,3053,3074
7,Leblanc,14,4,False,6,4,5,122770,11981,16,226,6655,4629
145,Kaisa,7,4,False,11,10,5,193793,16503,16,251,6671,2420
150,Gnar,12,4,False,1,12,6,125952,9646,15,152,6630,2055
111,Nautilus,14,4,False,3,7,16,29550,8888,13,34,3860,3190
104,Graves,4,11,False,6,7,9,244101,13406,16,110,3142,3086
69,Cassiopeia,4,7,False,4,2,8,90199,9291,11,180,3070,6655
412,Thresh,4,3,False,5,4,7,15755,5933,9,34,3857,2065
164,Camille,4,12,False,2,6,2,53591,6178,11,112,1054,3158
76,Nidalee,11,4,False,4,3,3,111724,7364,12,22,0,0
104,Graves,12,4,False,1,8,5,86563,6544,11,136,1001,6692
110,Varus,7,4,True,1,5,4,85732,8128,12,175,3142,0
7,Leblanc,12,4,True,10,0,2,86710,11293,14,170,4629,6655
5,XinZhao,11,4,True,7,3,9,123541,9845,13,19,3111,6630
223,TahmKench,14,4,True,0,6,4,18949,5047,9,38,3855,2031
85,Kennen,4,12,True,5,2,7,74786,8926,13,155,1055,3916
4,TwistedFate,14,4,False,4,10,16,113716,11431,14,160,6656,2033
110,Varus,7,4,False,10,5,10,167684,14084,15,223,3142,6691
53,Blitzcrank,14,4,False,3,5,12,24269,7676,13,37,3190,2055
58,Renekton,12,4,False,3,8,8,124492,10382,14,187,6630,3133
234,Viego,11,4,False,11,9,4,180690,13437,15,49,6632,3053
245,Ekko,11,4,True,7,10,10,171502,12228,16,32,3113,3157
101,Xerath,21,4,True,4,7,9,62540,9799,13,38,3853,4628
523,Aphelios,1,4,True,8,5,12,186956,14753,16,205,3006,6673
39,Irelia,4,12,True,14,4,8,228666,17549,17,245,3153,1038
875,Sett,4,12,True,4,5,12,140951,12646,16,193,3748,3053
96,KogMaw,7,4,True,4,4,4,93939,8954,12,142,6673,2031
134,Syndra,14,4,True,3,6,8,83702,7596,12,126,3158,2055
64,LeeSin,4,11,True,11,1,13,97118,11105,13,35,6630,2055
412,Thresh,4,14,True,1,2,18,18759,6415,11,30,3857,3190
92,Riven,12,4,True,16,2,6,117022,13426,14,150,6630,0
126,Jayce,4,12,False,3,11,1,86301,7710,12,149,0,6692
777,Yone,12,4,False,5,7,2,75191,7880,11,111,1054,2055
202,Jhin,7,4,False,2,7,4,80308,7159,10,159,2031,2055
76,Nidalee,11,4,False,5,6,4,85226,7386,11,24,2031,2421
89,Leona,14,4,False,0,4,9,17274,4882,9,25,3855,3067
154,Zac,11,4,True,7,3,14,178104,13861,17,35,3047,1082
58,Renekton,12,4,True,5,8,9,143757,14093,16,209,6333,6630
115,Ziggs,4,12,True,8,12,7,227284,16966,16,244,6653,3040
875,Sett,4,12,True,8,6,12,200271,16884,17,210,3047,3053
555,Pyke,14,4,True,8,10,6,25046,13462,13,38,3857,6631
