champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
24,Jax,4,12,False,1,4,0,59733,5684,11,90,0,0
43,Karma,14,4,False,7,7,2,27003,8022,10,21,2065,4628
110,Varus,4,7,False,1,10,6,45344,5699,10,107,3142,3070
245,Ekko,4,11,False,3,6,3,83972,6113,11,37,2031,1042
84,Akali,12,4,False,1,4,4,56263,5630,11,107,4633,1082
104,Graves,4,11,True,6,0,2,162984,9950,13,36,3142,2031
222,Jinx,7,4,True,8,5,6,72580,9343,12,114,6671,2055
23,Tryndamere,6,4,True,12,3,1,109764,11463,13,162,6630,3158
85,Kennen,12,4,True,5,3,3,85704,9526,13,146,1055,3152
412,Thresh,4,14,True,0,2,12,18609,5866,10,25,2055,3190
85,Kennen,4,12,False,2,9,0,58752,6161,11,127,1055,3916
64,LeeSin,11,4,False,3,10,3,82980,7021,10,23,6630,3067
110,Varus,7,4,False,3,5,3,84107,7840,10,173,2055,1057
3,Galio,12,4,False,1,4,5,87818,6713,12,153,4636,1052
201,Braum,3,4,False,1,2,7,23066,5537,10,34,3857,3067
12,Alistar,4,14,True,1,4,7,20362,5404,10,32,3742,3860
76,Nidalee,11,4,True,7,3,14,133433,11105,13,21,3157,0
523,Aphelios,4,1,True,2,3,5,79005,8033,11,159,3006,6671
23,Tryndamere,6,4,True,11,0,8,139027,13684,15,185,6630,3111
245,Ekko,12,4,True,9,0,12,83357,9826,13,119,3041,2033
76,Nidalee,11,4,True,9,0,8,145398,10550,14,26,2055,3157
91,Talon,4,14,True,10,2,7,107735,12534,14,164,6630,3111
523,Aphelios,7,4,True,4,7,4,78752,8382,11,140,6673,2003
526,Rell,14,4,True,0,5,7,13345,5194,9,24,3190,3860
54,Malphite,12,4,True,2,2,7,52181,7750,12,108,1056,4401
245,Ekko,11,4,False,8,5,3,135489,8877,11,19,3100,3152
163,Taliyah,14,4,False,4,4,7,43963,6448,9,32,3853,2031
235,Senna,4,7,False,0,7,13,66226,6841,10,113,2031,1042
3,Galio,14,4,False,2,5,7,73718,6812,12,119,1082,3152
133,Quinn,4,14,False,2,4,2,66128,6690,11,99,2031,1042
92,Riven,12,4,True,11,2,6,163444,14448,16,197,6630,2055
115,Ziggs,12,4,True,4,3,6,114586,10362,13,183,0,6653
13,Ryze,4,12,True,5,4,3,133776,9948,14,182,2031,6656
497,Rakan,4,14,True,3,6,12,18458,7273,11,31,2065,3860
2,Olaf,11,4,True,6,3,8,142310,10858,13,32,3133,3047
25,Morgana,4,14,False,2,5,9,13063,6683,10,20,2065,3853
126,Jayce,12,4,False,1,10,4,107496,7939,13,166,3042,3047
523,Aphelios,7,4,False,10,5,5,119780,12337,12,203,6671,3031
48,Trundle,11,4,False,4,4,12,88812,8789,11,36,0,0
517,Sylas,12,4,False,1,5,4,81890,7840,12,166,1056,6656
412,Thresh,3,4,False,2,8,4,13457,4684,8,27,3855,2031
245,Ekko,4,11,False,2,6,3,76894,5732,10,20,1082,1052
238,Zed,14,4,False,5,8,0,57910,6655,10,112,1055,0
150,Gnar,12,4,False,0,8,3,56549,5114,10,115,6029,2031
523,Aphelios,7,4,False,2,7,1,57244,6442,9,113,6673,2031
145,Kaisa,7,4,True,4,3,12,76147,8762,11,135,3006,2055
64,LeeSin,11,4,True,12,1,4,125878,11181,13,62,6630,2420
85,Kennen,12,4,True,9,4,9,79814,9415,12,121,1055,3152
53,Blitzcrank,14,4,True,3,2,12,14897,5440,9,17,2065,3859
875,Sett,4,12,True,9,1,9,95285,11668,13,139,1011,3077
64,LeeSin,11,4,False,6,5,5,109999,8505,11,12,6630,2055
89,Leona,14,4,False,1,5,9,15857,5593,10,34,3190,0
238,Zed,14,4,False,4,2,6,85719,8132,13,137,2031,0
85,Kennen,4,12,False,1,6,5,78914,9150,12,157,3020,3152
134,Syndra,4,7,False,7,4,3,85832,9048,12,157,2055,6655
117,Lulu,12,4,True,1,2,15,50508,8281,13,107,3850,2065
22,Ashe,1,4,True,8,5,8,92863,10984,12,173,6673,3091
36,DrMundo,12,4,True,2,4,4,127382,8817,14,178,1054,3067
223,TahmKench,3,4,True,0,7,7,20866,5206,10,35,3105,2055
5,XinZhao,11,4,True,11,2,7,150556,12398,13,43,3111,6630
96,KogMaw,4,1,False,2,4,0,45910,5346,9,125,3006,6670
142,Zoe,14,4,False,0,3,0,36630,4547,10,116,1001,2033
85,Kennen,4,12,False,1,4,1,45732,5175,10,116,1054,2031
48,Trundle,11,4,False,2,0,1,67739,5269,9,10,6632,2031
117,Lulu,4,3,False,0,1,2,9828,3675,8,7,3851,2031
201,Braum,3,4,True,1,1,3,8805,3648,8,18,3855,0
110,Varus,4,7,True,2,2,3,53395,5950,9,115,3142,0
54,Malphite,4,12,True,2,2,2,37157,4582,10,72,0,2033
76,Nidalee,11,4,True,3,0,2,96943,6496,11,18,4636,3145
238,Zed,1,4,True,4,0,1,79687,7808,12,149,0,3142
126,Jayce,4,12,True,9,1,1,90892,10169,13,148,6692,2031
201,Braum,3,4,True,0,2,4,9615,3707,8,20,3855,2055
245,Ekko,4,11,True,0,2,4,108232,6576,11,26,2031,3152
268,Azir,1,4,True,2,2,1,51607,5855,10,128,1056,3916
58,Renekton,12,4,True,2,2,1,85858,6757,11,137,0,6630
89,Leona,14,4,False,0,0,4,12769,3785,8,28,1033,3859
30,Karthus,11,4,False,3,2,3,103068,6615,11,17,6653,2031
114,Fiora,4,12,False,1,5,1,46711,4897,10,108,6630,2031
22,Ashe,4,1,False,1,2,1,51641,5726,9,139,6673,2055
92,Riven,4,14,False,4,4,2,60795,6126,11,108,0,6630
134,Syndra,12,4,True,5,5,5,151079,11836,14,231,3158,3916
64,LeeSin,4,11,True,6,4,10,187686,12379,15,52,0,6630
164,Camille,12,14,True,7,2,4,147246,13082,15,191,3053,3158
13,Ryze,12,4,True,5,7,8,203871,13107,16,210,6656,3157
3,Galio,14,4,True,0,4,13,31010,7322,13,48,3860,2421
875,Sett,12,4,False,6,4,7,120667,11660,16,195,3053,6631
350,Yuumi,3,7,False,1,3,13,16171,7690,13,8,3114,3853
96,KogMaw,1,4,False,8,6,5,171815,14269,14,230,3006,2420
79,Gragas,11,4,False,7,2,13,219891,12472,16,17,3158,3113
58,Renekton,4,12,False,0,8,3,133351,8730,15,179,0,0
111,Nautilus,4,3,True,3,2,9,16724,5830,10,32,2031,3190
85,Kennen,4,12,True,3,2,6,76557,8744,13,155,3157,3108
421,RekSai,11,4,True,9,2,9,125214,10684,12,15,6631,2055
67,Vayne,4,7,True,6,3,4,79893,9828,12,155,3006,1042
13,Ryze,4,12,True,5,1,5,136837,9785,13,187,2033,6656
18,Tristana,4,12,False,2,7,0,103481,8391,13,171,3046,6672
61,Orianna,12,4,False,0,4,0,76641,6423,11,156,6655,3070
59,JarvanIV,11,4,False,0,5,6,88155,6276,11,33,6630,1037
526,Rell,3,4,False,0,5,7,13323,5175,9,24,3855,3190
360,Samira,7,4,False,8,5,0,85991,10291,11,154,3047,1037
