champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
85,Kennen,4,12,False,2,9,0,58752,6161,11,127,1055,3916
64,LeeSin,11,4,False,3,10,3,82980,7021,10,23,6630,3067
110,Varus,7,4,False,3,5,3,84107,7840,10,173,2055,1057
3,Galio,12,4,False,1,4,5,87818,6713,12,153,4636,1052
201,Braum,3,4,False,1,2,7,23066,5537,10,34,3857,3067
12,Alistar,4,14,True,1,4,7,20362,5404,10,32,3742,3860
76,Nidalee,11,4,True,7,3,14,133433,11105,13,21,3157,0
523,Aphelios,4,1,True,2,3,5,79005,8033,11,159,3006,6671
23,Tryndamere,6,4,True,11,0,8,139027,13684,15,185,6630,3111
245,Ekko,12,4,True,9,0,12,83357,9826,13,119,3041,2033
142,Zoe,14,4,False,7,4,3,106952,9765,13,156,3165,4630
81,Ezreal,7,4,False,0,5,3,131407,9181,13,215,3024,3158
107,Rengar,4,11,False,6,5,4,148690,11090,13,43,6630,2055
43,Karma,3,4,False,0,6,4,19402,5997,11,30,0,2055
164,Camille,14,12,False,2,7,4,137269,11407,15,203,1037,6632
76,Nidalee,11,4,True,7,4,12,194978,13086,16,39,0,1058
24,Jax,12,4,True,6,5,3,165717,13116,16,219,2421,3153
360,Samira,7,4,True,11,0,7,200197,16251,16,268,2421,0
497,Rakan,4,14,True,0,3,15,18367,7666,12,43,3860,2065
166,Akshan,1,4,True,3,3,9,116916,10446,15,181,6676,2421
202,Jhin,4,7,True,4,4,10,128474,10686,13,190,3142,6691
432,Bard,3,4,True,1,2,17,26536,7400,12,39,3190,3158
134,Syndra,12,4,True,3,2,6,108791,10158,14,185,1056,6655
67,Vayne,12,4,True,2,3,5,134163,10474,15,173,3006,3124
203,Kindred,11,4,True,12,6,1,125045,11489,12,19,1037,0
114,Fiora,4,12,False,2,4,5,79833,7713,13,132,1053,6630
76,Nidalee,11,4,False,6,2,4,126553,9862,13,55,4636,4628
81,Ezreal,4,7,False,2,6,6,86120,8137,12,159,0,0
80,Pantheon,4,12,False,5,5,4,54480,7355,12,108,6029,3142
48,Trundle,4,14,False,2,5,8,23836,6271,10,37,3857,3190
234,Viego,4,11,True,21,8,7,265684,20733,18,53,3748,6333
110,Varus,1,4,True,7,7,12,163318,14314,16,206,3158,3042
112,Viktor,12,4,True,3,8,18,164016,13529,17,209,3157,0
13,Ryze,4,12,True,3,6,8,219726,13143,17,201,6656,3070
497,Rakan,4,3,True,3,2,17,28184,9614,16,39,3860,3190
111,Nautilus,14,4,False,3,9,11,34291,8312,13,63,3190,3157
64,LeeSin,11,4,False,7,7,9,224324,14466,16,53,6630,2055
432,Bard,7,4,False,1,6,12,81799,9464,15,143,3157,2065
58,Renekton,12,4,False,9,8,6,190818,15430,17,239,3143,6630
85,Kennen,12,4,False,11,7,9,175824,15416,17,242,3089,3165
64,LeeSin,11,4,False,6,5,5,109999,8505,11,12,6630,2055
89,Leona,14,4,False,1,5,9,15857,5593,10,34,3190,0
238,Zed,14,4,False,4,2,6,85719,8132,13,137,2031,0
85,Kennen,4,12,False,1,6,5,78914,9150,12,157,3020,3152
134,Syndra,4,7,False,7,4,3,85832,9048,12,157,2055,6655
117,Lulu,12,4,True,1,2,15,50508,8281,13,107,3850,2065
22,Ashe,1,4,True,8,5,8,92863,10984,12,173,6673,3091
36,DrMundo,12,4,True,2,4,4,127382,8817,14,178,1054,3067
223,TahmKench,3,4,True,0,7,7,20866,5206,10,35,3105,2055
5,XinZhao,11,4,True,11,2,7,150556,12398,13,43,3111,6630
64,LeeSin,11,4,False,1,4,3,81579,5652,10,7,2031,6630
