champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
8,Vladimir,6,4,True,13,8,27,78577,13216,17,44,3158,3152
29,Twitch,4,1,True,8,6,28,54392,12558,17,44,3091,3748
79,Gragas,32,4,True,8,7,36,45972,12115,17,30,6662,3047
37,Sona,13,4,True,6,6,37,20276,11679,17,11,6617,3040
236,Lucian,4,7,True,17,8,21,87562,14642,16,74,3006,6671
15,Sivir,7,4,False,6,8,17,122018,12995,16,122,3158,6609
80,Pantheon,32,4,False,10,12,13,51786,13061,16,26,3053,3111
201,Braum,32,4,False,2,10,27,12844,10645,16,5,3190,3083
245,Ekko,4,32,False,5,13,14,29723,11208,16,19,3152,2031
7,Leblanc,32,4,False,12,9,15,45494,12398,16,25,6655,4629
4,TwistedFate,12,4,True,8,4,9,146485,13689,16,193,3094,3157
523,Aphelios,4,7,True,8,5,3,196502,14218,14,231,6671,2420
201,Braum,14,4,True,1,4,13,23739,8435,13,43,3860,3190
421,RekSai,11,4,True,5,5,7,144601,12544,15,36,2055,6631
114,Fiora,12,4,True,3,6,7,109540,10488,15,183,3074,6630
517,Sylas,12,4,False,5,6,11,154810,11823,15,196,4629,3157
222,Jinx,1,4,False,6,5,6,154197,12300,14,225,3031,0
24,Jax,4,12,False,7,4,6,147183,12767,15,174,3078,3053
412,Thresh,14,4,False,0,5,17,24073,7205,12,32,2065,3857
64,LeeSin,11,4,False,6,5,12,141687,11058,13,21,2055,6630
114,Fiora,12,4,False,0,6,4,95442,7278,13,166,2031,6630
39,Irelia,12,4,False,7,8,3,121538,10708,14,193,1028,3078
360,Samira,7,4,False,1,6,3,79524,7786,12,166,2055,6673
76,Nidalee,11,4,False,8,2,6,123092,10686,14,42,2055,4636
12,Alistar,14,4,False,1,9,10,15382,5992,9,24,3190,3860
81,Ezreal,4,7,True,3,6,10,109661,10460,14,190,2055,0
64,LeeSin,11,4,True,9,1,12,151904,12707,15,36,3143,6630
13,Ryze,12,4,True,5,5,15,155915,11673,14,180,3157,6656
24,Jax,12,4,True,12,2,3,200070,16296,16,209,3153,3078
89,Leona,14,4,True,2,4,16,13458,7137,11,25,3190,3860
76,Nidalee,11,4,False,5,6,2,78098,7343,10,26,4636,2055
81,Ezreal,4,7,False,2,5,2,93480,8027,12,192,0,0
89,Leona,14,4,False,0,8,3,13835,4465,9,29,0,3859
104,Graves,12,4,False,1,10,4,106606,7930,12,152,6673,3072
268,Azir,12,3,False,1,9,1,70609,7535,11,149,1056,6653
238,Zed,14,4,True,14,0,1,131859,12669,15,191,0,3142
5,XinZhao,11,4,True,3,4,8,136915,9497,13,26,2055,6630
202,Jhin,4,7,True,5,1,11,115243,9888,13,160,1018,2031
7,Leblanc,4,12,True,11,2,16,85611,11116,13,135,2033,3020
48,Trundle,14,4,True,5,2,13,17613,7318,11,42,3190,3857
110,Varus,4,7,True,7,4,9,103882,10026,12,161,3134,3142
91,Talon,4,14,True,4,2,8,96533,10260,13,155,3035,6693
133,Quinn,4,14,True,6,6,4,68493,7608,13,102,2031,6670
79,Gragas,11,4,True,8,3,8,111779,9657,13,11,0,3102
875,Sett,14,4,True,3,3,10,41768,7162,11,39,6630,2031
13,Ryze,12,4,False,5,7,4,113868,9384,13,163,6656,3157
