champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
32,Amumu,14,4,False,2,9,4,17444,6359,10,17,3108,0
32,Amumu,4,12,False,5,6,9,37982,10712,14,50,2055,3143
32,Amumu,12,4,False,6,7,4,47666,10213,13,47,3157,2031
32,Amumu,12,4,False,4,7,8,57747,9389,13,66,4636,3020
32,Amumu,4,14,False,5,11,4,50373,9394,14,56,6656,3158
67,Vayne,3,4,True,6,3,7,84999,11867,14,73,6673,3139
67,Vayne,21,4,True,6,2,7,55866,11055,13,67,6673,3139
67,Vayne,4,11,True,10,5,7,121861,12631,15,22,6672,3124
67,Vayne,12,4,True,7,8,7,80028,12079,15,77,6672,1043
67,Vayne,6,4,True,11,4,6,99762,14687,15,66,6673,6035
157,Yasuo,12,4,True,8,4,6,74699,11443,14,87,0,3143
157,Yasuo,4,12,True,4,3,3,44911,8160,12,43,1055,1055
157,Yasuo,4,12,True,4,4,4,44137,8323,12,37,1055,2003
157,Yasuo,4,14,True,10,5,2,99175,13984,15,87,1055,3031
157,Yasuo,4,11,True,8,6,4,100504,11493,14,36,6673,3033
166,Akshan,12,4,False,1,7,8,23848,5906,11,31,6673,2031
166,Akshan,12,4,False,6,5,4,41593,9675,13,58,3123,1042
166,Akshan,12,4,False,5,9,11,33947,8346,12,41,6672,3047
166,Akshan,12,4,False,7,7,5,54503,11145,12,61,6672,3006
166,Akshan,4,12,False,3,6,8,30329,7061,12,31,3091,3047
50,Swain,32,4,True,3,9,24,24277,9584,15,9,6655,3083
81,Ezreal,21,4,True,13,5,18,55869,12649,17,39,3158,2003
157,Yasuo,4,32,True,5,13,13,43574,10119,15,47,6673,3006
115,Ziggs,4,3,True,14,11,20,60130,12812,15,32,6653,3135
223,TahmKench,32,4,True,10,5,21,35760,11778,17,28,3083,3111
267,Nami,13,4,False,2,6,35,18276,9785,16,10,1052,0
412,Thresh,4,3,False,1,11,15,35165,8791,14,31,6671,3095
26,Zilean,13,4,False,6,8,25,56238,10724,16,55,3165,6653
131,Diana,32,4,False,16,10,17,67914,13374,15,34,3157,3020
555,Pyke,4,32,False,18,10,11,30138,13951,15,7,6691,3158
59,JarvanIV,32,4,True,9,16,41,64682,16556,18,34,6630,3053
246,Qiyana,32,4,True,16,18,25,134311,17820,18,77,6691,3111
53,Blitzcrank,4,3,True,9,18,29,58118,16622,18,36,6656,1011
110,Varus,1,4,True,22,13,32,154374,21224,18,95,6691,3047
57,Maokai,4,1,True,6,11,43,165680,17645,18,94,6653,3135
64,LeeSin,4,32,False,19,12,42,90423,18254,18,47,3075,6630
84,Akali,4,32,False,19,12,22,77723,17675,18,35,3152,3089
39,Irelia,4,32,False,21,12,30,162524,20145,18,154,6632,3047
412,Thresh,32,4,False,6,13,45,23687,14725,18,10,3047,3143
1,Annie,32,4,False,11,13,36,71925,16259,18,34,3157,4629
115,Ziggs,13,4,False,6,6,16,51831,10368,15,36,6653,0
80,Pantheon,32,4,False,8,11,12,33241,9840,13,29,3111,2031
84,Akali,4,32,False,11,10,4,24318,9941,13,22,3157,3165
40,Janna,3,4,False,2,8,22,30046,8503,14,24,6655,3020
238,Zed,4,14,False,4,7,11,27063,9049,14,31,6691,3158
92,Riven,4,32,True,14,8,11,44219,11801,15,33,6630,1037
76,Nidalee,14,4,True,7,4,22,33042,10865,15,29,6655,3157
39,Irelia,32,4,True,8,9,17,34046,10246,14,50,3051,1057
112,Viktor,3,4,True,5,6,21,39550,10081,15,32,3067,0
51,Caitlyn,7,4,True,8,4,16,44400,10941,15,38,3042,6691
81,Ezreal,4,7,False,2,7,8,107620,10333,15,211,6632,3133
245,Ekko,11,4,False,6,6,11,218695,13102,16,41,3157,3152
