champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
39,Irelia,12,4,False,2,7,0,47283,5267,9,107,3153,1036
85,Kennen,4,12,False,0,5,0,51247,5605,10,124,0,1026
166,Akshan,7,4,False,2,6,2,42015,5355,8,112,6673,3134
89,Leona,4,14,False,1,4,3,10669,3660,7,21,3855,2031
64,LeeSin,4,11,False,2,4,1,66043,5134,9,14,6630,2055
236,Lucian,4,3,True,3,3,3,51152,6217,10,104,6671,3158
875,Sett,12,4,True,3,0,5,51461,6840,11,91,6630,3044
429,Kalista,1,4,True,1,4,8,31578,5806,9,110,3047,6673
111,Nautilus,4,14,True,2,0,11,14504,5057,9,25,2055,3190
131,Diana,4,11,True,17,0,6,143690,12732,12,60,4629,3152
13,Ryze,12,4,True,8,3,6,112373,9745,13,141,3070,3165
497,Rakan,4,14,True,1,2,15,17977,6349,11,32,2065,0
54,Malphite,4,12,True,9,6,7,46364,9463,13,68,3102,3152
202,Jhin,4,7,True,3,3,10,90873,9028,13,159,6671,2031
203,Kindred,4,11,True,11,4,6,148835,12135,14,37,3006,3046
22,Ashe,4,7,False,2,9,3,73411,7364,11,169,3006,6673
59,JarvanIV,11,4,False,7,3,7,80341,8781,12,29,6630,0
39,Irelia,12,4,False,0,8,2,76318,6665,11,151,1054,0
85,Kennen,12,4,False,7,8,3,65932,8781,12,121,1055,3152
201,Braum,3,4,False,1,4,4,17360,4883,9,27,3857,2055
131,Diana,4,11,False,6,7,3,128617,10453,13,55,0,3157
133,Quinn,14,4,False,1,10,2,61680,6662,12,109,1053,1083
89,Leona,3,4,False,0,4,6,13588,4953,9,28,3860,3158
115,Ziggs,4,12,False,3,3,3,124120,9306,12,192,3157,3070
157,Yasuo,4,1,False,3,11,0,88479,7981,12,129,3026,0
58,Renekton,14,4,True,9,0,4,147363,12616,16,209,6630,2055
64,LeeSin,11,4,True,5,1,13,136220,10318,13,16,6630,2420
67,Vayne,1,4,True,6,3,4,93167,9679,13,162,2055,2031
526,Rell,4,3,True,2,5,15,21532,7203,12,33,2031,2055
85,Kennen,12,4,True,13,4,6,161530,14457,16,198,4629,3152
58,Renekton,4,12,True,4,11,15,181117,13100,17,192,3053,3047
48,Trundle,4,14,True,1,2,26,28219,10391,15,55,3857,4643
115,Ziggs,12,4,True,4,5,15,256918,14697,17,272,6653,3040
245,Ekko,4,11,True,17,4,10,338525,18301,18,90,3115,3152
24,Jax,4,12,True,10,4,12,200278,16449,18,217,3078,8001
517,Sylas,12,4,False,8,9,4,152461,12746,17,210,3158,6656
150,Gnar,12,4,False,5,6,4,230527,15174,18,270,6632,2420
59,JarvanIV,11,4,False,6,8,12,167158,12609,15,46,6630,1057
145,Kaisa,7,4,False,6,8,6,215148,14689,16,238,3046,6672
497,Rakan,14,4,False,1,5,13,23078,7960,12,42,3860,2065
131,Diana,11,4,False,5,7,6,263554,14258,18,77,2055,3152
91,Talon,4,14,False,13,4,3,145902,15100,17,221,6333,3071
115,Ziggs,12,4,False,3,8,6,244981,14241,17,293,2055,3089
497,Rakan,4,14,False,0,5,10,23808,7317,14,48,3860,2065
164,Camille,12,14,False,3,9,4,185521,13498,17,286,6632,3047
76,Nidalee,4,11,True,11,3,7,273914,16136,18,63,3157,3089
246,Qiyana,14,4,True,4,5,11,58962,10774,15,70,3857,3134
