champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
92,Riven,12,4,True,11,2,6,163444,14448,16,197,6630,2055
115,Ziggs,12,4,True,4,3,6,114586,10362,13,183,0,6653
13,Ryze,4,12,True,5,4,3,133776,9948,14,182,2031,6656
497,Rakan,4,14,True,3,6,12,18458,7273,11,31,2065,3860
2,Olaf,11,4,True,6,3,8,142310,10858,13,32,3133,3047
25,Morgana,4,14,False,2,5,9,13063,6683,10,20,2065,3853
126,Jayce,12,4,False,1,10,4,107496,7939,13,166,3042,3047
523,Aphelios,7,4,False,10,5,5,119780,12337,12,203,6671,3031
48,Trundle,11,4,False,4,4,12,88812,8789,11,36,0,0
517,Sylas,12,4,False,1,5,4,81890,7840,12,166,1056,6656
222,Jinx,1,4,True,9,6,13,187158,14074,14,220,3123,2420
497,Rakan,14,4,True,1,3,19,19019,7307,12,26,2065,3860
166,Akshan,14,4,True,7,6,9,103476,11086,14,161,3006,6673
64,LeeSin,11,4,True,6,4,11,114727,11780,13,12,0,3047
887,Gwen,12,14,True,2,6,4,83699,9345,13,156,2421,3108
76,Nidalee,11,4,False,9,6,5,141647,11284,13,18,3157,0
81,Ezreal,7,4,False,6,6,7,140478,11522,13,192,6632,3042
777,Yone,12,4,False,1,2,5,101909,8577,13,181,6673,3033
89,Leona,14,4,False,1,8,11,21026,6310,11,31,2055,3190
164,Camille,12,14,False,8,3,5,121215,12282,15,187,2420,2031
222,Jinx,7,4,False,6,13,15,214873,14238,16,248,3026,3094
76,Nidalee,11,4,False,16,7,12,226452,17101,17,63,3157,3916
201,Braum,3,4,False,0,3,24,30189,8257,15,44,3857,2055
91,Talon,4,14,False,7,6,8,175124,12285,17,217,0,0
62,MonkeyKing,12,4,False,8,5,10,167569,14793,18,246,3053,6632
34,Anivia,12,4,True,4,6,13,55550,11433,15,75,3853,2033
115,Ziggs,12,4,True,7,10,16,274678,16625,18,269,6653,3157
254,Vi,4,11,True,6,7,9,213978,14392,17,41,3158,6632
133,Quinn,14,4,True,7,6,11,237946,16116,18,260,3095,3091
84,Akali,12,4,True,10,8,9,174681,16244,18,217,3100,3152
67,Vayne,4,7,False,5,7,2,88548,10799,14,190,3086,3153
104,Graves,12,4,False,1,6,2,153228,10213,14,225,1001,6692
126,Jayce,12,4,False,4,5,5,170868,11597,16,238,6692,3042
76,Nidalee,11,4,False,4,5,1,162743,9760,14,42,2031,4630
40,Janna,4,14,False,0,5,4,10496,5797,12,17,2055,4005
497,Rakan,4,14,True,1,1,21,25564,8375,14,36,3860,2065
103,Ahri,14,4,True,5,3,5,118913,11400,15,200,2420,3916
39,Irelia,12,4,True,5,7,1,157983,12028,15,216,6673,3124
234,Viego,11,4,True,11,0,8,206911,13950,16,21,0,1037
360,Samira,7,4,True,6,3,7,156820,12870,15,239,3047,6673
114,Fiora,12,4,True,5,4,2,80354,8304,13,116,6630,3077
76,Nidalee,11,4,True,4,3,7,115169,9543,13,26,3157,1058
875,Sett,12,4,True,4,2,4,128816,10647,14,174,1038,2055
497,Rakan,4,3,True,1,1,8,15793,6725,11,41,3860,2065
110,Varus,4,7,True,5,0,4,111491,10008,13,192,3042,6694
91,Talon,4,14,False,2,3,2,81685,7242,11,130,1055,3047
58,Renekton,12,4,False,5,4,3,106368,10178,13,164,1037,6609
223,TahmKench,4,3,False,0,3,1,14674,4689,9,34,3860,3105
523,Aphelios,7,4,False,0,5,0,109608,7655,12,201,1018,3006
131,Diana,4,11,False,3,4,3,130218,8921,12,46,3916,3157
53,Blitzcrank,14,4,True,1,1,5,9876,4982,8,28,3860,2031
112,Viktor,12,4,True,3,0,2,97638,9259,14,200,2033,2420
234,Viego,11,4,True,4,1,6,124129,9336,12,21,2031,0
64,LeeSin,12,4,True,5,4,1,92405,8411,13,150,1054,6630
429,Kalista,4,7,True,2,3,0,95693,8337,12,194,6673,0
57,Maokai,14,4,False,1,2,1,18357,4611,8,38,3855,2031
81,Ezreal,7,4,False,1,3,1,77632,7811,11,173,3004,1001
236,Lucian,4,12,False,0,1,1,107874,7137,13,200,2033,6692
85,Kennen,12,4,False,3,5,3,80362,8801,12,157,4628,3152
