champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
22,Ashe,7,4,True,6,2,16,132583,13563,15,218,1031,3091
234,Viego,14,4,True,6,6,9,95772,11141,14,137,2420,3153
76,Nidalee,11,4,True,16,4,13,188627,15047,16,26,3135,1058
89,Leona,4,14,True,2,7,16,21071,7737,12,37,3860,3190
876,Lillia,4,12,True,5,4,17,177601,13324,16,226,3108,1056
60,Elise,11,4,False,12,6,9,126047,12165,14,34,3157,3115
223,TahmKench,4,3,False,1,6,12,25432,6280,11,30,2055,3860
429,Kalista,1,4,False,5,8,9,98490,10287,13,177,3006,1057
98,Shen,12,4,False,1,5,15,61162,7586,13,124,2055,3157
91,Talon,14,4,False,4,10,7,125172,10289,14,191,6693,3142
222,Jinx,4,7,True,14,5,9,138489,13865,14,164,2421,6671
104,Graves,11,4,True,12,4,9,224995,14168,16,77,3134,3142
412,Thresh,14,4,True,2,4,29,21181,8695,13,31,2065,0
126,Jayce,12,4,True,11,3,6,157489,12993,16,202,3042,3134
7,Leblanc,12,4,True,4,1,14,100455,10270,15,172,2033,1082
79,Gragas,4,14,False,1,10,8,28714,5792,11,42,3860,1052
523,Aphelios,7,4,False,5,13,2,75683,8920,12,150,6676,2055
234,Viego,11,4,False,7,7,2,122506,10057,13,29,6632,3133
61,Orianna,12,4,False,1,8,7,94545,8162,13,159,2033,3070
54,Malphite,12,4,False,2,5,6,65691,8457,13,127,3076,2033
58,Renekton,12,4,False,4,4,2,98909,8241,12,175,1055,2055
20,Nunu,4,11,False,0,3,4,72462,5643,10,13,0,3152
48,Trundle,3,4,False,2,5,4,13961,4863,9,34,2055,2031
110,Varus,4,7,False,1,5,3,62600,6436,10,129,6691,1036
126,Jayce,12,4,False,3,1,0,92899,8465,12,163,3004,0
54,Malphite,12,4,True,0,4,5,43032,5245,10,95,2033,0
523,Aphelios,4,1,True,7,2,5,102677,11200,11,171,6673,1038
777,Yone,12,4,True,5,0,2,141875,9193,13,177,1054,3033
76,Nidalee,11,4,True,5,2,8,114818,8704,12,14,4636,2031
412,Thresh,14,4,True,1,2,11,17191,5589,9,27,2055,3190
68,Rumble,12,4,True,7,3,14,121653,12884,16,155,1056,4636
64,LeeSin,11,4,True,9,6,14,173872,14820,17,24,6630,3067
43,Karma,14,4,True,2,10,13,35251,8972,13,16,2065,3853
4,TwistedFate,12,4,True,5,3,17,217634,16727,18,243,6656,3157
110,Varus,4,7,True,13,0,9,261102,17366,17,276,3142,3814
126,Jayce,12,4,False,6,6,3,190327,14061,16,236,6692,6694
234,Viego,11,4,False,3,9,8,148451,10221,14,16,2421,3091
115,Ziggs,4,12,False,7,8,6,247732,15829,16,277,6653,4628
142,Zoe,14,4,False,5,4,9,154893,11985,15,226,1082,2055
412,Thresh,14,4,False,1,9,11,15622,7477,12,30,3857,3222
58,Renekton,12,4,False,3,5,7,174531,11697,15,206,6630,3026
201,Braum,3,4,False,2,6,10,20316,7309,13,34,3857,2055
64,LeeSin,4,11,False,10,7,7,162824,13338,16,35,6630,2055
85,Kennen,7,4,False,7,5,6,174664,15500,16,199,3157,3916
523,Aphelios,4,1,False,3,7,6,121139,10545,14,208,6673,0
89,Leona,4,3,True,1,3,14,19674,7994,14,33,3857,3190
69,Cassiopeia,4,12,True,7,6,9,194219,15748,17,250,3040,4629
421,RekSai,11,4,True,8,6,11,166340,13778,16,49,6630,1038
7,Leblanc,12,4,True,5,9,9,107022,11401,14,164,2033,6655
110,Varus,4,7,True,9,1,11,204261,16341,17,268,6693,3035
126,Jayce,12,4,False,7,6,2,185244,14097,16,234,6692,3142
201,Braum,4,3,False,0,5,11,22181,6340,12,34,0,3190
