champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
7,Leblanc,4,12,True,14,2,11,113891,12856,15,171,2033,2421
2,Olaf,4,11,True,8,6,9,134952,11418,14,24,3067,6630
115,Ziggs,12,4,True,5,6,18,117861,11590,13,160,1056,6653
133,Quinn,14,4,True,10,4,7,125628,12036,14,180,3095,2031
89,Leona,14,4,True,4,4,16,19247,7363,11,29,3190,3859
13,Ryze,14,4,False,0,8,9,78776,7314,12,118,6656,2033
22,Ashe,1,4,False,3,11,7,70138,7686,11,123,1057,2031
163,Taliyah,14,4,False,3,7,11,31237,7150,10,26,2421,3853
64,LeeSin,11,4,False,13,8,3,89341,11174,11,26,0,0
164,Camille,4,12,False,3,7,5,66622,8179,12,120,3158,3078
234,Viego,32,4,False,10,15,19,60748,15018,18,29,6632,3111
202,Jhin,4,1,False,13,11,17,88967,16385,18,67,6671,6676
13,Ryze,6,4,False,6,10,22,160247,15269,18,122,3158,4629
45,Veigar,3,4,False,9,15,18,104817,14554,18,48,6655,3089
59,JarvanIV,32,4,False,3,20,27,41595,12244,18,23,3111,6630
84,Akali,32,4,True,10,13,32,50821,14459,18,19,3157,4637
41,Gangplank,32,4,True,19,9,21,113031,16668,18,69,3508,6671
96,KogMaw,1,4,True,25,6,27,155528,19576,18,116,3091,3143
37,Sona,3,4,True,5,6,59,24398,14946,18,11,3114,3504
67,Vayne,1,4,True,12,7,31,104367,16228,18,78,6673,3091
22,Ashe,7,4,True,1,2,7,49620,6511,10,109,2031,6673
85,Kennen,4,12,True,5,1,1,64161,7328,12,126,2031,0
89,Leona,14,4,True,2,3,5,14279,4420,8,25,3117,3105
81,Ezreal,14,4,True,6,2,1,64065,7327,11,123,3070,1036
121,Khazix,11,4,True,5,1,5,81301,6879,10,14,3158,6693
236,Lucian,12,4,False,1,5,0,52679,5027,10,118,2033,3070
498,Xayah,4,1,False,2,4,2,58387,6134,9,124,6671,3133
526,Rell,14,4,False,3,3,3,14965,5075,8,23,3190,1028
517,Sylas,4,12,False,1,4,1,40421,4743,10,100,3802,2031
234,Viego,11,4,False,2,3,1,65974,5458,9,10,1028,2031
89,Leona,14,4,True,0,1,11,10863,4303,8,23,3859,3067
126,Jayce,4,12,True,5,3,3,47869,6691,11,110,1055,3070
163,Taliyah,4,11,True,10,1,4,79639,7823,11,18,6655,1082
517,Sylas,4,12,True,3,1,2,30306,5782,9,93,6656,0
523,Aphelios,1,4,True,3,1,6,55109,6377,10,119,6673,2031
134,Syndra,12,4,False,3,3,1,40358,5486,10,115,2033,1026
22,Ashe,4,1,False,1,5,3,43657,4943,9,108,6670,3006
39,Irelia,4,12,False,1,5,2,51570,5215,9,106,2031,1055
64,LeeSin,11,4,False,2,4,1,56636,5018,8,13,2031,6630
201,Braum,14,4,False,0,4,4,9205,3351,7,20,3067,3855
28,Evelynn,11,4,True,13,3,12,129524,12460,15,14,3152,4630
412,Thresh,4,3,True,3,7,17,25758,8756,13,33,3857,3190
92,Riven,12,4,True,12,5,8,181213,15638,17,202,3111,3142
23,Tryndamere,6,4,True,2,5,12,139890,11778,15,194,3508,6630
110,Varus,7,4,True,12,7,14,150691,14038,15,199,3142,6695
201,Braum,4,14,False,1,9,17,21420,6849,12,24,3857,3190
13,Ryze,12,4,False,8,7,4,176249,13033,15,203,3157,6656
164,Camille,12,4,False,7,11,6,105275,11440,14,147,1055,3053
523,Aphelios,4,1,False,4,8,7,141048,11487,14,211,6673,6676
76,Nidalee,11,4,False,7,7,6,159164,11361,14,28,3157,3135
115,Ziggs,4,12,True,9,1,9,212022,15205,16,253,3041,3040
777,Yone,12,4,True,4,3,7,163570,11375,15,198,6673,3031
412,Thresh,4,14,True,0,5,13,13663,6722,11,25,3857,3190
39,Irelia,4,12,True,3,8,11,170835,11361,15,191,2421,1029
60,Elise,11,4,True,9,4,9,123690,12820,14,25,3157,2031
58,Renekton,4,12,False,8,4,6,151603,13069,15,216,6630,6333
3,Galio,4,12,False,3,7,5,100985,8360,13,157,3157,2055
59,JarvanIV,11,4,False,4,6,12,113197,9547,13,16,6630,2055
523,Aphelios,7,4,False,4,3,7,157722,11705,13,226,6673,6676
201,Braum,3,4,False,2,5,11,18486,6968,11,28,3857,3190
58,Renekton,32,4,False,16,10,22,76039,14722,18,60,6630,3047
81,Ezreal,1,4,False,12,9,21,80930,14149,18,61,3042,6632
112,Viktor,32,4,False,14,9,26,111487,15263,18,58,6655,3020
202,Jhin,7,4,False,9,7,23,55667,13565,17,50,6676,3009
32,Amumu,32,4,False,1,9,27,22748,10732,16,12,3068,3111
64,LeeSin,32,4,True,21,14,14,63312,16133,18,24,6630,3111
267,Nami,13,4,True,1,9,38,17556,11571,18,12,6617,1057
57,Maokai,4,32,True,0,11,24,25733,10804,17,12,3068,2031
15,Sivir,1,4,True,8,8,28,162110,15776,18,169,3508,3042
96,KogMaw,7,4,True,14,10,21,68233,15645,18,26,6653,3040
79,Gragas,11,4,False,3,7,3,75941,7783,11,29,2421,3158
