champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
31,Chogath,4,32,True,3,3,8,19329,6653,11,22,6655,3020
360,Samira,1,4,True,11,4,11,44461,8382,12,37,6673,3184
117,Lulu,3,4,True,1,2,16,2858,6258,11,3,3070,3190
145,Kaisa,1,4,True,6,2,5,17439,7210,11,25,6655,3020
61,Orianna,6,4,True,3,1,12,25935,7017,11,24,6655,3070
235,Senna,1,4,False,2,4,7,12718,6583,10,4,3070,6632
68,Rumble,32,4,False,2,4,6,14224,6194,10,12,3916,1026
13,Ryze,1,4,False,3,5,2,22963,6441,10,26,6656,3070
236,Lucian,7,4,False,2,5,3,17560,6961,10,19,6655,0
222,Jinx,1,4,False,2,6,4,21550,6817,10,33,3006,6672
498,Xayah,1,4,True,11,10,24,114776,16011,18,91,6671,3031
201,Braum,3,4,True,0,11,40,24361,12826,18,13,6662,3047
203,Kindred,1,4,True,24,11,20,179169,18927,18,108,6672,3094
84,Akali,4,32,True,17,15,18,75511,16367,18,47,4633,4637
38,Kassadin,32,4,True,5,14,27,63097,13473,18,32,6656,3040
350,Yuumi,13,3,False,11,8,45,48845,15146,18,17,6655,3089
22,Ashe,1,6,False,15,9,36,146535,17093,18,86,3042,3177
412,Thresh,3,4,False,5,11,43,13931,13086,18,6,8001,3190
266,Aatrox,1,4,False,10,16,20,40990,13777,18,22,3047,3053
236,Lucian,32,4,False,20,13,18,101193,16809,18,88,6671,6694
498,Xayah,1,4,True,20,9,21,140255,19855,18,132,7002,3508
516,Ornn,32,4,True,3,13,29,56282,14364,18,43,7004,3111
96,KogMaw,6,4,True,17,13,33,114517,19074,18,65,7012,3040
7,Leblanc,4,32,True,10,11,22,44795,15513,18,18,3089,3157
86,Garen,4,32,True,14,9,17,60625,17420,18,39,7015,3111
68,Rumble,32,4,False,11,9,24,105170,16563,18,68,1006,1006
9,Fiddlesticks,4,32,False,8,13,22,60457,14322,18,22,3152,3157
103,Ahri,14,4,False,20,9,16,164895,19731,18,123,3040,6655
57,Maokai,32,4,False,7,15,23,40588,13949,18,22,6653,3158
157,Yasuo,1,4,False,9,18,20,133504,16197,18,76,3006,6673
555,Pyke,4,32,False,12,10,5,23839,14934,18,7,3142,3134
203,Kindred,1,4,False,5,5,13,85169,14386,18,106,3184,6673
55,Katarina,32,4,False,5,11,21,38909,13456,18,24,6632,1001
81,Ezreal,1,4,False,9,5,13,121331,16753,18,100,3042,6632
96,KogMaw,13,4,False,7,9,16,74318,13516,18,30,1058,6653
134,Syndra,4,1,True,9,6,16,114678,15080,18,64,3191,3916
143,Zyra,4,3,True,2,10,15,41836,12831,17,29,6653,3020
67,Vayne,4,1,True,13,8,7,106209,16505,18,102,6673,3006
86,Garen,4,32,True,9,6,11,55018,15299,18,71,2051,3111
127,Lissandra,32,4,True,7,8,19,74957,13809,18,31,3112,3157
99,Lux,4,13,True,4,8,51,84278,14733,18,48,6655,3020
10,Kayle,13,4,True,21,9,25,145382,17704,18,96,3042,3184
360,Samira,1,4,True,15,12,23,63227,16259,18,41,6673,3111
31,Chogath,4,6,True,13,11,27,66151,15672,18,29,3105,6662
20,Nunu,32,4,True,10,11,44,85847,15362,18,47,1057,3075
55,Katarina,4,32,False,21,12,19,109841,19225,18,61,3157,3115
236,Lucian,1,4,False,9,16,23,123256,15024,18,93,3508,3111
76,Nidalee,4,14,False,10,7,28,93186,14735,18,41,6655,3020
12,Alistar,32,4,False,4,16,32,29372,12938,18,18,3111,3193
8,Vladimir,6,4,False,7,12,28,105384,14856,18,60,3158,4636
412,Thresh,4,3,True,3,6,40,34238,12899,18,26,1033,8001
26,Zilean,4,3,True,6,7,41,60722,13489,18,35,6653,3158
