champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
78,Poppy,12,4,True,5,2,13,50684,7277,12,92,6662,2033
69,Cassiopeia,7,4,True,15,1,8,108650,12747,13,160,6653,4629
887,Gwen,14,12,True,6,6,3,99633,10367,13,155,1056,3115
234,Viego,11,4,True,9,1,13,78828,9389,11,21,3047,2031
32,Amumu,14,4,True,4,1,21,22200,7181,11,26,3859,3190
2,Olaf,4,12,False,5,9,1,69519,7262,12,113,6630,1057
523,Aphelios,4,7,False,2,8,1,80989,7655,12,148,3006,6671
104,Graves,4,11,False,1,7,1,91565,5856,10,31,3142,2031
497,Rakan,4,14,False,0,8,4,8126,3930,8,19,4642,2031
61,Orianna,12,4,False,3,7,0,75889,7338,12,158,1056,6655
497,Rakan,3,4,False,0,7,10,13878,6178,11,34,2065,3860
131,Diana,4,11,False,8,4,5,183862,12664,14,30,3152,3165
164,Camille,14,12,False,6,8,8,87296,9942,14,141,3047,3074
238,Zed,4,14,False,6,4,6,85423,9318,14,142,6693,2031
115,Ziggs,4,12,False,3,3,4,177479,11436,14,238,6655,1001
92,Riven,4,14,True,7,6,7,131384,12599,15,183,6630,3071
245,Ekko,11,4,True,10,3,7,154678,10875,14,30,1058,3157
110,Varus,4,7,True,4,4,7,129855,10296,13,221,3142,3042
526,Rell,4,14,True,0,4,18,22466,6927,12,44,3860,3190
114,Fiora,12,4,True,5,6,7,100944,11245,15,174,2055,6630
105,Fizz,14,4,True,8,7,9,102296,12306,14,144,2421,3157
421,RekSai,11,4,True,8,4,12,141347,11749,13,25,2055,0
53,Blitzcrank,14,4,True,2,4,22,20491,8179,12,28,3860,1031
126,Jayce,12,4,True,11,3,6,168185,13016,15,165,3134,3123
115,Ziggs,12,4,True,10,5,9,141792,12349,13,177,3157,0
117,Lulu,4,12,False,2,9,5,76325,7443,14,142,2065,2033
517,Sylas,14,4,False,3,8,8,61153,7604,12,106,6656,2420
11,MasterYi,4,11,False,10,6,3,95536,10860,12,38,6691,2031
523,Aphelios,4,7,False,5,8,3,138108,12678,13,208,2420,0
412,Thresh,14,4,False,2,8,10,10991,6675,10,36,3190,3857
79,Gragas,11,4,False,2,10,4,110973,8235,12,28,0,0
51,Caitlyn,4,1,False,3,7,2,145384,10732,13,222,6671,3095
126,Jayce,4,12,False,3,7,6,150394,10595,15,201,6692,3042
432,Bard,3,4,False,3,5,9,27780,8136,13,48,3190,2055
157,Yasuo,14,4,False,6,9,2,171987,12311,15,216,1054,3031
5,XinZhao,11,4,True,8,4,14,158392,12707,15,33,2055,3026
89,Leona,4,14,True,2,4,10,21167,7803,12,40,3860,3190
164,Camille,12,4,True,12,4,6,173145,14783,18,218,3181,1031
13,Ryze,12,4,True,9,1,9,239013,14237,17,228,3157,6656
115,Ziggs,12,4,True,6,4,9,199957,14161,15,225,3165,6653
875,Sett,4,14,False,0,10,7,19012,4566,9,25,3855,2055
164,Camille,12,4,False,1,4,3,56713,6159,12,128,6632,2031
234,Viego,4,11,False,8,6,2,104029,10129,13,41,2422,3153
69,Cassiopeia,4,7,False,7,6,1,74551,9494,10,147,3070,2031
142,Zoe,14,4,False,1,8,1,55533,5932,11,133,2033,6656
81,Ezreal,7,4,True,5,3,15,80018,9417,12,148,0,6632
163,Taliyah,4,11,True,9,5,10,139800,10035,13,39,1082,3916
89,Leona,14,4,True,7,4,18,17713,8297,11,31,3190,3860
91,Talon,14,4,True,11,4,3,75514,9803,13,117,2031,6693
150,Gnar,12,4,True,2,1,2,120054,9352,13,176,1055,2055
92,Riven,12,14,True,7,4,5,97353,9210,13,136,6630,3071
131,Diana,11,4,True,7,2,6,150149,9410,13,23,3152,3157
