champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
360,Samira,1,4,False,7,10,9,65621,11917,15,61,6673,6676
145,Kaisa,4,21,False,12,4,16,67215,13629,17,51,6655,4628
147,Seraphine,3,4,False,2,10,24,29231,10956,16,18,6617,6616
10,Kayle,3,4,False,5,10,18,36743,11578,15,41,3115,3006
99,Lux,3,4,False,5,7,21,67676,12145,17,53,3070,6655
523,Aphelios,4,1,True,7,6,12,62928,12974,17,72,6676,6673
86,Garen,4,32,True,4,5,12,20516,11335,16,22,6630,3006
22,Ashe,13,4,True,8,6,25,68205,13706,18,32,4005,3042
15,Sivir,13,4,True,17,6,16,117499,15431,18,95,3133,3142
53,Blitzcrank,4,32,True,5,8,20,19323,11688,17,10,3068,3158
40,Janna,4,13,True,2,8,45,35436,15835,18,25,6617,3107
69,Cassiopeia,13,4,True,10,14,21,99623,16783,18,84,3157,6653
76,Nidalee,32,4,True,16,10,24,89501,17558,18,50,3135,3089
18,Tristana,4,3,True,27,9,18,193725,22370,18,145,6672,3006
80,Pantheon,32,4,True,16,13,23,63186,17350,18,23,6692,3071
22,Ashe,4,3,False,7,10,29,117215,17126,18,66,4005,3042
96,KogMaw,13,4,False,15,13,17,100332,18740,18,54,6653,3089
81,Ezreal,4,7,False,12,13,15,126877,17325,18,95,3508,3042
127,Lissandra,32,4,False,13,18,22,115732,17199,18,78,3020,3089
122,Darius,32,4,False,7,17,14,54796,14820,18,55,3111,3053
57,Maokai,32,4,False,2,13,40,40259,12304,18,23,3068,3111
202,Jhin,7,4,False,7,10,32,107204,14308,18,58,6671,6676
32,Amumu,32,4,False,7,14,28,27202,13020,18,12,3068,3001
360,Samira,1,4,False,19,11,20,128298,17390,18,110,6673,3036
68,Rumble,1,4,False,16,10,23,101457,16374,18,62,4636,3157
96,KogMaw,4,3,True,18,10,31,110425,17130,18,82,3091,3006
3,Galio,4,32,True,10,10,39,43500,14433,18,23,3068,3111
89,Leona,32,4,True,6,12,38,33568,12899,18,10,3068,3075
98,Shen,32,4,True,12,9,44,67723,15679,18,45,3083,1057
90,Malzahar,4,3,True,12,10,33,93036,16299,18,83,3157,3020
517,Sylas,12,4,False,8,11,8,151205,13195,15,186,3158,6656
48,Trundle,14,4,False,1,10,14,21560,8595,12,33,2055,3190
64,LeeSin,4,11,False,6,12,8,129551,11644,14,23,6630,2421
101,Xerath,12,4,False,5,6,8,190570,12945,15,217,3020,0
236,Lucian,4,12,False,10,10,4,230257,16823,16,199,2420,3072
115,Ziggs,12,4,True,2,5,19,280098,14225,17,274,4628,6653
12,Alistar,4,14,True,3,8,24,26492,10017,14,43,3860,2065
91,Talon,14,4,True,34,6,8,260721,25366,18,233,6630,3142
59,JarvanIV,11,4,True,6,6,30,167654,13622,17,47,3111,6630
98,Shen,12,4,True,4,5,22,119607,13110,17,175,0,8001
777,Yone,1,4,False,9,13,7,94703,13728,18,99,3065,3140
134,Syndra,4,7,False,1,3,7,41021,9983,14,30,6655,2031
35,Shaco,32,4,False,4,11,12,43003,11975,17,24,2031,1026
79,Gragas,32,4,False,7,6,12,70911,12751,17,39,3040,6655
6,Urgot,32,4,False,7,14,10,67589,12663,17,50,3047,6631
90,Malzahar,3,4,True,13,6,13,82388,14604,17,90,6653,4637
40,Janna,3,4,True,3,4,36,38846,12534,18,28,3107,6617
21,MissFortune,4,3,True,12,5,30,85817,15241,18,63,6653,4637
164,Camille,4,32,True,6,8,22,71007,12765,17,30,3053,6632
202,Jhin,4,1,True,13,5,22,87039,14686,18,40,6692,3009
202,Jhin,7,4,True,7,6,7,82450,9725,12,139,3009,6671
76,Nidalee,14,6,True,5,2,4,131781,11004,15,175,1055,6632
68,Rumble,14,4,True,3,5,9,30255,7625,11,18,3853,2421
13,Ryze,12,4,True,7,4,9,161493,12076,14,187,6656,3040
64,LeeSin,11,4,True,5,5,8,83003,8415,12,13,6630,3044
875,Sett,12,4,False,1,3,0,46088,5963,11,109,1054,6029
81,Ezreal,4,7,False,1,6,5,75311,7474,12,130,3078,3042
13,Ryze,12,4,False,7,8,2,94515,10583,12,166,3040,3158
48,Trundle,14,4,False,1,4,12,22030,6295,11,43,2055,3857
121,Khazix,11,4,False,12,7,5,117237,10801,14,11,3142,6693
