champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
92,Riven,4,11,True,8,1,3,85948,8720,11,21,6630,2031
245,Ekko,12,4,True,13,1,2,59046,8486,11,89,3020,2033
32,Amumu,14,4,True,2,3,10,12994,4745,8,18,3859,3190
115,Ziggs,4,12,True,2,1,8,54797,7068,9,114,2031,3020
150,Gnar,12,4,True,3,0,5,49570,6748,11,99,1055,2003
24,Jax,4,12,False,0,4,2,20645,3885,9,71,2033,3057
30,Karthus,4,3,False,4,7,0,35554,5599,9,62,1056,2031
523,Aphelios,7,4,False,0,5,3,43261,4962,9,118,2003,0
89,Leona,14,4,False,1,5,2,11641,3558,7,21,2424,2031
203,Kindred,4,11,False,1,7,2,37494,3888,7,7,3057,2031
104,Graves,4,11,True,5,0,4,138547,9313,12,31,3142,2031
111,Nautilus,4,14,True,0,2,9,19105,5358,10,25,2055,3190
203,Kindred,7,4,True,9,2,4,87728,10496,12,142,3006,6673
19,Warwick,12,4,True,11,2,1,68232,9696,13,115,1055,2031
7,Leblanc,12,4,True,3,1,5,65773,7855,12,153,1056,1058
517,Sylas,12,4,False,2,5,2,54079,6013,10,120,1056,6656
81,Ezreal,7,4,False,1,6,3,54326,5885,10,126,3070,2031
432,Bard,3,4,False,1,4,2,11489,4254,8,10,3067,3853
131,Diana,11,4,False,1,6,2,82045,6480,10,27,3020,0
164,Camille,12,14,False,2,7,1,56279,6033,10,94,1054,2031
78,Poppy,12,4,True,4,3,7,64518,7786,13,111,1055,2033
76,Nidalee,11,4,True,11,3,9,125480,10429,13,27,2031,3157
412,Thresh,4,14,True,3,3,17,18611,6931,11,32,3855,3190
79,Gragas,12,4,True,6,0,9,117173,10531,14,180,1056,2055
110,Varus,4,7,True,6,5,7,82386,9733,12,157,6691,3004
517,Sylas,12,4,False,2,6,1,74984,7242,13,150,0,0
53,Blitzcrank,14,4,False,3,5,5,14369,5399,9,25,3190,3855
22,Ashe,7,4,False,4,7,4,66270,8316,10,146,0,0
91,Talon,14,4,False,1,7,2,65151,6273,11,129,3142,3134
35,Shaco,11,14,False,4,5,3,110462,7988,12,19,6691,0
245,Ekko,11,4,False,0,6,2,58563,4312,8,12,2422,2031
58,Renekton,4,12,False,1,3,0,61002,5178,10,121,1036,2031
223,TahmKench,4,14,False,2,3,1,12941,3971,7,35,3859,1033
22,Ashe,7,4,False,1,4,2,43989,5646,9,119,2031,2055
126,Jayce,12,4,False,0,4,0,57821,4987,10,120,6692,0
412,Thresh,3,4,True,2,1,9,17921,5403,9,27,2065,3857
76,Nidalee,11,4,True,4,0,10,108001,7349,11,23,1082,4636
523,Aphelios,4,7,True,7,2,5,76590,9235,10,134,6673,2031
117,Lulu,12,4,True,4,1,5,38119,5755,10,77,2033,2065
78,Poppy,12,4,True,3,0,1,53143,5914,11,116,3047,2033
61,Orianna,12,4,False,3,3,0,106118,8313,13,188,2033,6655
78,Poppy,12,4,False,1,2,3,68597,6508,12,135,1054,2033
89,Leona,4,14,False,0,4,5,12313,4878,9,28,3860,3190
523,Aphelios,7,4,False,3,7,0,99948,8596,12,169,3006,1055
79,Gragas,11,4,False,1,5,2,81957,6018,10,7,3158,6656
112,Viktor,4,12,True,4,0,5,111987,9809,14,177,2033,2055
