champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
112,Viktor,6,4,False,20,8,30,130034,18064,18,57,6655,3157
68,Rumble,32,4,False,11,14,26,90232,15806,18,65,3157,3020
21,MissFortune,3,4,False,6,12,30,67977,14152,18,48,4637,3165
32,Amumu,32,4,False,3,14,30,41887,13610,18,32,1057,1011
110,Varus,4,32,False,23,10,25,142267,19688,18,99,3042,6691
24,Jax,32,4,True,18,14,15,61929,17849,18,35,3140,6632
266,Aatrox,4,32,True,15,13,23,87479,17401,18,72,3111,6630
30,Karthus,32,4,True,9,17,30,101279,16240,18,67,4637,6653
412,Thresh,32,4,True,2,9,45,29228,14461,18,19,3083,2065
245,Ekko,4,32,True,14,10,24,99321,17671,18,79,3152,4629
412,Thresh,4,14,False,1,6,16,16134,7399,11,38,3857,3190
236,Lucian,12,4,False,3,10,4,125045,10103,14,187,6671,3508
523,Aphelios,7,4,False,8,5,5,134811,12038,13,214,0,6676
61,Orianna,12,4,False,6,5,5,153303,12436,16,239,3040,6655
76,Nidalee,4,11,False,11,4,8,162502,11895,15,36,3165,4636
104,Graves,12,4,True,12,1,2,251605,17332,18,258,3031,2420
126,Jayce,12,4,True,6,10,3,162183,12492,16,205,1055,6695
32,Amumu,4,14,True,4,6,15,32187,8875,14,38,0,3190
131,Diana,11,4,True,4,5,9,150073,10677,14,39,3020,3157
69,Cassiopeia,7,4,True,4,7,9,120416,11991,14,190,4632,2055
164,Camille,12,14,False,7,3,6,133227,11602,14,164,3053,1029
89,Leona,4,14,False,1,8,6,19648,6294,10,44,3860,3190
234,Viego,11,4,False,7,4,6,115140,10428,12,19,2055,3053
110,Varus,7,4,False,1,3,2,134396,9687,13,214,6691,3042
517,Sylas,14,4,False,0,8,3,72680,6588,12,124,1056,3157
76,Nidalee,4,11,True,10,2,11,159790,13215,14,19,1058,3165
26,Zilean,14,4,True,1,2,17,11987,6916,12,12,3853,2065
81,Ezreal,1,4,True,5,1,12,159821,11314,14,201,1055,3078
91,Talon,4,14,True,8,3,10,114689,11189,14,172,6630,2031
92,Riven,12,4,True,2,9,9,93959,8820,14,152,6630,3142
54,Malphite,12,4,True,2,3,7,34219,5705,11,85,6662,2033
