champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
412,Thresh,3,4,False,2,8,4,13457,4684,8,27,3855,2031
245,Ekko,4,11,False,2,6,3,76894,5732,10,20,1082,1052
238,Zed,14,4,False,5,8,0,57910,6655,10,112,1055,0
150,Gnar,12,4,False,0,8,3,56549,5114,10,115,6029,2031
523,Aphelios,7,4,False,2,7,1,57244,6442,9,113,6673,2031
145,Kaisa,7,4,True,4,3,12,76147,8762,11,135,3006,2055
64,LeeSin,11,4,True,12,1,4,125878,11181,13,62,6630,2420
85,Kennen,12,4,True,9,4,9,79814,9415,12,121,1055,3152
53,Blitzcrank,14,4,True,3,2,12,14897,5440,9,17,2065,3859
875,Sett,4,12,True,9,1,9,95285,11668,13,139,1011,3077
110,Varus,7,4,False,3,2,2,46222,6131,8,127,3070,3158
142,Zoe,14,4,False,1,6,0,47496,4628,9,108,3020,3802
412,Thresh,4,3,False,2,1,3,14810,4376,8,34,3222,3860
104,Graves,4,11,False,0,6,3,84380,4966,9,14,0,0
92,Riven,12,4,False,1,4,0,39394,4466,10,91,3158,2031
22,Ashe,1,4,True,1,3,1,40871,5658,9,132,6673,2031
64,LeeSin,11,4,True,9,1,3,90417,8838,11,22,6630,0
201,Braum,14,4,True,0,2,2,12902,3596,8,25,3855,2031
85,Kennen,12,4,True,3,1,1,58550,6440,11,120,2031,1055
114,Fiora,4,14,True,6,0,5,55876,8869,12,101,3074,6630
497,Rakan,14,4,False,1,4,15,19646,6971,11,33,2065,3158
104,Graves,12,4,False,4,9,6,149406,11777,15,201,1037,3123
64,LeeSin,12,4,False,1,6,5,126528,8656,14,204,3053,6630
498,Xayah,4,7,False,9,7,6,157040,14438,14,225,3508,6672
76,Nidalee,4,11,False,4,7,8,151181,9183,13,22,4636,3102
81,Ezreal,7,4,True,8,3,11,176416,13529,15,191,3078,3042
39,Irelia,4,12,True,5,6,7,157377,11884,16,204,3133,6673
245,Ekko,11,4,True,10,2,13,149708,12509,15,32,3152,3135
13,Ryze,12,4,True,10,2,9,240164,15070,17,249,3089,6656
526,Rell,14,4,True,0,6,20,16804,7262,12,38,3860,3190
117,Lulu,14,4,True,2,5,23,26693,9110,14,16,3853,2065
234,Viego,11,4,True,3,8,10,151325,10325,15,36,1028,2031
55,Katarina,14,12,True,19,6,8,166028,16339,16,174,3157,3041
523,Aphelios,7,4,True,5,2,15,168268,12702,15,200,6671,6676
64,LeeSin,12,4,True,4,7,9,146798,11325,15,177,2055,1055
432,Bard,3,4,False,3,6,14,25814,7532,12,41,3860,2055
81,Ezreal,7,4,False,3,5,9,131832,10152,14,184,1055,3078
58,Renekton,4,12,False,9,6,6,169924,13435,15,193,6630,2421
76,Nidalee,4,11,False,6,10,11,147406,10626,14,31,3165,2055
14,Sion,12,4,False,7,6,7,112014,10253,14,171,6662,3075
111,Nautilus,14,4,False,2,8,23,27445,9724,15,39,3860,3190
4,TwistedFate,4,12,False,8,4,18,165582,15194,17,197,3157,6656
58,Renekton,12,4,False,7,6,16,246916,17605,18,278,3111,3026
48,Trundle,4,11,False,6,3,23,174387,14064,17,22,3067,3157
134,Syndra,4,7,False,13,8,12,340503,20997,18,370,6655,3089
517,Sylas,4,12,True,10,5,13,284641,18548,18,288,3157,6656
523,Aphelios,4,1,True,5,9,11,332490,18334,18,300,3031,6673
412,Thresh,14,4,True,1,9,15,20921,10455,15,54,2065,3222
85,Kennen,12,4,True,1,8,15,156207,13651,18,233,3152,0
64,LeeSin,4,11,True,12,5,11,278881,19688,18,49,6333,3026
58,Renekton,4,12,True,4,11,15,181117,13100,17,192,3053,3047
48,Trundle,4,14,True,1,2,26,28219,10391,15,55,3857,4643
115,Ziggs,12,4,True,4,5,15,256918,14697,17,272,6653,3040
245,Ekko,4,11,True,17,4,10,338525,18301,18,90,3115,3152
24,Jax,4,12,True,10,4,12,200278,16449,18,217,3078,8001
517,Sylas,12,4,False,8,9,4,152461,12746,17,210,3158,6656
150,Gnar,12,4,False,5,6,4,230527,15174,18,270,6632,2420
59,JarvanIV,11,4,False,6,8,12,167158,12609,15,46,6630,1057
145,Kaisa,7,4,False,6,8,6,215148,14689,16,238,3046,6672
497,Rakan,14,4,False,1,5,13,23078,7960,12,42,3860,2065
89,Leona,4,14,False,2,12,16,16072,7909,13,34,2055,3190
110,Varus,4,7,False,1,13,9,104788,9601,13,171,0,3142
14,Sion,12,4,False,6,10,12,122296,12787,16,175,1033,6664
58,Renekton,4,12,False,18,7,10,206605,18368,17,223,3047,3143
30,Karthus,11,3,False,14,9,14,195767,15327,16,50,3135,3157
150,Gnar,12,4,True,9,10,18,230463,14727,18,225,3071,1033
523,Aphelios,1,4,True,7,10,12,170636,13969,15,179,6673,1038
166,Akshan,14,4,True,11,4,18,198223,17161,17,219,3047,3091
526,Rell,14,4,True,2,11,22,25165,8752,13,28,3860,3190
76,Nidalee,11,4,True,22,6,6,206846,17687,17,43,4636,2420
115,Ziggs,4,12,False,4,8,3,85522,7919,11,137,6653,4628
517,Sylas,12,4,False,4,10,2,50015,7351,11,91,3158,6656
32,Amumu,11,4,False,2,6,6,68040,6608,11,16,3158,3024
48,Trundle,3,4,False,2,8,5,12107,5703,10,20,3855,2031
166,Akshan,12,4,False,1,7,0,24552,4776,9,47,6671,2031
85,Kennen,4,12,True,11,4,7,99661,11781,13,143,3152,2031
875,Sett,12,4,True,8,2,8,71984,10283,12,97,2421,6630
145,Kaisa,7,4,True,10,2,9,116993,11187,12,164,6676,1055
