champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
110,Varus,7,4,True,5,2,9,77630,9528,12,156,3142,2031
23,Tryndamere,6,4,True,12,1,4,121241,12483,14,165,6630,3006
57,Maokai,14,4,True,1,3,8,18295,5257,9,22,3857,2031
126,Jayce,4,12,True,6,5,7,105812,10135,13,168,0,3042
154,Zac,11,4,True,4,0,13,117631,9546,13,19,2031,0
79,Gragas,11,4,False,5,5,4,79791,6946,11,9,3158,2031
157,Yasuo,14,4,False,1,7,3,99930,7548,12,159,6673,3086
201,Braum,3,4,False,0,4,8,15807,4513,9,25,3857,3067
119,Draven,7,4,False,3,4,5,83188,8304,11,159,2031,6672
164,Camille,12,4,False,2,8,1,47538,6981,11,112,2055,0
110,Varus,7,4,True,5,2,9,77630,9528,12,156,3142,2031
23,Tryndamere,6,4,True,12,1,4,121241,12483,14,165,6630,3006
57,Maokai,14,4,True,1,3,8,18295,5257,9,22,3857,2031
126,Jayce,4,12,True,6,5,7,105812,10135,13,168,0,3042
154,Zac,11,4,True,4,0,13,117631,9546,13,19,2031,0
79,Gragas,11,4,False,5,5,4,79791,6946,11,9,3158,2031
157,Yasuo,14,4,False,1,7,3,99930,7548,12,159,6673,3086
201,Braum,3,4,False,0,4,8,15807,4513,9,25,3857,3067
119,Draven,7,4,False,3,4,5,83188,8304,11,159,2031,6672
164,Camille,12,4,False,2,8,1,47538,6981,11,112,2055,0
76,Nidalee,11,4,False,8,7,6,162065,11821,14,26,4636,3108
240,Kled,14,4,False,3,7,5,138486,11316,15,193,3077,3053
89,Leona,14,4,False,2,7,13,21252,7788,12,33,3860,3190
203,Kindred,7,4,False,4,7,2,133522,11578,14,205,2031,6673
85,Kennen,4,12,False,4,10,9,150759,11891,15,192,2421,0
81,Ezreal,1,4,True,3,1,9,158384,11544,16,215,1055,3042
246,Qiyana,14,4,True,6,8,12,115094,12195,15,167,6694,6693
201,Braum,4,14,True,3,1,23,28321,9803,15,59,3190,3857
164,Camille,4,12,True,9,7,9,151355,14117,17,166,3074,2421
68,Rumble,11,4,True,17,4,13,204274,15809,17,54,3152,3102
234,Viego,11,4,False,8,5,5,191577,13454,15,82,3111,6632
203,Kindred,7,4,False,5,3,4,198670,13782,15,222,1038,3091
25,Morgana,14,4,False,2,10,10,20149,7484,12,22,4642,3157
54,Malphite,12,4,False,2,9,4,110298,10326,14,155,1056,3152
43,Karma,12,4,False,2,7,9,105359,8635,14,137,2033,4629
412,Thresh,14,4,True,0,4,20,17840,8680,14,29,3857,2065
245,Ekko,4,11,True,6,5,9,196433,12760,16,27,3157,3020
85,Kennen,4,12,True,9,3,7,144683,14331,17,210,3152,3020
236,Lucian,14,4,True,12,5,10,171294,14443,16,165,3508,2421
222,Jinx,4,7,True,7,2,9,227509,16173,16,271,2421,3031
875,Sett,14,4,True,1,2,4,31433,5674,10,41,6630,2031
64,LeeSin,11,4,True,6,4,6,125897,9577,13,27,6630,0
103,Ahri,14,4,True,7,2,6,92669,10074,14,145,6656,0
203,Kindred,7,4,True,2,0,4,75687,8853,13,153,2031,6673
126,Jayce,12,4,True,6,1,8,139178,12327,15,187,3158,6692
201,Braum,4,3,False,0,5,3,21601,4809,9,29,2055,3190
157,Yasuo,14,4,False,5,6,0,143638,9933,14,209,1055,3031
164,Camille,12,4,False,0,5,2,69393,7213,12,152,3133,1055
110,Varus,7,4,False,2,1,1,93236,9118,12,213,6677,0
154,Zac,11,4,False,2,5,2,75866,6382,10,21,6662,1011
55,Katarina,12,14,False,5,6,1,95126,9234,13,160,1082,3115
78,Poppy,4,11,False,3,3,3,73401,6802,11,23,0,3066
203,Kindred,7,4,False,2,6,4,87511,8515,11,151,2031,3091
875,Sett,4,12,False,3,9,4,86935,9015,13,135,3153,6631
412,Thresh,4,14,False,1,6,5,18569,5609,10,32,3158,2031
166,Akshan,14,4,True,1,6,8,96411,9110,13,163,2031,2055
134,Syndra,12,4,True,5,2,10,154146,12910,14,197,6653,0
76,Nidalee,11,4,True,10,0,6,151768,12423,15,28,3157,4628
777,Yone,12,4,True,10,4,8,194298,13889,16,201,3026,1055
48,Trundle,4,14,True,4,3,13,23481,8139,12,35,2055,3190
79,Gragas,11,4,False,2,8,8,129870,9145,14,29,3020,3157
236,Lucian,12,4,False,6,7,6,156570,12664,16,232,3031,0
12,Alistar,14,4,False,1,9,15,23700,7638,12,25,3860,0
36,DrMundo,12,4,False,12,6,1,163981,14238,16,186,3143,1057
110,Varus,7,4,False,10,9,6,144540,13432,15,202,3009,3042
58,Renekton,12,4,True,4,8,6,115256,11652,15,165,6630,3143
203,Kindred,7,4,True,9,5,11,202114,16459,17,216,3031,6673
41,Gangplank,4,12,True,7,7,10,238108,15413,17,250,0,6609
76,Nidalee,11,4,True,18,3,12,262087,17703,18,48,3157,3089
74,Heimerdinger,14,4,True,1,8,16,56417,9101,13,38,3853,6656
412,Thresh,3,4,False,1,9,19,18427,8803,15,45,3857,2055
222,Jinx,4,7,False,4,7,8,187541,13543,16,225,3006,0
92,Riven,14,12,False,10,6,9,191379,16525,18,224,3047,3142
246,Qiyana,14,4,False,8,10,7,123563,11894,16,166,3134,3142
245,Ekko,11,4,False,9,7,11,225066,14204,16,54,3165,3152
203,Kindred,3,4,True,9,7,11,236649,16026,16,234,3031,1055
