champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
64,LeeSin,11,4,False,3,6,1,70769,5494,9,11,6630,1037
15,Sivir,4,12,False,3,6,3,74000,7729,9,136,3142,6691
887,Gwen,4,12,False,0,3,1,59018,5281,11,127,1054,1042
92,Riven,12,14,False,0,5,2,62915,5428,10,112,6630,1055
48,Trundle,14,4,False,2,5,3,17319,5460,8,31,3190,3067
4,TwistedFate,4,12,True,8,0,5,75123,9160,12,129,2423,6656
104,Graves,4,11,True,5,2,7,112462,8401,12,26,3142,1053
164,Camille,12,14,True,4,3,5,49207,6447,11,86,1036,1055
115,Ziggs,4,12,True,5,2,8,61292,7502,10,114,3145,6653
497,Rakan,14,4,True,3,1,9,15001,5334,9,32,2031,3158
64,LeeSin,11,4,False,6,1,2,133796,9213,12,26,6630,0
412,Thresh,4,14,False,0,9,3,15046,4606,9,27,3857,1033
142,Zoe,14,4,False,1,3,2,95322,7928,13,185,2033,1056
164,Camille,14,12,False,3,7,2,78943,7994,13,147,1055,6632
523,Aphelios,1,4,False,2,8,3,77971,7866,11,155,3006,6673
92,Riven,12,4,True,7,3,3,116469,11162,15,182,3123,6333
76,Nidalee,4,11,True,3,3,10,136319,9042,14,14,2031,0
80,Pantheon,4,12,True,6,2,5,101857,8767,13,136,3044,6692
89,Leona,14,4,True,5,1,13,22090,7403,11,29,3190,0
110,Varus,1,4,True,7,3,6,91861,9618,13,171,3158,3070
111,Nautilus,14,4,False,2,8,23,27445,9724,15,39,3860,3190
4,TwistedFate,4,12,False,8,4,18,165582,15194,17,197,3157,6656
58,Renekton,12,4,False,7,6,16,246916,17605,18,278,3111,3026
48,Trundle,4,11,False,6,3,23,174387,14064,17,22,3067,3157
134,Syndra,4,7,False,13,8,12,340503,20997,18,370,6655,3089
517,Sylas,4,12,True,10,5,13,284641,18548,18,288,3157,6656
523,Aphelios,4,1,True,5,9,11,332490,18334,18,300,3031,6673
412,Thresh,14,4,True,1,9,15,20921,10455,15,54,2065,3222
85,Kennen,12,4,True,1,8,15,156207,13651,18,233,3152,0
64,LeeSin,4,11,True,12,5,11,278881,19688,18,49,6333,3026
111,Nautilus,14,4,False,0,5,4,18025,3528,8,28,2031,3117
4,TwistedFate,4,12,False,0,6,4,42244,4946,9,96,2424,1026
58,Renekton,12,4,False,2,8,0,48098,5498,9,85,1036,6630
110,Varus,7,4,False,5,7,1,58049,7410,10,136,3133,0
5,XinZhao,4,11,False,1,5,3,59109,4688,9,9,2031,0
164,Camille,14,12,True,7,1,7,80359,9038,12,111,1054,3074
234,Viego,11,4,True,4,1,12,89033,7609,11,13,6632,3047
555,Pyke,4,14,True,4,2,7,13836,5346,9,38,3855,2055
115,Ziggs,4,12,True,4,2,8,79599,8484,11,116,3020,2031
517,Sylas,12,4,True,11,3,2,71047,8653,12,126,6656,3157
432,Bard,14,4,True,1,1,16,24408,7947,14,28,3853,2055
64,LeeSin,11,4,True,8,6,9,174793,11989,15,29,6692,3814
81,Ezreal,7,4,True,6,1,4,162100,13718,16,238,3158,6632
4,TwistedFate,4,12,True,5,7,7,101557,10817,14,157,2424,6656
24,Jax,4,12,True,7,5,4,182924,14497,17,238,3053,3047
32,Amumu,4,14,False,0,4,9,31486,7416,12,45,3860,0
134,Syndra,12,4,False,3,4,6,151181,11577,15,242,6655,3040
523,Aphelios,4,7,False,5,7,2,135528,12858,15,232,3006,6671
104,Graves,11,4,False,6,4,3,192327,11472,15,41,3814,6694
164,Camille,14,12,False,6,8,3,120848,11883,15,184,6632,3053
202,Jhin,4,1,False,2,6,5,80023,7414,12,149,6671,1018
875,Sett,14,4,False,2,8,5,19510,5111,9,32,3855,2031
131,Diana,11,4,False,7,8,1,106178,9972,12,25,3152,1082
157,Yasuo,14,4,False,0,6,3,100939,6657,12,163,6673,3086
164,Camille,14,12,False,1,8,3,64424,6626,12,118,3047,6632
80,Pantheon,4,14,True,6,1,4,71771,8497,13,121,3067,6630
89,Leona,14,4,True,5,2,15,13005,6989,11,28,3860,2055
126,Jayce,4,12,True,10,2,8,124525,12106,14,183,2031,6692
110,Varus,4,7,True,5,6,18,66735,9067,12,127,6691,3004
245,Ekko,11,4,True,10,1,15,150378,11718,14,39,3152,2055
134,Syndra,12,4,False,1,3,5,131211,9097,14,224,1056,3020
126,Jayce,12,4,False,3,9,2,128600,9957,14,182,6692,3142
875,Sett,4,14,False,3,7,1,28870,6385,10,33,3857,3009
235,Senna,4,7,False,2,8,4,68887,7723,12,139,1055,2055
76,Nidalee,11,4,False,4,4,2,107624,8084,12,25,4636,3157
115,Ziggs,12,4,True,6,4,11,184722,13700,15,223,6653,3020
131,Diana,11,4,True,12,3,7,168423,12905,15,32,3152,3102
223,TahmKench,4,14,True,4,2,12,25160,7902,11,27,0,8001
80,Pantheon,4,12,True,5,1,5,89431,9325,13,137,2421,3053
133,Quinn,14,4,True,4,3,5,107079,9731,15,171,0,2031
429,Kalista,7,4,True,6,2,4,96387,10526,13,197,3006,6673
80,Pantheon,4,14,True,6,2,11,75472,9166,13,132,2420,6630
48,Trundle,4,14,True,1,2,11,14829,6115,11,30,3190,2031
164,Camille,14,12,True,10,2,7,128767,13201,15,182,3074,0
76,Nidalee,11,4,True,3,3,15,153088,9318,14,17,4636,3191
412,Thresh,4,3,False,1,3,5,12933,5056,9,30,3190,3860
64,LeeSin,11,4,False,1,7,3,108806,7168,11,13,6630,2055
234,Viego,12,4,False,3,5,5,89670,8970,12,169,3053,0
523,Aphelios,7,4,False,3,5,2,79164,8464,11,173,6671,0
887,Gwen,14,12,False,3,6,3,91481,8687,12,149,3115,4633
4,TwistedFate,4,12,False,4,3,14,129738,10934,14,173,3157,6656
39,Irelia,12,4,False,8,9,3,121659,10934,14,179,1057,3051
201,Braum,4,3,False,0,6,12,20381,5747,10,25,2055,3190
234,Viego,11,4,False,11,6,5,111693,11099,13,23,6632,3044
67,Vayne,7,4,False,4,5,1,75088,8626,11,163,3006,6673
497,Rakan,4,14,True,2,2,17,18108,7769,13,38,3860,2065
360,Samira,7,4,True,10,5,7,155135,13951,14,223,6673,1029
254,Vi,4,11,True,5,2,8,154990,10749,15,18,6632,0
104,Graves,14,4,True,2,12,11,125839,10252,13,156,6692,1055
887,Gwen,14,12,True,9,6,7,160224,14041,16,185,3157,4633
4,TwistedFate,4,12,False,2,2,5,79378,7578,12,143,2424,6656
517,Sylas,12,4,False,2,8,4,74083,7696,12,139,3108,6656
523,Aphelios,4,7,False,4,7,4,62728,8851,10,136,2055,0
234,Viego,11,4,False,8,4,3,95854,9600,12,33,3053,3051
412,Thresh,4,14,False,0,3,11,16833,5272,10,34,2055,3190
145,Kaisa,7,4,True,8,4,6,109538,11473,13,195,2055,1018
254,Vi,4,11,True,6,2,4,130659,8894,13,10,2031,6632
246,Qiyana,14,4,True,2,3,5,100426,8747,13,160,1036,2031
53,Blitzcrank,14,4,True,0,4,12,15113,5968,11,25,3860,2031
13,Ryze,12,4,True,8,3,4,142978,10857,15,182,6656,0
