champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
114,Fiora,12,4,True,9,2,3,133552,13547,16,217,6630,3053
76,Nidalee,11,4,True,6,1,11,171012,12720,15,41,4628,3041
875,Sett,12,4,True,2,3,1,127127,10092,15,225,3047,3053
117,Lulu,4,14,True,0,3,12,21286,7061,12,16,2065,3853
81,Ezreal,4,7,True,6,4,7,171839,11878,15,196,3078,2420
236,Lucian,14,4,False,6,7,4,156003,11670,13,228,6671,3031
41,Gangplank,12,4,False,0,4,6,142528,9728,15,209,2033,3078
91,Talon,4,14,False,1,4,2,106406,8098,14,183,1055,3067
350,Yuumi,7,3,False,3,4,7,17828,7356,11,8,1082,3853
30,Karthus,4,11,False,3,4,4,156027,8749,13,25,6653,3020
24,Jax,12,4,False,8,5,2,104597,12094,15,144,3111,2033
117,Lulu,4,3,False,0,10,12,10609,6518,11,13,2065,1057
4,TwistedFate,12,4,False,2,12,6,65820,7314,12,105,6656,3916
22,Ashe,1,4,False,7,10,4,137523,11728,13,185,3006,2055
30,Karthus,3,11,False,3,13,8,149586,9538,14,37,3157,3020
89,Leona,4,14,True,2,3,25,23878,9108,13,34,8001,3857
134,Syndra,12,4,True,4,5,15,109584,11276,16,157,6655,2055
59,JarvanIV,4,11,True,18,3,21,199226,16515,16,26,8001,3105
85,Kennen,12,4,True,4,4,9,145380,11947,16,170,3152,3157
110,Varus,7,4,True,22,5,9,171963,17324,16,208,3042,3814
412,Thresh,4,14,False,1,6,22,19303,7495,13,34,2055,3857
64,LeeSin,11,4,False,8,9,10,106259,11059,14,22,2055,6630
133,Quinn,14,4,False,11,6,12,146985,14250,16,185,3095,3091
142,Zoe,4,14,False,4,9,13,87152,8690,15,116,2033,3157
18,Tristana,7,4,False,10,6,13,195780,14422,15,198,0,3026
126,Jayce,12,4,True,15,8,8,157179,14719,15,167,3042,3142
202,Jhin,4,3,True,6,6,19,151942,13538,15,199,3142,6692
164,Camille,4,14,True,6,9,16,47720,10453,13,54,3077,1036
163,Taliyah,11,4,True,6,6,17,124321,10423,14,27,6656,0
777,Yone,14,4,True,3,5,9,183657,12467,16,221,6671,3072
89,Leona,3,4,True,0,5,15,23363,8381,13,41,3190,3860
64,LeeSin,4,11,True,5,5,10,195649,12491,16,45,6630,3071
110,Varus,7,4,True,10,6,9,237467,17515,17,297,3142,1038
38,Kassadin,14,4,True,8,7,6,211023,15263,17,223,6655,3040
126,Jayce,12,4,True,10,4,5,218916,15600,18,221,3142,6694
517,Sylas,12,4,False,12,4,4,219043,17459,18,248,6656,3157
48,Trundle,11,4,False,5,5,11,173627,13219,17,61,3047,2055
51,Caitlyn,4,1,False,4,8,6,215654,14249,15,254,3031,3026
85,Kennen,12,4,False,4,10,5,183823,13624,17,273,1058,3152
412,Thresh,4,14,False,2,6,9,18297,8300,13,32,3107,3857
69,Cassiopeia,1,4,True,2,7,7,127322,9853,15,169,6655,3070
58,Renekton,12,4,True,7,3,8,161238,13652,16,212,3143,6630
234,Viego,12,4,True,12,3,7,171081,15169,17,208,6632,2421
131,Diana,11,4,True,14,4,11,204438,15294,17,65,3152,3157
412,Thresh,4,14,True,5,4,21,21261,9258,14,31,3107,3190
157,Yasuo,14,4,False,4,9,2,192775,11198,16,218,1055,3031
89,Leona,4,14,False,0,6,9,20214,6489,12,39,3067,3857
76,Nidalee,4,11,False,3,10,3,141617,9469,13,27,4636,0
134,Syndra,4,7,False,7,7,4,120586,12407,14,192,6653,3102
236,Lucian,12,4,False,7,9,3,186067,14668,16,250,3158,6671
201,Braum,4,14,False,1,5,9,20037,7952,13,36,3190,3860
131,Diana,11,4,False,5,8,5,187455,11728,15,15,3165,3152
523,Aphelios,4,7,False,8,5,3,263434,16935,17,290,6673,3031
58,Renekton,12,4,False,2,5,3,125607,10560,16,192,6630,3026
39,Irelia,4,12,False,1,8,4,187656,13207,16,282,3153,3133
7,Leblanc,14,4,True,6,3,13,145686,13866,16,197,3191,2421
24,Jax,4,12,True,7,2,7,264226,16818,18,283,3026,3153
110,Varus,1,4,True,7,4,8,193927,14156,16,257,3009,6691
234,Viego,11,4,True,9,6,10,155415,12965,15,33,6632,3053
117,Lulu,4,3,True,2,2,18,19648,9380,14,26,3107,3853
58,Renekton,14,4,True,4,2,3,91382,8677,13,155,6630,2031
523,Aphelios,7,4,True,3,6,6,88599,8948,12,158,1037,0
234,Viego,11,4,True,6,2,6,108913,8859,12,28,6632,2055
13,Ryze,4,12,True,4,0,3,179044,11720,15,182,3040,2421
875,Sett,14,4,True,4,3,12,25747,7480,11,48,3857,6664
22,Ashe,4,7,False,7,6,5,93106,9770,12,174,6672,2003
201,Braum,4,14,False,0,6,6,13887,4917,9,27,0,3857
98,Shen,12,4,False,1,2,1,40732,6023,12,124,1028,0
245,Ekko,11,4,False,4,4,1,111894,7741,12,28,2031,3152
39,Irelia,4,12,False,1,3,2,106077,7886,13,183,6632,3153
91,Talon,4,14,False,8,5,9,94717,10907,14,146,1055,3076
115,Ziggs,4,12,False,10,5,5,114522,11959,14,170,3135,2055
76,Nidalee,11,4,False,6,4,6,156421,10112,13,13,3157,1058
80,Pantheon,14,4,False,3,7,12,39618,7370,12,55,3857,2031
58,Renekton,12,4,False,6,9,6,115293,11030,15,180,1055,3053
39,Irelia,12,4,True,2,7,9,154643,10917,15,223,3057,6630
