champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
107,Rengar,11,4,False,8,8,3,130918,10815,14,31,3508,6692
120,Hecarim,12,14,False,5,8,7,111016,9517,14,136,2033,1033
222,Jinx,7,4,False,4,6,7,92079,9372,14,170,6671,3086
7,Leblanc,4,14,False,9,3,4,109528,11537,15,187,2033,6655
432,Bard,4,3,False,3,12,10,13449,7917,12,12,3853,3190
145,Kaisa,4,7,True,8,5,11,167538,13756,14,218,6671,3006
111,Nautilus,14,4,True,2,4,17,31718,8273,14,36,3190,8001
92,Riven,12,14,True,7,8,2,128148,11729,15,168,6630,3071
99,Lux,3,4,True,8,7,15,85673,11184,14,119,4628,6655
131,Diana,4,11,True,12,5,14,188240,14907,16,34,3152,3157
10,Kayle,12,4,False,1,5,3,56256,6591,12,130,1056,1082
107,Rengar,11,4,False,4,4,2,88299,6890,11,17,3508,6029
37,Sona,7,4,False,1,1,3,12785,4694,9,11,2031,3853
150,Gnar,12,4,False,4,5,1,65610,6963,13,142,1055,3047
147,Seraphine,3,4,False,1,4,4,76473,5712,10,115,1056,3070
238,Zed,14,4,True,3,3,1,75736,7816,12,146,2031,3142
79,Gragas,4,14,True,2,4,8,22840,6652,10,5,3853,6656
777,Yone,4,12,True,9,2,3,138901,13209,14,176,1038,6673
115,Ziggs,4,12,True,4,2,2,111955,9096,12,160,0,3020
104,Graves,4,11,True,1,0,6,128879,7675,12,17,6692,1001
110,Varus,4,7,True,3,8,10,160357,12407,15,220,3035,3158
126,Jayce,4,12,True,17,4,9,297495,20624,18,252,6694,3158
526,Rell,14,4,True,2,10,10,26237,8224,14,29,3190,3860
8,Vladimir,6,14,True,6,4,6,174352,13422,17,214,1056,3152
104,Graves,4,11,True,7,3,9,261271,14307,17,61,6676,6695
39,Irelia,4,12,False,5,8,4,154002,13030,16,229,6630,2421
35,Shaco,11,14,False,8,7,9,161482,12853,15,37,6653,3041
12,Alistar,14,4,False,2,4,18,21857,8909,14,38,3860,3190
236,Lucian,7,4,False,10,6,10,191666,14881,17,221,6675,6671
517,Sylas,4,14,False,4,10,7,195128,13110,16,222,3916,3157
555,Pyke,4,14,False,2,4,6,25535,6649,10,42,6691,3855
64,LeeSin,4,11,False,4,3,4,86851,7937,11,14,2422,3071
81,Ezreal,4,7,False,7,3,7,133288,11437,13,195,3110,3158
126,Jayce,4,12,False,2,13,3,47895,6602,11,70,1055,2031
115,Ziggs,12,4,False,1,3,4,108427,7882,13,191,1056,6653
104,Graves,4,11,True,9,1,4,140996,10332,14,33,3035,2031
164,Camille,4,12,True,9,2,5,148172,12936,14,159,3026,6632
79,Gragas,14,4,True,1,6,5,25175,6227,10,32,6656,3859
157,Yasuo,4,3,True,2,6,1,82119,7985,11,139,1055,6673
13,Ryze,12,4,True,5,1,5,167767,10397,14,200,6656,2033
64,LeeSin,11,4,False,5,3,13,100010,8818,13,18,3111,3071
103,Ahri,4,14,False,10,4,6,81425,9658,13,143,6656,3157
12,Alistar,14,4,False,5,3,14,14146,7274,10,34,3859,2065
875,Sett,12,4,False,5,4,5,126509,11233,14,188,3111,1028
22,Ashe,4,7,False,4,7,10,74567,8470,12,117,3006,6673
2,Olaf,11,4,True,5,3,5,142385,10796,13,26,6630,3053
201,Braum,3,4,True,0,7,14,18373,6879,11,28,2055,3857
85,Kennen,4,12,True,0,7,3,54278,6499,12,113,3152,2031
145,Kaisa,4,7,True,11,4,3,122689,13328,13,178,1037,3006
39,Irelia,4,14,True,5,8,1,134128,11204,14,175,3153,3111
92,Riven,12,4,True,4,7,10,97695,9836,13,141,6630,3074
13,Ryze,4,12,True,12,2,5,243913,16356,17,264,3040,3089
498,Xayah,4,7,True,7,5,13,142597,11924,14,183,6671,3006
117,Lulu,4,14,True,4,5,22,13501,9044,14,10,2055,2065
68,Rumble,4,11,True,15,4,7,152910,12488,14,28,3157,1052
111,Nautilus,4,14,False,2,8,8,19464,6406,12,34,3857,3117
115,Ziggs,4,12,False,7,9,6,140597,11288,15,202,3020,6653
236,Lucian,4,12,False,8,8,3,130944,11185,14,190,6671,6694
245,Ekko,4,11,False,4,8,11,128216,8859,14,46,3152,3115
107,Rengar,4,12,False,2,9,4,107521,8709,14,173,6692,3133
64,LeeSin,4,11,True,17,10,8,175797,15796,16,49,6630,0
201,Braum,4,3,True,1,4,19,24231,8544,14,38,3190,3857
145,Kaisa,4,7,True,12,5,5,187763,15749,16,226,6671,3006
62,MonkeyKing,4,12,True,8,6,9,163593,14288,17,198,2420,3053
4,TwistedFate,4,12,True,2,5,12,160917,12985,16,213,3191,3158
40,Janna,14,4,False,2,8,19,30041,8966,14,26,3853,2055
154,Zac,4,11,False,8,9,14,108325,11797,14,39,3068,3143
61,Orianna,12,4,False,6,7,10,186858,13442,16,238,1052,2420
