champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
69,Cassiopeia,4,3,True,9,2,4,81490,10131,12,145,6653,3070
48,Trundle,11,4,True,5,1,7,107545,9190,12,19,2031,6632
131,Diana,4,14,True,11,1,6,123524,11403,13,160,3152,3157
350,Yuumi,7,14,True,1,0,19,12262,7563,12,2,2065,0
62,MonkeyKing,14,12,True,5,1,0,87236,9297,13,140,3067,2031
121,Khazix,4,11,False,1,5,0,87855,6228,10,11,3134,2422
112,Viktor,12,4,False,1,5,1,64266,6181,12,126,2031,1056
523,Aphelios,4,7,False,1,7,0,51560,6210,10,118,3006,6673
157,Yasuo,4,14,False,2,7,2,116033,8033,12,176,6673,1057
43,Karma,4,14,False,0,7,1,15595,4242,7,8,3851,2065
30,Karthus,3,11,False,7,11,12,248973,14882,18,36,3020,3157
58,Renekton,12,4,False,3,13,8,215488,13668,18,249,2421,3047
37,Sona,4,14,False,6,8,21,40764,12439,17,34,4643,3853
236,Lucian,3,4,False,11,6,12,284362,20290,18,294,3072,3036
238,Zed,14,4,False,11,11,9,245823,17248,18,245,3814,6695
91,Talon,14,4,True,15,10,15,267861,19623,18,262,6630,6333
202,Jhin,7,4,True,10,5,16,345766,19538,18,295,3009,6671
245,Ekko,4,11,True,9,9,13,305248,16729,18,69,3152,3157
131,Diana,4,14,True,11,9,13,264089,18115,18,220,3152,3157
267,Nami,4,3,True,4,5,28,35748,11785,18,18,3853,3107
84,Akali,14,4,False,3,12,0,50634,6029,9,101,1054,2031
234,Viego,4,11,False,4,7,1,109310,8469,12,35,6632,1043
22,Ashe,3,4,False,1,8,8,75370,7692,12,126,6673,3124
420,Illaoi,12,4,False,4,6,1,98638,9428,13,148,3065,1036
63,Brand,4,14,False,3,7,5,63091,6942,10,61,3853,3020
236,Lucian,12,4,True,15,4,1,102395,12582,13,149,6671,3508
131,Diana,4,14,True,14,3,9,136866,13668,16,164,3152,3157
412,Thresh,14,4,True,2,3,16,19885,7117,11,30,3857,2065
523,Aphelios,7,4,True,4,4,11,122435,10406,14,153,6673,6676
36,DrMundo,11,4,True,5,1,9,152640,9937,14,30,3068,3111
234,Viego,4,12,False,3,5,2,101543,9497,13,152,1055,6632
350,Yuumi,3,14,False,4,3,3,7864,6067,11,3,6617,3853
28,Evelynn,11,4,False,3,6,1,80517,6712,11,15,3100,2031
81,Ezreal,4,7,False,1,6,4,104803,8339,12,187,1055,3158
38,Kassadin,12,4,False,1,5,2,91514,7451,13,170,1082,3157
113,Sejuani,14,12,True,3,5,6,102323,10016,15,161,6662,3076
117,Lulu,4,14,True,2,2,18,11822,7755,13,12,0,3853
18,Tristana,4,7,True,8,3,3,146531,11813,14,196,1055,6672
131,Diana,4,14,True,11,2,3,153080,13510,15,189,3152,4637
59,JarvanIV,4,11,True,1,0,10,144631,9597,14,14,2055,6630
84,Akali,14,4,False,8,6,2,129726,11589,15,197,3152,1058
202,Jhin,4,7,False,4,6,7,117194,10611,13,186,1055,6692
72,Skarner,11,4,False,5,7,8,120807,10074,13,23,8001,2055
43,Karma,14,4,False,1,7,14,25669,7158,12,19,3158,2065
82,Mordekaiser,4,12,False,4,8,3,93562,8828,14,148,4637,4633
40,Janna,14,4,True,5,3,14,21455,9853,14,15,2065,0
777,Yone,12,4,True,5,3,7,182879,12542,17,223,1054,3033
5,XinZhao,4,11,True,1,8,9,127401,9895,13,26,2420,2055
131,Diana,4,14,True,13,4,2,201087,14940,16,176,3152,3157
523,Aphelios,7,4,True,10,4,8,184049,14465,15,191,6673,1038
115,Ziggs,7,4,False,4,6,10,171640,12794,14,192,3040,6653
2,Olaf,4,11,False,3,4,1,188048,11083,14,15,3065,6630
48,Trundle,14,4,False,3,7,7,39447,8246,11,40,2055,3857
24,Jax,4,12,False,1,7,4,130641,10565,15,189,3076,2033
131,Diana,4,14,False,9,8,3,140907,12046,14,159,3152,3102
147,Seraphine,7,4,True,1,4,16,43997,7200,14,64,2065,3070
150,Gnar,12,4,True,10,3,9,172719,14532,17,218,6632,3111
104,Graves,11,14,True,11,4,6,232860,14962,16,46,6692,6694
37,Sona,4,3,True,0,4,23,39025,9717,14,83,3853,6617
8,Vladimir,4,6,True,10,5,9,215995,15688,17,227,4629,1082
141,Kayn,4,11,False,3,8,4,105304,7613,11,24,6691,3020
164,Camille,12,14,False,10,11,3,73781,9925,13,100,3074,3111
111,Nautilus,14,4,False,0,2,11,26388,6031,11,37,3111,2055
498,Xayah,4,3,False,9,4,3,72901,9867,11,123,3508,3006
34,Anivia,4,12,False,2,4,6,96489,8215,14,176,6656,3157
