champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
234,Viego,4,11,True,5,3,7,130354,9183,13,5,2422,6632
81,Ezreal,4,7,True,4,1,6,103825,9867,12,147,1001,3042
267,Nami,3,4,True,0,3,9,16816,6149,10,5,4005,3916
36,DrMundo,12,4,True,3,3,6,75697,7913,13,131,1054,0
157,Yasuo,14,4,True,5,2,3,120276,9855,14,156,1054,6673
117,Lulu,14,4,False,2,2,5,13792,5286,10,6,3853,2055
92,Riven,4,12,False,1,7,4,70340,6332,11,124,1055,3071
8,Vladimir,6,14,False,4,2,4,97222,8407,13,172,1056,3152
29,Twitch,7,4,False,5,5,2,74589,7675,10,116,6672,1055
238,Zed,4,11,False,0,1,0,12581,3256,3,0,1035,2031
121,Khazix,4,11,False,2,9,3,130739,8492,12,24,3047,6691
101,Xerath,4,21,False,3,5,3,62575,6962,12,117,6655,3916
875,Sett,4,14,False,4,8,1,100546,9692,13,153,3076,3047
43,Karma,3,4,False,1,7,5,33269,6138,11,34,3853,2065
81,Ezreal,4,7,False,3,5,4,110006,10143,12,170,3042,3110
37,Sona,3,4,True,4,2,17,21979,8435,12,14,3011,2055
92,Riven,4,12,True,8,6,2,122482,10982,14,161,1055,6630
29,Twitch,11,4,True,6,1,16,164712,11889,15,31,6672,2031
39,Irelia,4,12,True,12,1,5,132825,14781,15,206,6630,1053
110,Varus,4,7,True,4,3,8,135190,10721,14,186,3042,6695
55,Katarina,1,14,True,23,9,12,185566,18920,18,183,3020,3157
516,Ornn,4,12,True,7,4,23,110022,12183,15,130,0,3143
43,Karma,4,3,True,2,11,17,29963,8812,12,15,2421,2065
81,Ezreal,7,4,True,9,9,13,133729,13012,15,159,3042,3158
11,MasterYi,14,11,True,14,5,9,167762,13805,16,49,7007,3051
4,TwistedFate,4,12,False,5,19,7,80913,10571,14,102,6656,3157
222,Jinx,4,7,False,10,10,9,210748,15904,16,244,6672,3006
234,Viego,4,11,False,15,7,11,157499,15799,16,31,6632,1057
117,Lulu,4,14,False,0,10,22,11049,8002,14,11,3853,3011
92,Riven,4,12,False,8,9,8,144468,12604,16,190,3071,6630
222,Jinx,4,3,True,15,3,8,227438,16846,17,239,3031,3006
92,Riven,4,12,True,4,7,5,118183,10687,15,160,6333,6630
64,LeeSin,4,11,True,5,5,15,133982,12246,16,37,3111,6630
105,Fizz,14,4,True,15,2,9,132281,16100,17,189,3089,3157
53,Blitzcrank,14,4,True,2,5,25,28868,9880,15,34,3860,3050
102,Shyvana,3,11,False,1,9,8,179632,9999,14,27,3115,4636
55,Katarina,4,14,False,2,9,3,101365,9042,14,165,3157,3152
498,Xayah,3,4,False,9,8,4,173446,14004,15,209,3508,6671
267,Nami,4,14,False,3,6,13,19480,8368,14,21,3853,2065
126,Jayce,4,12,False,7,9,5,171715,13255,16,201,3042,6694
