champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
43,Karma,14,4,True,3,6,12,32179,9231,14,30,3853,3107
104,Graves,4,14,True,8,10,8,190961,15443,17,191,3072,6673
86,Garen,14,4,True,8,8,7,137728,15236,17,184,3076,6631
22,Ashe,4,3,True,8,1,13,221478,15833,17,265,3031,6673
28,Evelynn,4,11,True,8,7,9,147385,11980,15,2,3020,3152
101,Xerath,21,4,False,4,4,9,125024,10200,15,98,6655,3040
64,LeeSin,14,4,False,10,13,6,147036,13495,15,147,6693,6695
145,Kaisa,4,14,False,5,7,8,145234,12895,15,188,6655,3006
427,Ivern,3,11,False,4,4,18,349513,11361,16,8,2065,3222
18,Tristana,4,7,False,8,7,3,216183,14070,15,241,3033,0
516,Ornn,4,12,True,4,1,0,40871,4716,9,78,1054,3076
22,Ashe,7,4,True,3,1,4,24942,4658,7,58,1055,6670
110,Varus,14,4,True,2,2,5,14493,4238,7,13,3863,3134
105,Fizz,4,14,True,6,1,2,34196,6301,9,70,2033,3078
141,Kayn,4,11,True,3,0,1,61302,4837,8,5,3044,2031
245,Ekko,11,4,False,2,4,0,44538,4154,7,8,3145,2031
119,Draven,1,4,False,2,5,1,30635,4053,6,70,3508,2031
40,Janna,4,3,False,0,1,3,6098,2619,5,0,3851,1052
58,Renekton,12,4,False,0,5,1,18506,2724,8,41,1055,2031
64,LeeSin,14,4,False,1,3,0,10480,2359,5,23,1054,3134
517,Sylas,4,12,False,5,6,4,109719,10633,15,182,3158,3916
136,AurelionSol,4,12,False,1,5,9,121730,10659,15,211,6656,3157
59,JarvanIV,4,11,False,5,7,11,150983,11387,14,23,2055,6630
37,Sona,14,4,False,2,6,10,29222,7370,13,18,3853,2055
22,Ashe,7,4,False,4,8,7,124114,11479,14,221,6673,3091
523,Aphelios,4,7,True,6,4,12,182128,13300,15,223,6673,3006
238,Zed,4,11,True,14,8,9,265575,16585,17,102,3142,3814
134,Syndra,4,12,True,9,1,5,190877,13203,16,222,1026,6655
54,Malphite,4,12,True,1,3,8,96513,9549,15,162,8001,3157
350,Yuumi,3,14,True,2,1,20,11379,8549,14,2,3853,0
163,Taliyah,4,14,False,1,9,1,36047,4551,8,85,1056,3802
80,Pantheon,3,4,False,1,8,5,16555,4226,8,31,3855,3179
68,Rumble,11,3,False,3,7,3,62798,5635,9,15,3158,4636
10,Kayle,12,4,False,7,5,3,36288,7243,11,91,1054,3091
98,Shen,4,12,False,2,1,5,34910,5492,11,97,1054,0
412,Thresh,14,4,True,4,1,16,16233,6863,10,22,3855,3158
7,Leblanc,14,4,True,2,3,7,34908,5648,11,94,1056,6655
14,Sion,11,4,True,4,3,7,88025,7125,11,35,6693,2031
141,Kayn,14,12,True,3,5,1,62493,6092,10,101,6029,6695
360,Samira,4,1,True,17,2,6,86754,11830,11,134,1055,6673
164,Camille,12,4,False,2,6,2,37129,5327,10,89,1055,6632
84,Akali,4,14,False,3,6,1,41315,5857,10,89,4632,4633
234,Viego,4,11,False,4,6,3,56265,5606,10,3,6632,3044
147,Seraphine,4,3,False,3,8,8,21338,6033,9,17,3853,4005
81,Ezreal,4,7,False,6,10,7,36584,7147,9,62,2031,6632
51,Caitlyn,7,4,True,8,8,6,41191,7924,10,74,1055,6671
22,Ashe,11,4,True,5,6,4,71621,6905,10,12,3153,2031
80,Pantheon,4,14,True,8,1,9,30552,8388,11,21,3864,6692
39,Irelia,4,12,True,10,2,3,140902,12736,14,182,1055,1057
103,Ahri,4,14,True,5,2,3,59577,7690,12,119,2031,6656
