champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
201,Braum,4,3,False,1,7,17,23380,7737,13,31,1011,3857
887,Gwen,12,14,False,3,7,5,169434,11798,16,234,4633,3076
64,LeeSin,11,4,False,6,10,4,128713,10336,14,17,3035,2055
13,Ryze,12,4,False,2,7,11,148851,10331,15,198,6656,3040
523,Aphelios,4,1,False,11,7,3,167311,14494,15,235,6673,0
203,Kindred,4,11,True,10,6,10,165068,13423,16,24,3006,3031
39,Irelia,12,4,True,9,8,7,158544,13678,16,217,3153,2421
222,Jinx,4,7,True,9,2,13,214002,16333,17,240,6673,3006
412,Thresh,4,14,True,3,5,14,20334,8898,14,34,2065,3050
245,Ekko,4,14,True,7,2,9,179462,14312,17,192,3152,3111
141,Kayn,4,11,True,7,8,12,156941,12711,15,40,6630,3047
39,Irelia,12,4,True,10,5,8,167566,14047,16,214,3047,6632
67,Vayne,4,1,True,12,7,3,116755,12854,15,149,6673,3006
777,Yone,4,14,True,3,5,6,133355,10767,14,170,1054,3031
412,Thresh,4,14,True,2,6,16,26088,8146,12,26,3860,3190
234,Viego,4,11,False,9,6,14,138459,12649,14,39,6632,3047
202,Jhin,4,3,False,8,7,10,95137,11132,13,142,3036,3047
24,Jax,4,12,False,5,7,4,154130,12051,15,201,1055,6632
89,Leona,4,14,False,2,8,15,21691,7290,11,34,3860,1011
7,Leblanc,4,14,False,7,6,16,87437,9997,14,132,6655,2033
141,Kayn,4,11,False,1,1,1,113970,6696,11,27,1036,6029
497,Rakan,14,4,False,0,3,4,15011,4531,9,28,2065,2031
145,Kaisa,3,4,False,1,4,1,64667,6475,10,150,6672,3051
55,Katarina,4,14,False,3,4,0,78940,7144,12,155,1082,3020
19,Warwick,4,14,False,0,7,0,64116,6018,11,139,6673,1053
45,Veigar,4,12,True,3,0,4,77629,7646,12,157,2421,6656
412,Thresh,14,4,True,1,2,13,20435,6063,10,32,3190,3857
81,Ezreal,4,3,True,5,2,5,96284,9317,11,176,3158,6632
24,Jax,12,14,True,7,0,1,141699,11550,14,185,6632,3153
20,Nunu,4,11,True,3,1,8,113828,7439,12,16,3111,2031
64,LeeSin,4,14,False,3,6,4,102641,9701,15,158,3157,3133
104,Graves,4,11,False,8,8,9,170015,12712,15,42,3033,3134
498,Xayah,4,3,False,5,11,10,122974,11343,14,151,6671,2055
887,Gwen,14,12,False,3,9,5,171253,11490,16,215,3115,3157
497,Rakan,4,14,False,7,6,16,23339,10890,13,26,2055,3853
81,Ezreal,3,4,True,8,6,11,177198,14106,15,200,3110,3042
