champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
360,Samira,3,4,False,5,8,3,70845,7854,10,136,6673,6676
412,Thresh,4,14,False,1,5,7,19847,5477,9,33,3855,2031
92,Riven,4,12,False,4,8,0,83252,8789,13,142,3071,6630
104,Graves,14,4,False,5,6,2,97860,8843,13,166,2015,3123
245,Ekko,11,4,False,3,7,1,98376,6590,11,25,3020,2031
236,Lucian,4,3,True,5,7,8,88893,9211,12,165,0,1037
121,Khazix,4,11,True,10,0,3,148295,11062,14,21,3117,3142
111,Nautilus,4,14,True,3,5,13,21836,7291,11,26,2055,3860
1,Annie,4,14,True,6,1,2,73905,8675,13,150,3157,2055
114,Fiora,12,4,True,10,5,0,130602,12234,15,154,1055,1028
62,MonkeyKing,4,12,True,6,3,3,91821,10469,13,154,6632,1036
22,Ashe,4,7,True,1,3,12,67362,8617,11,139,1055,6673
412,Thresh,4,14,True,5,3,9,14591,6801,9,31,3190,3857
35,Shaco,14,11,True,7,4,8,104217,9075,12,14,3158,4629
104,Graves,14,4,True,7,3,4,101936,9988,13,159,6692,6676
7,Leblanc,4,14,False,3,5,2,57854,6927,12,126,3020,2033
48,Trundle,4,3,False,0,7,12,12308,5075,9,29,3855,3190
126,Jayce,12,4,False,1,6,6,99663,7696,12,148,3004,6692
202,Jhin,4,1,False,9,3,3,92433,10388,11,134,3009,6671
245,Ekko,11,4,False,3,6,3,69361,6318,9,8,3117,3026
145,Kaisa,4,7,True,9,3,3,74666,9818,10,124,0,1055
234,Viego,4,11,True,7,0,1,99306,7795,11,5,6630,2031
157,Yasuo,4,14,True,3,5,5,74887,7752,10,123,1055,6673
412,Thresh,4,14,True,2,0,13,12224,5417,8,19,3859,2031
98,Shen,4,14,True,2,1,6,32333,5596,10,80,1054,1029
555,Pyke,4,14,False,2,5,2,8771,4934,8,23,3854,3117
236,Lucian,3,4,False,3,6,2,30791,5892,8,74,6672,3006
39,Irelia,14,4,False,1,5,1,32325,4126,7,71,1029,1042
141,Kayn,11,4,False,2,3,1,55598,4566,8,9,3124,0
106,Volibear,12,4,False,1,4,1,46838,4381,9,80,1056,2031
117,Lulu,3,4,False,1,11,20,17191,9274,15,12,3853,6617
81,Ezreal,4,7,False,12,7,11,191818,17171,17,233,3042,6609
4,TwistedFate,4,12,False,3,12,10,176900,13001,17,208,6656,3157
39,Irelia,12,4,False,14,18,7,225511,18891,17,234,3026,3153
245,Ekko,11,4,False,11,8,10,254481,15745,18,60,3020,3135
122,Darius,4,6,True,26,5,8,267785,23306,18,280,3742,6609
37,Sona,3,4,True,1,7,27,42119,9982,17,32,6616,1052
238,Zed,14,4,True,14,9,4,188606,16051,18,221,6695,6694
30,Karthus,3,11,True,10,11,21,297077,16664,18,50,3020,3157
235,Senna,4,1,True,5,9,22,172780,13817,17,186,6672,3006
104,Graves,4,11,False,5,9,6,100271,8841,12,23,2031,2055
