champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
7,Leblanc,4,12,True,8,5,9,140564,13779,17,193,2033,3157
81,Ezreal,3,4,True,4,7,12,170079,12152,15,164,2420,6632
92,Riven,4,12,True,19,8,10,261062,19394,18,236,3074,6630
141,Kayn,4,11,True,7,6,10,245101,13114,16,44,0,3142
350,Yuumi,7,14,True,4,7,20,17982,9536,14,6,6617,3222
68,Rumble,4,14,False,9,6,11,153027,13964,16,213,3068,3075
79,Gragas,12,4,False,9,11,12,134618,12503,15,162,6655,3157
267,Nami,4,14,False,3,9,23,22669,9359,14,14,2055,3853
14,Sion,4,12,False,3,11,11,131402,10546,16,164,2033,8001
234,Viego,11,4,False,8,5,13,215189,14908,16,79,2055,3053
44,Taric,14,4,True,4,0,20,38834,8982,13,34,3860,3190
74,Heimerdinger,12,4,True,4,1,11,109039,10164,14,167,1082,6653
64,LeeSin,11,4,True,5,5,15,123616,10183,14,21,0,3071
150,Gnar,4,12,True,4,2,9,92846,9405,14,122,3053,2031
523,Aphelios,4,3,True,13,2,6,138179,13994,13,183,1055,3006
30,Karthus,4,3,False,1,5,6,153325,9128,14,195,6653,3020
58,Renekton,4,12,False,3,3,3,133040,10012,14,206,6630,3047
81,Ezreal,4,7,False,1,4,3,118228,8592,12,190,3078,3042
201,Braum,4,3,False,1,11,5,21621,6284,10,28,3857,3190
141,Kayn,11,4,False,4,7,0,146486,8721,12,15,3047,6630
32,Amumu,4,14,False,1,7,2,25506,5221,10,41,3047,3190
523,Aphelios,4,3,False,5,5,1,61321,8513,11,130,1055,6673
55,Katarina,12,14,False,2,8,2,48446,5959,10,99,1055,3115
64,LeeSin,4,11,False,2,4,5,99904,7584,11,17,3071,6630
126,Jayce,4,12,False,5,4,6,95763,9278,13,162,2031,6694
69,Cassiopeia,4,12,True,7,3,8,113392,11102,14,179,3040,3916
497,Rakan,4,14,True,3,1,19,20684,7408,12,27,3860,3114
234,Viego,11,4,True,4,2,16,107014,9756,13,20,0,6632
360,Samira,4,3,True,9,1,5,81580,11468,13,174,1055,6673
236,Lucian,12,4,True,5,8,2,92926,9327,13,124,6671,6694
777,Yone,4,14,True,2,2,2,118467,8897,14,167,2031,0
22,Ashe,4,7,True,3,2,6,68675,8280,12,149,1055,6673
58,Renekton,4,12,True,6,1,4,99182,10535,14,171,3053,6630
412,Thresh,4,14,True,1,1,10,14801,6229,11,32,3857,3117
131,Diana,11,4,True,11,2,3,166564,11900,14,34,3157,3152
236,Lucian,7,4,False,5,6,0,102491,9093,12,164,1055,1038
84,Akali,12,14,False,2,4,0,70211,6703,12,145,3020,4633
28,Evelynn,11,4,False,0,6,3,80225,5823,11,10,2031,3152
147,Seraphine,4,3,False,0,1,2,21295,4808,9,23,1052,3853
150,Gnar,4,12,False,1,6,2,67685,6595,12,131,2055,0
28,Evelynn,4,32,True,12,9,17,32719,12948,17,8,4636,2420
104,Graves,14,4,True,6,6,25,48616,13516,18,49,3184,2031
223,TahmKench,32,4,True,10,9,24,33450,12978,17,25,6662,3075
518,Neeko,4,32,True,12,5,22,82146,13996,18,81,3157,3020
119,Draven,4,1,True,14,8,18,82763,14474,17,61,3086,3006
68,Rumble,4,32,False,5,11,12,49453,11478,17,34,4636,3020
11,MasterYi,32,4,False,22,11,5,93914,16857,17,71,6691,6676
876,Lillia,4,3,False,7,11,13,47462,11930,17,36,6653,3020
105,Fizz,4,32,False,3,11,17,31356,10932,16,18,6655,3100
3,Galio,4,3,False,0,10,22,33300,10467,17,32,3068,3083
18,Tristana,4,3,False,5,8,1,107019,10045,13,184,1055,3033
497,Rakan,14,4,False,0,12,8,17865,5991,10,31,2065,3860
84,Akali,14,12,False,7,5,3,125448,11428,15,197,3157,0
64,LeeSin,11,4,False,3,8,1,109175,7912,12,21,8001,6630
157,Yasuo,14,4,False,0,7,2,127775,7623,13,172,3035,6673
58,Renekton,12,4,True,8,2,12,127809,11677,15,171,3047,6630
59,JarvanIV,4,11,True,16,1,17,170467,14717,15,40,3047,6630
201,Braum,14,4,True,5,0,23,26432,8040,12,35,3190,3857
67,Vayne,4,7,True,5,8,8,74873,9936,13,159,6672,0
