champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
523,Aphelios,1,4,False,12,7,5,107154,11755,12,147,1055,6672
777,Yone,14,4,False,1,3,1,88347,7336,13,159,1055,2031
234,Viego,4,11,False,3,6,8,92056,8177,11,5,3111,6632
887,Gwen,14,12,False,4,5,4,84515,9301,13,178,1043,4633
111,Nautilus,14,4,False,2,8,11,19276,6180,10,33,3860,2055
32,Amumu,4,14,True,1,6,18,21804,7116,12,30,3047,3190
58,Renekton,12,4,True,3,6,6,87194,8592,13,147,6630,1028
222,Jinx,4,7,True,15,4,9,139060,14298,13,195,6672,0
4,TwistedFate,4,12,True,4,0,12,124979,11481,15,185,3158,2424
421,RekSai,4,11,True,6,6,7,107197,8461,13,6,6693,3047
62,MonkeyKing,4,12,False,1,3,0,35182,4572,10,98,1054,6632
89,Leona,4,14,False,1,5,6,9840,4694,8,22,8001,3009
110,Varus,7,4,False,1,4,5,51898,5480,8,103,6691,3070
234,Viego,4,11,False,6,5,0,62008,6642,9,6,3047,0
38,Kassadin,4,12,False,0,10,1,32409,4178,9,82,1054,2031
523,Aphelios,4,1,True,1,4,5,41799,5739,8,100,1055,6673
203,Kindred,11,4,True,9,1,7,84927,9043,11,14,1018,6671
117,Lulu,4,3,True,0,2,13,11657,4436,9,22,3067,3859
54,Malphite,12,4,True,4,1,2,54196,6691,11,106,2033,6660
55,Katarina,4,14,True,13,1,1,81553,9163,12,119,3153,3047
234,Viego,4,11,False,2,5,1,110327,7485,12,25,2031,2055
89,Leona,14,4,False,0,2,4,18078,4902,9,31,3117,8001
126,Jayce,4,12,False,3,8,0,78484,7826,12,149,1055,3042
360,Samira,3,4,False,1,4,2,72592,7053,12,155,1055,6673
134,Syndra,4,12,False,2,6,4,94266,7957,12,168,2033,3020
236,Lucian,12,4,True,6,3,2,125723,10751,14,199,6671,3156
81,Ezreal,4,7,True,3,2,7,125602,9894,12,186,6632,3042
44,Taric,14,4,True,2,3,9,28617,6988,10,31,3860,3190
104,Graves,4,11,True,5,0,4,168005,10545,14,46,6692,3035
79,Gragas,12,4,True,9,0,9,90718,10308,14,119,6656,3070
42,Corki,21,4,True,8,3,32,44270,10141,14,41,3508,3042
59,JarvanIV,32,4,True,8,7,33,37911,9637,14,27,3047,6630
126,Jayce,4,21,True,18,6,24,47413,12238,14,31,3047,3134
14,Sion,32,4,True,8,5,31,29956,10012,14,13,2051,0
245,Ekko,4,32,True,8,6,18,31937,9014,14,28,3020,3157
32,Amumu,32,4,False,1,11,14,24335,6872,12,21,2031,3068
157,Yasuo,4,14,False,4,8,12,36462,8010,12,32,6673,3006
246,Qiyana,4,32,False,13,9,8,52368,10136,13,34,3134,0
234,Viego,4,14,False,7,9,10,23921,8327,12,8,3184,6632
105,Fizz,4,32,False,2,13,13,19484,6982,12,9,6655,3020
62,MonkeyKing,32,4,True,21,11,25,125079,20309,18,70,6632,3111
61,Orianna,21,4,True,12,8,39,115024,18282,18,105,3157,3089
115,Ziggs,4,13,True,15,9,31,110344,16950,18,43,6653,3020
64,LeeSin,32,4,True,4,16,37,47820,13836,18,23,3074,6630
498,Xayah,4,32,True,11,17,23,73599,15320,18,50,6673,3006
48,Trundle,4,32,False,20,14,27,124741,19459,18,74,6632,3193
34,Anivia,3,4,False,8,9,27,162442,17792,18,144,3157,3040
58,Renekton,4,32,False,5,16,31,119929,15231,18,69,3047,6630
350,Yuumi,14,3,False,2,10,46,36238,14543,18,5,3107,3040
555,Pyke,4,32,False,26,14,15,69890,23484,18,29,6691,3814
110,Varus,4,12,False,2,6,2,71482,5956,11,123,3133,1036
412,Thresh,4,14,False,0,2,3,13915,3863,9,32,3105,3859
64,LeeSin,4,11,False,2,6,0,70106,5348,9,14,2055,2031
67,Vayne,3,4,False,1,3,1,45235,5590,9,130,3006,6673
39,Irelia,12,4,False,0,4,0,67114,5401,11,135,1055,2055
240,Kled,14,4,True,4,0,3,68241,8917,12,153,6631,0
517,Sylas,4,12,True,6,2,5,89175,9125,13,141,3108,3020
104,Graves,4,11,True,7,1,6,126937,8983,13,15,6692,3006
111,Nautilus,4,14,True,0,1,6,17005,5056,9,31,3047,3860
119,Draven,4,1,True,4,1,6,92055,10121,11,161,6672,3508
22,Ashe,3,4,False,2,5,3,32527,5327,9,92,6673,1042
28,Evelynn,4,11,False,5,4,2,59948,6910,9,4,1082,3152
23,Tryndamere,4,6,False,2,4,0,68118,6069,11,125,3006,3123
412,Thresh,4,14,False,1,5,5,7889,3770,8,20,1029,3047
91,Talon,14,4,False,0,3,5,56648,5231,11,123,0,2031
58,Renekton,12,4,True,4,3,5,86820,8096,12,139,6630,0
120,Hecarim,6,11,True,3,3,6,93252,7105,11,5,6632,0
115,Ziggs,4,12,True,7,2,4,103205,9208,11,124,0,3089
40,Janna,4,3,True,0,1,16,10193,6005,9,10,0,3853
119,Draven,4,1,True,7,1,4,83432,10065,10,121,0,0
875,Sett,12,4,False,0,6,2,50412,4670,10,102,2031,3047
134,Syndra,12,4,False,1,0,0,48620,4927,10,120,6656,2031
117,Lulu,4,3,False,0,3,1,4639,3193,7,5,3158,3851
222,Jinx,4,7,False,1,4,0,46119,5125,8,106,6672,1036
5,XinZhao,11,4,False,1,1,1,76454,5018,9,9,6630,1036
48,Trundle,12,4,True,4,1,1,61455,6749,11,122,0,1055
120,Hecarim,6,11,True,1,1,7,97944,6442,10,8,6632,2031
517,Sylas,4,12,True,2,0,0,59392,5858,11,138,1056,1052
412,Thresh,4,14,True,0,0,6,11897,4259,8,25,3158,3855
119,Draven,4,3,True,7,1,2,79026,8952,10,134,6672,0
69,Cassiopeia,6,4,True,10,13,21,85149,13546,18,58,3102,1026
61,Orianna,4,14,True,5,11,22,37534,11022,17,27,6655,3089
157,Yasuo,32,4,True,6,10,22,78686,12322,18,61,3031,6673
29,Twitch,14,4,True,7,14,15,24851,11690,17,11,2003,6672
62,MonkeyKing,14,32,True,21,11,10,50983,16236,18,26,6691,3142
89,Leona,3,4,False,8,8,31,34894,12331,17,21,2051,3111
147,Seraphine,21,4,False,11,14,36,37548,12457,17,18,6653,3020
26,Zilean,13,4,False,4,11,35,34938,11732,17,36,2420,3040
432,Bard,3,4,False,24,8,23,91650,16468,18,70,1053,3042
22,Ashe,4,21,False,12,8,29,56605,13556,17,35,4005,3042
236,Lucian,4,7,False,10,12,15,57414,11834,16,57,6671,3006
134,Syndra,13,4,False,5,10,13,52118,10976,16,43,6653,3020
145,Kaisa,4,32,False,8,10,13,61302,11461,15,57,3184,3042
31,Chogath,4,32,False,9,8,11,26531,11360,16,17,2051,3111
99,Lux,14,4,False,4,12,17,34855,9835,15,16,6655,3020
84,Akali,32,4,True,14,8,16,46205,12241,16,24,2421,3112
432,Bard,4,14,True,7,6,25,30880,11858,17,21,6672,3094
202,Jhin,1,4,True,11,5,15,47672,12631,17,45,3009,6671
21,MissFortune,14,4,True,12,7,13,45559,12807,17,38,2003,6672
131,Diana,14,32,True,8,10,17,38902,11164,16,24,4636,3020
