champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
41,Gangplank,12,4,True,8,5,3,200613,14350,16,222,2033,3078
518,Neeko,14,4,True,5,8,5,67447,8554,13,107,3070,6655
64,LeeSin,11,4,True,7,8,17,123137,11108,15,31,6692,3071
350,Yuumi,3,7,True,1,6,29,9540,8831,14,4,3853,6617
157,Yasuo,4,14,True,24,4,8,230384,18720,16,204,3026,3006
498,Xayah,7,4,False,7,11,8,107134,10540,13,155,1055,6671
141,Kayn,11,4,False,13,10,6,237578,16443,17,50,3158,6630
117,Lulu,4,14,False,0,10,13,5268,6510,11,5,3853,2055
27,Singed,4,14,False,9,7,9,133853,13221,15,156,3152,3165
24,Jax,4,12,False,2,7,4,163098,11450,16,206,1054,3153
523,Aphelios,4,3,False,6,4,4,192366,14726,15,237,3031,6673
104,Graves,4,11,False,4,4,3,220685,12085,15,42,6692,3047
13,Ryze,4,12,False,4,8,4,213167,12977,16,230,1058,3157
12,Alistar,4,14,False,0,7,10,14814,7508,13,24,2065,3158
236,Lucian,4,12,False,3,8,1,173233,11664,16,221,6671,3047
222,Jinx,4,1,True,7,5,9,148037,12278,15,201,3086,6671
267,Nami,4,3,True,0,3,21,13037,8092,14,21,3853,2065
8,Vladimir,6,14,True,12,3,11,201586,16864,17,241,3152,3089
166,Akshan,4,12,True,4,5,6,238760,14628,18,294,1055,6676
141,Kayn,11,4,True,8,1,7,209123,13903,17,47,3158,3042
31,Chogath,4,6,True,12,10,7,182484,19275,18,127,6693,3091
31,Chogath,4,14,True,1,13,9,53196,10408,16,49,6662,3076
31,Chogath,4,12,True,10,11,10,129603,17180,17,82,6632,3748
31,Chogath,4,14,True,10,9,6,155129,16714,18,131,6630,4629
31,Chogath,4,6,True,9,9,4,105812,16342,18,77,6632,3091
14,Sion,12,14,False,7,11,18,95033,13548,18,61,3075,3068
14,Sion,4,21,False,19,5,13,169984,21081,18,99,6653,4629
14,Sion,4,14,False,8,12,5,152106,15777,18,105,3142,3047
14,Sion,14,4,False,6,6,12,154759,15776,18,124,1011,3053
14,Sion,14,4,False,12,8,14,140667,15937,18,83,3009,3142
164,Camille,4,14,True,12,3,9,63156,11617,13,56,1055,1055
164,Camille,4,14,True,5,7,10,21042,7540,11,24,6632,3077
164,Camille,4,12,True,4,4,14,50469,8141,12,33,6333,6632
164,Camille,4,14,True,7,2,3,52156,9806,13,64,6632,2031
164,Camille,4,6,True,13,2,10,69190,12284,13,52,6632,1037
2,Olaf,4,6,False,1,9,7,25551,6742,11,24,3047,6630
2,Olaf,6,14,False,10,9,2,46031,11274,12,28,6630,3075
2,Olaf,6,14,False,1,9,6,25860,5952,11,35,6630,2055
2,Olaf,4,6,False,5,9,2,41947,9196,11,39,3047,3053
2,Olaf,4,14,False,1,5,0,70974,7626,12,88,6630,3047
41,Gangplank,4,6,False,4,6,4,193596,13901,17,128,3042,3508
41,Gangplank,4,21,False,3,9,7,45961,10323,14,34,6662,3111
41,Gangplank,4,6,False,4,9,9,75506,11617,15,46,6662,3047
41,Gangplank,4,14,False,8,14,7,127801,13758,16,78,6693,3031
41,Gangplank,4,6,False,14,8,10,243536,20590,18,125,3508,6693
887,Gwen,4,3,True,10,6,5,82072,14251,17,69,4633,3157
887,Gwen,12,14,True,2,9,9,76709,11399,16,65,1056,3047
887,Gwen,14,3,True,13,5,7,168755,19976,18,141,3157,3165
887,Gwen,14,4,True,11,6,7,92046,15694,17,54,3157,3047
887,Gwen,12,14,True,10,7,12,101600,14169,17,58,4633,3115
68,Rumble,12,4,False,9,9,5,57953,12378,16,54,6653,3157
68,Rumble,4,12,False,17,9,5,120477,21106,18,114,4637,4629
68,Rumble,4,14,False,3,9,11,58907,10655,16,72,4637,3157
68,Rumble,4,14,False,1,13,6,86547,9852,16,93,3020,3116
68,Rumble,14,4,False,5,14,8,75524,11936,16,80,1058,3157
166,Akshan,4,14,True,3,6,9,77134,10360,16,33,3091,1055
166,Akshan,4,3,True,7,5,8,120833,14843,18,71,3091,6676
166,Akshan,4,3,True,20,7,8,147491,20001,18,71,6676,3091
166,Akshan,4,14,True,23,8,9,165202,22400,18,114,6672,3153
166,Akshan,4,6,True,1,9,5,116090,12053,17,108,3006,6671
157,Yasuo,4,14,False,5,12,7,87046,12397,16,59,1038,2031
157,Yasuo,4,3,False,7,14,2,85813,13615,16,99,3006,3033
157,Yasuo,4,14,False,7,13,5,102462,13500,17,73,3006,3091
157,Yasuo,4,12,False,8,9,6,116187,14615,16,98,6671,3033
157,Yasuo,4,14,False,7,10,8,81521,13156,16,76,3072,6671
22,Ashe,4,12,True,8,8,19,38081,12402,18,22,4005,3042
22,Ashe,4,3,True,6,5,12,129438,14116,18,76,6671,3153
22,Ashe,4,7,True,19,9,12,139215,20623,18,100,3031,6671
22,Ashe,4,14,True,15,8,17,144446,19100,18,131,3046,3031
22,Ashe,4,6,True,10,4,8,208143,19776,18,172,3006,3124
238,Zed,14,4,False,2,4,3,87251,7290,12,158,6692,2031
141,Kayn,4,11,False,3,4,2,108879,7878,11,12,3134,6630
85,Kennen,4,12,False,0,6,2,56927,6039,12,143,3152,0
555,Pyke,4,14,False,4,4,2,17038,6659,9,35,6691,3855
145,Kaisa,4,7,False,0,4,6,52871,6180,10,124,6672,3006
58,Renekton,4,12,True,4,0,5,106090,9411,13,158,3075,6630
8,Vladimir,4,14,True,5,0,3,86824,8844,13,151,3152,3020
