champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
115,Ziggs,4,3,False,0,12,8,85058,9055,15,74,6653,2031
115,Ziggs,4,3,False,7,7,4,94550,14218,16,97,6673,6676
115,Ziggs,4,12,False,2,9,5,119646,11560,16,77,3040,2031
115,Ziggs,12,4,False,5,10,7,120955,13263,16,99,6655,3102
115,Ziggs,14,4,False,12,5,6,167283,18425,18,116,3100,3157
76,Nidalee,4,14,True,9,5,8,117875,15610,17,78,2420,3089
76,Nidalee,3,4,True,8,8,9,55252,12219,15,43,4636,3070
76,Nidalee,3,4,True,14,6,8,129492,17304,18,104,4636,3158
76,Nidalee,4,14,True,8,3,8,57012,12246,17,49,4628,1058
76,Nidalee,3,4,True,4,4,9,137964,12697,17,59,6673,3111
55,Katarina,4,14,False,6,14,9,175001,19020,18,123,3152,3156
55,Katarina,14,4,False,25,11,3,216010,29074,18,160,3091,3748
55,Katarina,4,14,False,3,14,7,143088,15823,18,106,3089,3115
55,Katarina,3,4,False,8,9,14,195760,19720,18,100,3143,6672
55,Katarina,4,14,False,8,10,8,237171,21144,18,183,3065,3074
53,Blitzcrank,4,14,True,6,9,14,128246,17320,18,105,3102,3157
53,Blitzcrank,3,4,True,12,13,6,219618,22871,18,138,6671,3009
53,Blitzcrank,6,4,True,7,8,14,222704,19544,18,147,6655,3089
53,Blitzcrank,4,21,True,10,12,16,290263,22463,18,179,6673,3153
53,Blitzcrank,4,14,True,23,8,13,238493,26820,18,148,3152,3040
55,Katarina,1,4,True,17,3,3,126107,17800,16,115,3157,6672
55,Katarina,14,4,True,3,3,4,44746,8351,13,37,4633,3115
55,Katarina,14,4,True,3,8,3,44679,7899,13,44,3115,4633
55,Katarina,3,4,True,3,2,11,65469,9398,14,42,0,4633
55,Katarina,14,4,True,19,2,8,132240,17616,16,109,6655,3115
266,Aatrox,14,4,False,0,10,1,52128,6335,12,44,1031,6630
266,Aatrox,7,4,False,1,9,3,35490,6448,13,38,6630,1055
266,Aatrox,6,4,False,5,8,2,42919,9246,13,62,6630,6333
266,Aatrox,6,4,False,6,9,2,62432,10391,13,75,3111,3065
266,Aatrox,4,6,False,5,10,3,42679,10137,14,66,3071,3211
876,Lillia,4,6,True,14,10,12,116024,16712,18,95,3157,3082
876,Lillia,4,14,True,23,6,14,147912,23582,18,99,3047,6662
876,Lillia,6,4,True,0,11,16,77400,9490,16,38,3158,6653
876,Lillia,4,14,True,15,8,14,110704,17073,18,79,3075,3157
876,Lillia,3,4,True,3,6,19,105320,12704,18,74,3143,3157
107,Rengar,4,14,False,5,12,11,102753,11947,16,61,3133,1028
107,Rengar,4,14,False,6,11,13,85530,12196,17,46,6632,3111
107,Rengar,4,14,False,15,11,6,119383,18857,17,57,6630,3071
107,Rengar,4,21,False,9,12,6,113229,14227,17,81,3071,3508
107,Rengar,11,4,False,6,9,8,159444,14760,18,111,4636,3158
164,Camille,14,4,True,10,7,9,100391,13968,17,66,1055,3078
164,Camille,14,4,True,10,4,7,96543,14862,18,91,3078,3047
164,Camille,12,14,True,5,6,11,89596,11971,16,78,6632,3111
164,Camille,3,14,True,6,7,10,83693,12949,16,57,6632,1037
164,Camille,14,4,True,8,5,8,76809,13436,16,66,1055,6632
412,Thresh,14,4,False,11,11,2,51326,13753,15,54,6672,3153
412,Thresh,4,14,False,6,7,7,73080,12079,15,86,2031,6673
412,Thresh,12,4,False,5,4,12,56431,11847,15,61,3083,3077
412,Thresh,14,4,False,1,9,9,35375,8470,14,55,6691,6676
412,Thresh,11,4,False,6,8,4,95956,12715,16,119,6671,3047
76,Nidalee,3,4,True,4,0,6,65873,9846,13,59,3158,1056
76,Nidalee,14,4,True,13,1,4,110777,15205,14,77,6655,3089
76,Nidalee,3,4,True,3,3,5,34056,7873,12,37,1056,2421
76,Nidalee,11,4,True,5,2,1,101828,10910,13,48,4636,3158
76,Nidalee,4,14,True,7,1,6,62072,11381,13,69,3070,4636
26,Zilean,4,14,False,2,3,2,65389,8137,12,78,6656,2424
26,Zilean,3,4,False,1,8,2,11410,5031,10,6,6655,0
26,Zilean,4,3,False,2,7,4,24820,6909,10,26,3065,3211
26,Zilean,14,4,False,0,6,1,10790,4795,9,20,3802,3070
26,Zilean,3,4,False,2,8,2,39707,7321,12,52,6655,3108
432,Bard,4,11,False,0,5,0,51003,6492,12,3,6672,3009
432,Bard,4,3,False,7,3,3,81832,12234,15,124,1001,3094
432,Bard,4,3,False,4,5,3,40566,9318,14,41,4636,3100
432,Bard,4,3,False,5,5,10,43879,9127,14,42,4636,3020
432,Bard,4,3,False,2,7,10,24782,7181,14,24,3047,6662
157,Yasuo,4,14,True,6,7,1,101453,13021,14,93,3006,6673
157,Yasuo,3,4,True,0,1,7,64251,8401,14,54,1037,3006
157,Yasuo,3,4,True,9,1,2,108677,13796,16,99,3031,3006
157,Yasuo,4,6,True,1,5,9,64402,9261,14,48,3046,3006
157,Yasuo,3,4,True,9,4,1,146924,14832,15,112,6035,3033
154,Zac,12,4,True,6,5,3,78380,11056,14,29,3068,3111
154,Zac,4,14,True,6,4,15,40748,11847,15,40,3065,3111
154,Zac,4,14,True,5,4,13,65141,11336,16,53,3065,3111
154,Zac,12,4,True,17,3,5,134357,19611,18,129,3068,3111
154,Zac,14,4,True,10,5,10,46202,11975,15,54,3068,3111
101,Xerath,21,4,False,7,9,3,57468,12094,14,46,1052,6653
101,Xerath,4,3,False,4,12,2,48832,10242,14,58,1055,6672
101,Xerath,21,6,False,3,10,7,37114,8354,14,35,3070,3111
101,Xerath,4,21,False,7,10,4,78882,11257,14,82,3070,3135
101,Xerath,4,7,False,0,3,0,5334,4876,9,4,1056,1082
887,Gwen,4,3,True,14,5,4,136851,17983,18,65,4633,3115
887,Gwen,4,14,True,0,6,5,34523,9258,15,39,4633,3111
887,Gwen,4,3,True,8,8,2,109775,15287,17,91,3102,4633
887,Gwen,4,3,True,4,7,3,74386,13098,16,86,3111,4633
887,Gwen,4,12,True,3,7,1,129712,14082,17,100,4633,3111
34,Anivia,14,4,False,8,9,4,126783,15517,17,101,6653,3089
34,Anivia,4,6,False,0,4,6,65975,9543,15,68,3070,1056
34,Anivia,4,3,False,4,5,7,89216,11175,16,75,6653,3020
34,Anivia,6,4,False,11,6,5,170123,17400,18,146,3040,6655
34,Anivia,14,4,False,10,5,1,86105,13881,16,66,3157,3020
18,Tristana,4,3,True,7,1,3,210581,14154,15,241,2421,0
141,Kayn,4,11,True,6,5,10,183219,11420,15,28,3158,3142
106,Volibear,14,4,True,13,4,5,132733,13929,16,140,3143,3066
37,Sona,4,14,True,3,3,22,18373,8858,14,11,3853,6617
99,Lux,4,21,True,9,2,13,106309,12138,16,170,1056,3020
134,Syndra,12,4,False,2,11,3,130029,9715,14,199,3157,6655
150,Gnar,4,12,False,2,9,2,105291,8636,13,146,3082,3044
121,Khazix,4,11,False,8,7,3,145050,11683,14,34,3111,6691
81,Ezreal,4,7,False,0,5,1,114523,8360,13,174,3042,6632
350,Yuumi,3,14,False,3,6,5,8283,6893,11,2,2055,3853
