champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
55,Katarina,14,12,True,15,4,4,132399,13460,14,174,0,3152
236,Lucian,4,1,True,11,4,9,184176,14315,15,208,6671,1037
111,Nautilus,14,4,True,2,2,13,21256,7717,12,37,3190,3860
114,Fiora,14,12,True,3,7,4,127657,10852,15,207,6630,1037
64,LeeSin,4,11,True,6,5,15,124700,11113,14,29,6630,2055
4,TwistedFate,4,12,False,4,7,10,107410,11049,14,169,2055,3157
81,Ezreal,4,7,False,3,7,8,103265,10237,12,159,3110,3158
92,Riven,4,12,False,9,6,4,105766,12274,15,155,3071,6630
421,RekSai,4,11,False,4,11,3,95912,8459,12,32,3047,2031
37,Sona,3,4,False,2,6,8,9191,6724,11,15,6617,3853
497,Rakan,14,4,False,0,9,18,22021,8009,14,28,2065,3050
234,Viego,4,11,False,6,8,4,179009,12387,15,44,3111,6632
24,Jax,4,12,False,3,11,3,172919,13103,16,226,6333,6632
498,Xayah,4,7,False,15,12,2,170447,15825,15,200,3094,3006
134,Syndra,14,4,False,1,7,5,141834,9992,15,212,1056,3157
131,Diana,4,11,True,22,2,9,284272,18832,18,63,3020,3157
157,Yasuo,14,4,True,8,2,9,262181,17085,18,288,1055,3031
412,Thresh,4,14,True,2,7,28,22546,10787,15,37,3109,3067
523,Aphelios,4,7,True,9,8,9,153470,13523,16,159,6671,1038
875,Sett,12,4,True,6,6,10,135064,12998,17,160,2421,6630
131,Diana,4,11,True,6,4,7,279434,15464,18,77,3152,3157
39,Irelia,4,12,True,12,10,1,334003,19912,18,306,4401,3153
89,Leona,14,4,True,5,7,5,24606,8909,14,30,3190,3860
61,Orianna,4,12,True,1,10,13,172699,13082,17,229,3020,6655
81,Ezreal,4,12,True,5,5,7,349677,16259,18,293,3074,6691
35,Shaco,14,12,False,9,2,9,133361,12453,17,176,2033,6653
235,Senna,3,4,False,4,7,16,56217,10606,15,41,3111,3071
59,JarvanIV,4,11,False,7,6,13,177250,12993,16,23,6630,3111
115,Ziggs,4,12,False,4,8,9,231941,14283,17,295,3916,6653
50,Swain,12,4,False,12,6,8,193346,14773,18,243,3089,6656
777,Yone,14,4,True,5,3,6,90148,8150,13,130,6673,3123
32,Amumu,4,14,True,4,4,11,30617,6881,11,30,3047,3190
