champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
22,Ashe,4,7,True,4,5,30,44461,12022,17,22,4005,3042
30,Karthus,32,4,True,12,7,16,51876,13733,17,54,6653,3158
498,Xayah,4,32,True,18,4,15,102703,16046,18,105,6673,3006
74,Heimerdinger,4,32,True,6,5,17,41044,11753,16,39,6653,2031
111,Nautilus,4,32,True,1,8,21,18362,10667,16,16,3068,3075
29,Twitch,4,7,False,7,10,13,62681,12182,16,45,6672,3006
45,Veigar,7,4,False,2,6,13,78869,10940,17,73,6655,3020
121,Khazix,14,4,False,9,8,9,24142,11765,16,12,6691,3111
81,Ezreal,4,14,False,6,9,11,49274,10881,16,27,6632,3111
11,MasterYi,4,32,False,5,8,10,34296,11668,15,32,6672,3053
38,Kassadin,4,12,False,6,6,6,121904,11261,14,171,1082,6656
350,Yuumi,7,3,False,0,6,13,13006,6016,12,5,2055,0
64,LeeSin,11,4,False,6,6,5,135884,10434,13,43,1037,6630
164,Camille,4,12,False,6,8,1,122662,11782,14,190,1055,6632
202,Jhin,4,1,False,1,6,6,83844,7756,12,151,6671,1018
131,Diana,4,12,True,11,3,10,156686,14084,15,174,3157,2031
22,Ashe,4,7,True,8,3,12,123205,11556,14,154,6677,3006
24,Jax,14,12,True,6,4,5,91349,10402,14,118,3047,1055
5,XinZhao,4,11,True,6,5,10,130712,11049,14,36,3047,1037
142,Zoe,4,14,True,1,4,17,43906,8644,12,43,3853,6655
121,Khazix,4,11,False,1,1,1,76401,5407,9,1,3134,2031
37,Sona,3,4,False,0,4,0,8317,3427,7,8,2031,3853
27,Singed,12,4,False,1,5,1,43825,4581,10,85,1082,2031
875,Sett,12,4,False,1,5,1,66108,5782,10,117,6630,1055
22,Ashe,4,7,False,0,3,0,33132,3877,7,82,1053,6670
38,Kassadin,4,12,True,1,0,7,61038,6333,11,121,1082,2031
432,Bard,4,3,True,1,1,9,11136,5185,9,10,3853,3190
98,Shen,4,14,True,6,0,4,45848,6389,11,101,1054,6662
59,JarvanIV,11,4,True,7,2,2,78089,6303,10,8,6630,2031
110,Varus,4,1,True,3,0,2,67263,7033,10,143,6691,1036
238,Zed,4,14,True,8,4,5,88641,9573,14,148,3111,2031
13,Ryze,12,4,True,2,3,6,105621,8578,14,150,3070,3157
143,Zyra,4,14,True,4,1,11,31510,7368,11,8,2424,2055
64,LeeSin,4,11,True,5,4,14,119590,10343,14,26,3047,6630
67,Vayne,4,1,True,12,1,7,120566,13039,14,173,1042,3139
32,Amumu,4,11,False,4,4,3,94758,8618,12,27,3068,2031
360,Samira,12,4,False,1,9,3,72494,7500,11,153,6673,1001
38,Kassadin,4,14,False,4,4,1,86264,8573,13,157,3020,6656
89,Leona,4,14,False,0,9,4,20420,4869,10,27,3857,2055
421,RekSai,12,4,False,4,5,2,60186,7478,12,104,6630,2031
114,Fiora,12,4,False,11,10,4,158664,13766,16,200,6630,3074
238,Zed,4,14,False,6,10,6,117093,10145,14,160,3134,2031
30,Karthus,11,3,False,4,10,11,153401,10184,14,51,6653,4630
497,Rakan,14,4,False,2,4,18,22105,8016,14,32,3860,3011
81,Ezreal,4,7,False,11,10,6,172455,14852,15,207,6694,6632
38,Kassadin,4,14,True,15,3,6,209874,16503,18,210,3041,6656
523,Aphelios,4,7,True,4,6,11,186033,13385,17,170,3047,6671
111,Nautilus,4,3,True,2,9,16,29304,8782,13,43,3860,3190
164,Camille,14,12,True,12,11,6,130074,13823,16,154,1031,6632
234,Viego,4,11,True,11,5,7,217984,15642,17,75,3047,3091
517,Sylas,32,4,False,8,10,9,25801,9175,13,6,4636,3111
114,Fiora,4,14,False,16,14,11,38406,12076,14,15,3111,6630
145,Kaisa,3,4,False,6,6,15,32680,9086,14,24,6655,0
16,Soraka,7,4,False,0,5,26,9875,8208,15,5,3190,8001
420,Illaoi,32,4,False,4,12,18,50019,9070,14,43,6632,3074
142,Zoe,4,14,True,13,5,21,47306,11410,15,36,6655,3020
45,Veigar,13,4,True,15,3,19,47746,13140,16,37,6655,3020
58,Renekton,4,14,True,5,8,29,46604,10634,15,43,6630,3047
245,Ekko,14,4,True,2,11,21,24875,8601,14,15,3157,3152
82,Mordekaiser,14,4,True,12,7,22,48193,11352,15,29,4633,3075
86,Garen,4,21,True,4,9,15,17614,9402,14,16,2031,6630
202,Jhin,7,4,True,12,6,25,58938,12245,15,51,3009,6671
105,Fizz,14,4,True,11,9,14,25626,11155,15,22,6655,3020
