champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
30,Karthus,4,11,False,7,5,5,275953,13852,17,52,6653,2421
238,Zed,4,12,False,4,7,3,123668,11095,15,193,6692,6694
7,Leblanc,4,12,False,2,1,7,116614,10642,16,209,6656,3157
44,Taric,14,4,False,1,7,13,22479,7540,13,40,3860,3190
51,Caitlyn,7,4,False,4,7,7,201111,13121,15,252,3036,2421
43,Karma,14,4,True,1,7,13,30829,8646,13,39,3853,2065
103,Ahri,14,4,True,7,1,6,129535,12145,16,215,2033,3135
81,Ezreal,4,3,True,5,5,10,193198,13122,16,222,3024,1029
875,Sett,4,12,True,9,4,7,197616,16661,17,229,4401,3748
33,Rammus,11,6,True,5,1,12,191516,13316,16,39,6664,2055
429,Kalista,7,4,False,2,8,10,80267,8777,12,176,6673,3086
141,Kayn,4,11,False,8,5,4,169316,10738,13,33,6630,6695
8,Vladimir,4,6,False,2,3,5,90602,8752,14,184,3152,1056
126,Jayce,4,12,False,12,6,5,163320,16205,16,186,6609,3133
412,Thresh,4,14,False,0,8,11,16721,5883,10,31,3190,3857
887,Gwen,12,14,True,6,5,5,122993,11721,15,172,3115,3916
121,Khazix,4,11,True,9,3,9,134692,12028,13,25,6630,3071
6,Urgot,4,12,True,5,5,5,116773,10151,13,108,3748,1033
117,Lulu,14,4,True,2,7,17,18495,7741,13,31,3860,2055
145,Kaisa,4,3,True,8,4,10,164556,13007,14,198,1055,6671
141,Kayn,11,4,True,16,4,12,210116,16228,16,65,6630,3142
51,Caitlyn,4,7,True,3,6,14,145029,11124,15,168,6672,1036
350,Yuumi,3,14,True,2,4,23,10458,8745,14,6,6617,1057
875,Sett,4,12,True,12,5,5,142076,13848,16,180,6630,3053
134,Syndra,4,12,True,6,7,16,126211,11577,16,156,3135,1058
164,Camille,14,12,False,1,8,6,93671,9188,14,158,6632,3074
39,Irelia,14,4,False,4,9,0,163007,11069,14,220,1057,3153
35,Shaco,11,14,False,12,9,5,96899,11281,14,11,6691,3508
69,Cassiopeia,3,4,False,8,7,9,136605,12701,14,185,3040,3191
89,Leona,14,4,False,1,7,13,22299,6911,11,34,8001,2031
234,Viego,4,11,False,2,5,1,110327,7485,12,25,2031,2055
89,Leona,14,4,False,0,2,4,18078,4902,9,31,3117,8001
126,Jayce,4,12,False,3,8,0,78484,7826,12,149,1055,3042
360,Samira,3,4,False,1,4,2,72592,7053,12,155,1055,6673
134,Syndra,4,12,False,2,6,4,94266,7957,12,168,2033,3020
236,Lucian,12,4,True,6,3,2,125723,10751,14,199,6671,3156
81,Ezreal,4,7,True,3,2,7,125602,9894,12,186,6632,3042
44,Taric,14,4,True,2,3,9,28617,6988,10,31,3860,3190
104,Graves,4,11,True,5,0,4,168005,10545,14,46,6692,3035
79,Gragas,12,4,True,9,0,9,90718,10308,14,119,6656,3070
121,Khazix,11,4,True,9,4,4,147773,11251,14,8,3142,6691
103,Ahri,14,4,True,3,3,3,89979,8919,14,140,6655,4628
22,Ashe,7,4,True,7,2,4,118926,11780,14,188,6673,3091
887,Gwen,14,12,True,5,3,5,134869,11355,16,176,3108,4633
43,Karma,3,4,True,0,1,10,20150,6413,11,7,3853,2055
37,Sona,4,3,False,1,4,6,11537,5547,11,18,3853,6617
266,Aatrox,4,12,False,0,7,5,93756,7403,13,151,1054,6630
202,Jhin,4,1,False,3,4,2,93734,8813,12,186,3134,6671
234,Viego,4,11,False,5,6,3,101046,8185,12,22,6632,1037
84,Akali,4,12,False,4,3,3,75919,8665,14,162,1082,3057
33,Rammus,11,6,False,5,5,11,170571,11772,16,33,6664,3075
164,Camille,14,12,False,10,6,3,136047,13194,16,207,3078,3748
69,Cassiopeia,3,4,False,2,7,9,100482,9795,14,168,3157,2031
147,Seraphine,4,7,False,0,8,15,28038,7213,12,24,3853,2055
