champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
523,Aphelios,4,7,False,6,9,3,127211,12429,15,214,6676,6671
104,Graves,4,14,False,5,7,3,167096,12187,16,208,6692,6676
35,Shaco,12,14,False,6,4,8,82395,9616,15,119,3082,3158
201,Braum,4,3,False,2,7,9,22300,7567,13,37,3190,3857
245,Ekko,4,11,False,6,10,4,187129,11281,15,52,3157,3135
39,Irelia,4,12,True,12,8,11,207084,15953,17,229,6673,3153
111,Nautilus,14,4,True,1,4,15,30880,8200,14,39,3190,3860
79,Gragas,4,11,True,9,5,8,198817,13105,16,26,4636,2424
145,Kaisa,4,7,True,6,3,12,175317,13552,15,222,1055,6672
91,Talon,4,14,True,9,5,5,147218,12709,16,184,6630,3071
64,LeeSin,4,11,True,10,9,10,189644,13999,16,33,3075,6630
4,TwistedFate,4,12,True,4,4,10,158127,13722,17,226,6656,2033
236,Lucian,4,7,True,14,11,9,312724,20585,17,297,3006,3033
875,Sett,4,12,True,2,9,4,131822,11346,16,179,3047,3053
350,Yuumi,14,3,True,3,6,24,22603,12064,16,15,6617,3853
7,Leblanc,4,12,False,7,4,10,133875,12094,16,175,1058,6656
81,Ezreal,4,7,False,8,7,12,153295,12340,14,169,3047,3078
23,Tryndamere,4,6,False,8,3,5,293961,17367,18,279,6675,3153
121,Khazix,4,11,False,10,7,13,147531,12686,15,13,6630,1028
235,Senna,4,3,False,6,12,20,46422,12140,14,38,3864,3123
110,Varus,4,7,False,2,6,8,98621,8802,13,198,6691,2031
236,Lucian,4,12,False,3,7,8,75428,8257,13,122,2033,6671
876,Lillia,4,11,False,7,3,8,144613,9833,13,24,6653,3067
126,Jayce,4,12,False,5,4,5,103874,9450,13,178,1055,3134
89,Leona,4,14,False,3,4,9,21982,6258,11,36,3860,3067
234,Viego,4,11,True,4,6,4,138445,8976,13,14,3153,6632
23,Tryndamere,4,6,True,5,6,4,120767,10688,15,174,6671,1018
523,Aphelios,4,1,True,9,2,4,142493,13401,14,220,3031,6673
412,Thresh,4,14,True,1,4,16,16237,6969,12,31,3190,3857
7,Leblanc,4,12,True,5,2,7,60442,8873,14,114,2033,1082
245,Ekko,4,11,False,5,5,11,171963,11308,14,34,3020,3152
54,Malphite,4,12,False,1,7,2,79080,7889,13,125,2033,6662
89,Leona,4,3,False,1,4,7,19714,6465,11,36,3860,3190
360,Samira,4,7,False,6,8,4,109160,10337,12,187,6673,3047
517,Sylas,4,12,False,6,3,7,118327,11554,15,191,6656,4629
412,Thresh,4,3,True,1,5,18,16738,7895,12,38,3190,3857
523,Aphelios,4,1,True,7,3,6,148312,13620,14,200,3026,6676
104,Graves,11,4,True,9,4,13,167263,12940,15,37,6671,3071
23,Tryndamere,4,14,True,6,3,10,180120,13999,15,218,3046,3123
34,Anivia,4,14,True,4,4,15,134998,11375,16,180,6653,3916
29,Twitch,4,3,True,10,6,10,115991,12480,14,158,3089,3157
201,Braum,4,14,True,4,3,22,23491,9289,14,32,3109,3857
266,Aatrox,4,12,True,3,5,6,114779,10846,15,185,6694,6630
76,Nidalee,4,11,True,12,0,8,197549,13841,16,47,3020,3089
81,Ezreal,4,21,True,3,4,11,129630,10865,15,193,2031,3042
238,Zed,14,4,False,5,4,1,153549,12062,16,235,6693,3142
412,Thresh,4,14,False,0,7,10,17482,6001,12,24,3857,2055
236,Lucian,4,7,False,7,8,5,140299,11267,14,200,1037,1038
23,Tryndamere,4,6,False,3,6,3,133010,10580,15,206,3157,6672
131,Diana,4,11,False,3,7,7,167968,9739,14,19,3020,1058
223,TahmKench,14,4,True,6,2,7,64924,10757,14,67,1054,3047
223,TahmKench,14,4,True,7,3,6,53084,10005,14,48,2031,3075
223,TahmKench,6,14,True,13,0,7,84032,14151,15,76,3047,3143
223,TahmKench,4,14,True,6,3,11,52714,11285,14,55,3190,3047
223,TahmKench,4,12,True,1,1,7,55052,9335,14,100,3076,6662
23,Tryndamere,4,6,False,5,3,2,126392,12201,14,98,3153,6672
23,Tryndamere,6,4,False,0,8,3,44720,6872,12,26,6672,1053
23,Tryndamere,4,6,False,2,6,2,78616,9411,13,52,3006,3153
23,Tryndamere,4,6,False,2,10,2,37807,7932,12,54,3006,6672
23,Tryndamere,4,6,False,0,6,3,88097,8932,13,83,3006,6672
517,Sylas,12,4,False,7,9,8,89965,10186,15,139,3158,3067
23,Tryndamere,4,6,False,3,4,6,227579,14675,17,253,3046,3006
121,Khazix,4,11,False,11,8,5,171509,13576,15,26,6691,6676
51,Caitlyn,4,7,False,4,7,9,133125,10815,13,208,1055,6672
25,Morgana,4,14,False,3,6,13,21163,7926,13,12,3853,3157
245,Ekko,4,11,True,9,6,8,170566,13124,16,26,3152,3089
126,Jayce,4,14,True,6,9,8,144341,12106,16,217,2031,6692
89,Leona,3,4,True,1,6,12,17145,7642,13,33,3190,3860
6,Urgot,12,4,True,11,2,5,222986,16188,17,223,6630,3748
104,Graves,4,14,True,7,5,7,208709,14184,17,247,6692,3508
104,Graves,4,14,False,1,5,1,69609,5207,11,119,6692,2033
81,Ezreal,7,4,False,2,2,0,39378,5042,9,114,3070,6632
79,Gragas,4,11,False,1,2,2,57138,5056,9,11,2423,3020
240,Kled,21,14,False,1,2,0,48746,4959,10,101,6630,1055
